anon_polygon_id,date,primary_ndvi_pred
AOI-0001,2010-08-29,0.23076524
AOI-0001,2010-10-25,0.18336794
AOI-0001,2011-06-13,0.66307298
AOI-0001,2011-09-18,0.25551513
AOI-0001,2011-09-26,0.25876009
AOI-0001,2011-09-30,0.39933724
AOI-0001,2012-05-24,0.70114170
AOI-0001,2012-07-09,0.25450824
AOI-0001,2012-07-11,0.30686512
AOI-0001,2012-08-10,0.21400207
AOI-0001,2012-08-12,0.26300118
AOI-0001,2012-10-15,0.33432226
AOI-0001,2013-05-01,0.81561922
AOI-0001,2013-07-12,0.33467687
AOI-0001,2013-09-30,0.48492120
AOI-0001,2014-04-18,0.24161567
AOI-0001,2014-05-25,0.65033400
AOI-0001,2014-06-26,0.79033942
AOI-0001,2014-07-15,0.75247274
AOI-0001,2014-07-28,0.62327361
AOI-0001,2014-08-09,0.43724936
AOI-0001,2014-08-13,0.40741652
AOI-0001,2014-10-03,0.20604151
AOI-0001,2014-10-16,0.32585293
AOI-0001,2015-04-13,0.40195841
AOI-0001,2015-08-11,0.21220285
AOI-0001,2015-08-12,0.21280116
AOI-0001,2015-08-27,0.21543942
AOI-0001,2015-09-20,0.19466803
AOI-0001,2015-09-28,0.19776856
AOI-0001,2016-06-27,0.28208262
AOI-0001,2016-07-04,0.28320845
AOI-0001,2016-07-20,0.29562997
AOI-0001,2016-07-27,0.37808400
AOI-0001,2016-08-29,0.27993192
AOI-0001,2016-08-30,0.26908132
AOI-0001,2016-09-15,0.31867378
AOI-0001,2016-09-29,0.59877093
AOI-0001,2017-05-12,0.71149638
AOI-0001,2017-06-29,0.53155589
AOI-0001,2017-07-12,0.46348290
AOI-0001,2017-08-09,0.31577683
AOI-0001,2017-08-29,0.26251383
AOI-0001,2017-09-08,0.20103782
AOI-0001,2017-09-14,0.28852291
AOI-0001,2018-04-05,0.51262773
AOI-0001,2018-04-23,0.78052702
AOI-0001,2018-05-01,0.78577708
AOI-0001,2018-06-08,0.62931874
AOI-0001,2018-07-12,0.30241690
AOI-0001,2018-09-28,0.17227671
AOI-0001,2018-10-13,0.18031292
AOI-0001,2019-05-11,0.53681745
AOI-0001,2019-05-31,0.73285595
AOI-0001,2019-06-04,0.72787803
AOI-0001,2019-06-05,0.72589378
