anon_polygon_id,date,primary_ndvi_pred
AOI-0001,2010-08-29,0.21957298
AOI-0001,2010-10-25,0.18133350
AOI-0001,2011-06-13,0.68761193
AOI-0001,2011-09-18,0.24817805
AOI-0001,2011-09-26,0.24184662
AOI-0001,2011-09-30,0.39062162
AOI-0001,2012-05-24,0.69146110
AOI-0001,2012-07-09,0.25930630
AOI-0001,2012-07-11,0.30870000
AOI-0001,2012-08-10,0.18309864
AOI-0001,2012-08-12,0.27961451
AOI-0001,2012-10-15,0.34879545
AOI-0001,2013-05-01,0.82385424
AOI-0001,2013-07-12,0.33619088
AOI-0001,2013-09-30,0.48136058
AOI-0001,2014-04-18,0.22636187
AOI-0001,2014-05-25,0.64518478
AOI-0001,2014-06-26,0.79803320
AOI-0001,2014-07-15,0.74237371
AOI-0001,2014-07-28,0.62258788
AOI-0001,2014-08-09,0.44013913
AOI-0001,2014-08-13,0.40363752
AOI-0001,2014-10-03,0.19617718
AOI-0001,2014-10-16,0.31776984
AOI-0001,2015-04-13,0.41050757
AOI-0001,2015-08-11,0.20677519
AOI-0001,2015-08-12,0.19309948
AOI-0001,2015-08-27,0.20811811
AOI-0001,2015-09-20,0.18721256
AOI-0001,2015-09-28,0.19356517
AOI-0001,2016-06-27,0.27159431
AOI-0001,2016-07-04,0.28028471
AOI-0001,2016-07-20,0.27949984
AOI-0001,2016-07-27,0.37601548
AOI-0001,2016-08-29,0.28664992
AOI-0001,2016-08-30,0.25772916
AOI-0001,2016-09-15,0.31799462
AOI-0001,2016-09-29,0.61026584
AOI-0001,2017-05-12,0.72349987
AOI-0001,2017-06-29,0.51912532
AOI-0001,2017-07-12,0.48969995
AOI-0001,2017-08-09,0.30623546
AOI-0001,2017-08-29,0.27573667
AOI-0001,2017-09-08,0.21141593
AOI-0001,2017-09-14,0.29244532
AOI-0001,2018-04-05,0.50418812
AOI-0001,2018-04-23,0.78125126
AOI-0001,2018-05-01,0.81270473
AOI-0001,2018-06-08,0.62753508
AOI-0001,2018-07-12,0.30646071
AOI-0001,2018-09-28,0.16848394
AOI-0001,2018-10-13,0.17818692
AOI-0001,2019-05-11,0.54716352
AOI-0001,2019-05-31,0.72087875
AOI-0001,2019-06-04,0.70947693
AOI-0001,2019-06-05,0.70647055
AOI-0001,2019-06-25,0.34711843
AOI-0001,2019-07-12,0.44919514
AOI-0001,2019-07-22,0.37825731
AOI-0001,2019-07-29,0.44860078
AOI-0001,2019-08-30,0.27245024
AOI-0001,2019-09-07,0.26313161
AOI-0001,2019-09-08,0.24714892
AOI-0001,2019-09-18,0.09609940
AOI-0001,2020-04-03,0.55818900
AOI-0001,2020-04-26,0.66650059
AOI-0001,2020-05-30,0.81594551
AOI-0001,2020-06-09,0.78412892
AOI-0001,2020-07-14,0.18705291
AOI-0001,2020-07-23,0.21257287
AOI-0001,2020-07-27,0.28985780
AOI-0001,2020-08-08,0.17803995
AOI-0001,2020-09-01,0.30628078
AOI-0001,2020-09-02,0.28391011
AOI-0001,2020-09-12,0.22786913
AOI-0001,2020-09-22,0.20284173
AOI-0001,2020-09-29,0.24549757
AOI-0001,2020-10-11,0.18779956
AOI-0001,2020-10-12,0.14906964
AOI-0001,2020-10-19,0.15749234
AOI-0001,2021-05-15,0.47632981
AOI-0001,2021-05-20,0.48610504
AOI-0001,2021-06-10,0.60384084
AOI-0001,2021-07-02,0.55447583
AOI-0001,2021-07-24,0.66957079
AOI-0001,2021-09-17,0.21603574
AOI-0001,2022-04-25,0.61841232
AOI-0001,2022-06-03,0.78427037
AOI-0001,2022-09-02,0.23406294
AOI-0001,2022-09-30,0.27652075
AOI-0001,2022-10-01,0.24250977
AOI-0001,2022-10-17,0.20591285
AOI-0001,2023-05-25,0.83480029
AOI-0001,2023-06-23,0.78464060
AOI-0001,2023-07-15,0.26338472
AOI-0001,2023-07-29,0.20320686
AOI-0001,2023-08-03,0.20766943
AOI-0001,2023-08-08,0.22512437
AOI-0001,2023-08-13,0.23495603
AOI-0001,2023-08-17,0.26529715
AOI-0001,2023-08-28,0.21565768
AOI-0001,2023-08-29,0.30867352
AOI-0001,2023-09-12,0.24276809
AOI-0001,2024-04-06,0.65691052
AOI-0001,2024-05-24,0.75901447
AOI-0001,2024-06-01,0.74948437
AOI-0001,2024-06-03,0.71444963
AOI-0001,2024-06-09,0.57690865
AOI-0001,2024-06-13,0.55047829
AOI-0001,2024-06-17,0.48007397
AOI-0001,2024-06-23,0.39479328
AOI-0001,2024-06-25,0.42413913
AOI-0001,2024-07-03,0.28876011
AOI-0001,2024-09-11,0.15590188
AOI-0001,2024-09-13,0.18803702
AOI-0001,2024-09-16,0.15743946
AOI-0001,2024-09-29,0.19319079
AOI-0001,2025-04-23,0.48586011
AOI-0001,2025-05-03,0.36658737
AOI-0001,2025-06-03,0.42208475
AOI-0001,2025-06-27,0.66885328
AOI-0001,2025-07-05,0.59139408
AOI-0001,2025-07-12,0.51857050
AOI-0001,2025-07-13,0.51702206
AOI-0001,2025-07-23,0.42082765
AOI-0001,2025-07-28,0.37669946
AOI-0001,2025-07-29,0.40034635
AOI-0001,2025-08-02,0.30787420
AOI-0001,2025-10-28,0.23859395
AOI-0002,2025-05-03,0.82643415
AOI-0002,2025-06-03,0.55883859
AOI-0002,2025-06-26,0.41310466
AOI-0002,2025-07-29,0.25246861
AOI-0002,2025-08-02,0.16134016
AOI-0002,2025-08-13,0.26110783
AOI-0002,2025-08-19,0.15984161
AOI-0003,2025-04-01,0.53598411
AOI-0003,2025-04-18,0.81928877
AOI-0003,2025-04-19,0.85062503
AOI-0003,2025-05-06,0.85775657
AOI-0003,2025-06-04,0.73874285
AOI-0003,2025-06-13,0.60263497
AOI-0003,2025-07-07,0.17769067
AOI-0003,2025-07-13,0.17694741
AOI-0003,2025-07-15,0.16523297
AOI-0003,2025-08-04,0.17045365
AOI-0003,2025-08-07,0.19555240
AOI-0003,2025-08-14,0.18007382
AOI-0003,2025-08-22,0.16158703
AOI-0003,2025-08-23,0.20580406
AOI-0004,2025-04-23,0.67347219
AOI-0004,2025-05-04,0.64728496
AOI-0004,2025-05-24,0.66711637
AOI-0004,2025-05-25,0.69648914
AOI-0004,2025-06-30,0.58366322
AOI-0004,2025-07-12,0.48237822
AOI-0004,2025-07-23,0.46404415
AOI-0004,2025-08-02,0.39420798
AOI-0004,2025-09-14,0.36653157
AOI-0004,2025-09-23,0.36633146
AOI-0005,2025-05-01,0.67024367
AOI-0005,2025-05-03,0.66623048
AOI-0005,2025-05-14,0.53168038
AOI-0005,2025-06-11,0.59088483
AOI-0005,2025-07-21,0.41207098
AOI-0005,2025-08-17,0.34316369
AOI-0005,2025-09-01,0.26740534
