anon_polygon_id,date,primary_ndvi_pred
AOI-0001,2010-08-29,0.22775309
AOI-0001,2010-10-25,0.18145082
AOI-0001,2011-06-13,0.67174833
AOI-0001,2011-09-18,0.25653995
AOI-0001,2011-09-26,0.25564863
AOI-0001,2011-09-30,0.40185734
AOI-0001,2012-05-24,0.69762542
AOI-0001,2012-07-09,0.25248602
AOI-0001,2012-07-11,0.30040226
AOI-0001,2012-08-10,0.20722042
AOI-0001,2012-08-12,0.26197964
AOI-0001,2012-10-15,0.32128280
AOI-0001,2013-05-01,0.81356130
AOI-0001,2013-07-12,0.33059270
AOI-0001,2013-09-30,0.48814538
AOI-0001,2014-04-18,0.24095688
AOI-0001,2014-05-25,0.62959698
AOI-0001,2014-06-26,0.78510162
AOI-0001,2014-07-15,0.73469034
AOI-0001,2014-07-28,0.61975297
AOI-0001,2014-08-09,0.45461406
AOI-0001,2014-08-13,0.40540776
AOI-0001,2014-10-03,0.20595212
AOI-0001,2014-10-16,0.32579643
AOI-0001,2015-04-13,0.39205118
AOI-0001,2015-08-11,0.21562575
AOI-0001,2015-08-12,0.21476593
AOI-0001,2015-08-27,0.21550891
AOI-0001,2015-09-20,0.19155967
AOI-0001,2015-09-28,0.19699518
AOI-0001,2016-06-27,0.28191490
AOI-0001,2016-07-04,0.28338832
AOI-0001,2016-07-20,0.30019514
AOI-0001,2016-07-27,0.37507950
AOI-0001,2016-08-29,0.28621174
AOI-0001,2016-08-30,0.26494353
AOI-0001,2016-09-15,0.30960548
AOI-0001,2016-09-29,0.59445334
AOI-0001,2017-05-12,0.71511566
AOI-0001,2017-06-29,0.52106885
AOI-0001,2017-07-12,0.46960792
AOI-0001,2017-08-09,0.30866538
AOI-0001,2017-08-29,0.25645429
AOI-0001,2017-09-08,0.19847470
AOI-0001,2017-09-14,0.29213930
AOI-0001,2018-04-05,0.53698391
AOI-0001,2018-04-23,0.79605603
AOI-0001,2018-05-01,0.77995779
AOI-0001,2018-06-08,0.63088895
AOI-0001,2018-07-12,0.29431788
AOI-0001,2018-09-28,0.17601608
AOI-0001,2018-10-13,0.17913513
AOI-0001,2019-05-11,0.51986716
AOI-0001,2019-05-31,0.73982220
AOI-0001,2019-06-04,0.72054369
AOI-0001,2019-06-05,0.72536100
AOI-0001,2019-06-25,0.35785328
AOI-0001,2019-07-12,0.45528523
AOI-0001,2019-07-22,0.38914907
AOI-0001,2019-07-29,0.43915081
AOI-0001,2019-08-30,0.28132030
AOI-0001,2019-09-07,0.26474740
AOI-0001,2019-09-08,0.23728547
AOI-0001,2019-09-18,0.12075356
AOI-0001,2020-04-03,0.54653423
AOI-0001,2020-04-26,0.66176396
AOI-0001,2020-05-30,0.82718886
AOI-0001,2020-06-09,0.77608820
AOI-0001,2020-07-14,0.18908611
AOI-0001,2020-07-23,0.21963573
AOI-0001,2020-07-27,0.29969770
AOI-0001,2020-08-08,0.19262956
AOI-0001,2020-09-01,0.29603110
AOI-0001,2020-09-02,0.27831617
AOI-0001,2020-09-12,0.23142614
AOI-0001,2020-09-22,0.20207397
AOI-0001,2020-09-29,0.23373087
AOI-0001,2020-10-11,0.20798147
AOI-0001,2020-10-12,0.14131990
AOI-0001,2020-10-19,0.16923120
AOI-0001,2021-05-15,0.48882377
AOI-0001,2021-05-20,0.47620468
AOI-0001,2021-06-10,0.58410137
AOI-0001,2021-07-02,0.61099445
AOI-0001,2021-07-24,0.62493002
AOI-0001,2021-09-17,0.22421521
AOI-0001,2022-04-25,0.60558853
AOI-0001,2022-06-03,0.76814634
AOI-0001,2022-09-02,0.22881865
AOI-0001,2022-09-30,0.26802581
AOI-0001,2022-10-01,0.23821871
AOI-0001,2022-10-17,0.21235609
AOI-0001,2023-05-25,0.83060488
AOI-0001,2023-06-23,0.79415954
AOI-0001,2023-07-15,0.26964141
AOI-0001,2023-07-29,0.22819645
AOI-0001,2023-08-03,0.21131377
AOI-0001,2023-08-08,0.22763098
AOI-0001,2023-08-13,0.28315752
AOI-0001,2023-08-17,0.26428934
AOI-0001,2023-08-28,0.22556012
AOI-0001,2023-08-29,0.30468336
AOI-0001,2023-09-12,0.24096300
AOI-0001,2024-04-06,0.63921621
AOI-0001,2024-05-24,0.77504730
AOI-0001,2024-06-01,0.72267887
AOI-0001,2024-06-03,0.69890186
AOI-0001,2024-06-09,0.56068830
AOI-0001,2024-06-13,0.53842017
AOI-0001,2024-06-17,0.45830382
AOI-0001,2024-06-23,0.38624047
AOI-0001,2024-06-25,0.39941761
AOI-0001,2024-07-03,0.27411336
AOI-0001,2024-09-11,0.16078738
AOI-0001,2024-09-13,0.18661416
AOI-0001,2024-09-16,0.15843271
AOI-0001,2024-09-29,0.18539513
AOI-0001,2025-04-23,0.48448841
AOI-0001,2025-05-03,0.36077880
AOI-0001,2025-06-03,0.42338218
AOI-0001,2025-06-27,0.64873285
AOI-0001,2025-07-05,0.58433023
AOI-0001,2025-07-12,0.50213486
AOI-0001,2025-07-13,0.49881308
AOI-0001,2025-07-23,0.41295044
AOI-0001,2025-07-28,0.37409735
AOI-0001,2025-07-29,0.38786774
AOI-0001,2025-08-02,0.31102445
AOI-0001,2025-10-28,0.24373798
AOI-0002,2025-05-03,0.82050035
AOI-0002,2025-06-03,0.55293595
AOI-0002,2025-06-26,0.40554813
AOI-0002,2025-07-29,0.25381057
AOI-0002,2025-08-02,0.16438269
