anon_polygon_id,date,primary_ndvi_pred
AOI-0001,2010-08-29,0.23456289
AOI-0001,2010-10-25,0.16604217
AOI-0001,2011-06-13,0.68529746
AOI-0001,2011-09-18,0.24515819
AOI-0001,2011-09-26,0.27157622
AOI-0001,2011-09-30,0.39267782
AOI-0001,2012-05-24,0.72762929
AOI-0001,2012-07-09,0.25935691
AOI-0001,2012-07-11,0.34696829
AOI-0001,2012-08-10,0.20413293
AOI-0001,2012-08-12,0.28517095
AOI-0001,2012-10-15,0.39921256
AOI-0001,2013-05-01,0.85863205
AOI-0001,2013-07-12,0.32096925
AOI-0001,2013-09-30,0.50368358
AOI-0001,2014-04-18,0.23511767
AOI-0001,2014-05-25,0.64737281
AOI-0001,2014-06-26,0.78822236
AOI-0001,2014-07-15,0.74752631
AOI-0001,2014-07-28,0.60556495
AOI-0001,2014-08-09,0.43675622
AOI-0001,2014-08-13,0.39472214
AOI-0001,2014-10-03,0.19125549
AOI-0001,2014-10-16,0.33285717
AOI-0001,2015-04-13,0.43850570
AOI-0001,2015-08-11,0.21546507
AOI-0001,2015-08-12,0.20978881
AOI-0001,2015-08-27,0.21842737
AOI-0001,2015-09-20,0.18490361
AOI-0001,2015-09-28,0.20456339
AOI-0001,2016-06-27,0.28904931
AOI-0001,2016-07-04,0.28966483
AOI-0001,2016-07-20,0.30827560
AOI-0001,2016-07-27,0.38574379
AOI-0001,2016-08-29,0.28353197
AOI-0001,2016-08-30,0.24709270
AOI-0001,2016-09-15,0.34936149
AOI-0001,2016-09-29,0.59261329
AOI-0001,2017-05-12,0.73475809
AOI-0001,2017-06-29,0.55418627
AOI-0001,2017-07-12,0.49294584
AOI-0001,2017-08-09,0.31833559
AOI-0001,2017-08-29,0.25669924
AOI-0001,2017-09-08,0.20095032
AOI-0001,2017-09-14,0.30368132
AOI-0001,2018-04-05,0.49510361
AOI-0001,2018-04-23,0.76402613
AOI-0001,2018-05-01,0.84219953
AOI-0001,2018-06-08,0.65953996
AOI-0001,2018-07-12,0.35333770
AOI-0001,2018-09-28,0.17152673
AOI-0001,2018-10-13,0.19083449
AOI-0001,2019-05-11,0.54017851
AOI-0001,2019-05-31,0.72225165
AOI-0001,2019-06-04,0.71510661
AOI-0001,2019-06-05,0.73557119
AOI-0001,2019-06-25,0.35499019
AOI-0001,2019-07-12,0.48887633
AOI-0001,2019-07-22,0.40488169
AOI-0001,2019-07-29,0.43178338
AOI-0001,2019-08-30,0.27618132
