anon_polygon_id,date,primary_ndvi_pred
AOI-0001,2010-08-29,0.21246551
AOI-0001,2010-10-25,0.16141107
AOI-0001,2011-06-13,0.64503926
AOI-0001,2011-09-18,0.29155385
AOI-0001,2011-09-26,0.27927533
AOI-0001,2011-09-30,0.36501696
AOI-0001,2012-05-24,0.69662604
AOI-0001,2012-07-09,0.29868131
AOI-0001,2012-07-11,0.31974252
AOI-0001,2012-08-10,0.19687961
AOI-0001,2012-08-12,0.24833786
AOI-0001,2012-10-15,0.31777842
AOI-0001,2013-05-01,0.80160517
AOI-0001,2013-07-12,0.30589062
AOI-0001,2013-09-30,0.46552899
AOI-0001,2014-04-18,0.21741301
AOI-0001,2014-05-25,0.62489117
AOI-0001,2014-06-26,0.76259811
AOI-0001,2014-07-15,0.75501550
AOI-0001,2014-07-28,0.58935919
AOI-0001,2014-08-09,0.50258006
AOI-0001,2014-08-13,0.42839629
AOI-0001,2014-10-03,0.18017628
AOI-0001,2014-10-16,0.32020421
AOI-0001,2015-04-13,0.44087843
AOI-0001,2015-08-11,0.20114426
AOI-0001,2015-08-12,0.20016324
AOI-0001,2015-08-27,0.17941866
AOI-0001,2015-09-20,0.17196144
AOI-0001,2015-09-28,0.16253515
AOI-0001,2016-06-27,0.33757867
AOI-0001,2016-07-04,0.31730080
AOI-0001,2016-07-20,0.29627318
AOI-0001,2016-07-27,0.30972079
AOI-0001,2016-08-29,0.28901444
AOI-0001,2016-08-30,0.29230889
AOI-0001,2016-09-15,0.39580367
AOI-0001,2016-09-29,0.54647828
AOI-0001,2017-05-12,0.72128260
AOI-0001,2017-06-29,0.57069680
AOI-0001,2017-07-12,0.43355315
AOI-0001,2017-08-09,0.30913931
AOI-0001,2017-08-29,0.25061550
AOI-0001,2017-09-08,0.20748640
AOI-0001,2017-09-14,0.27586896
AOI-0001,2018-04-05,0.49284851
AOI-0001,2018-04-23,0.77560209
AOI-0001,2018-05-01,0.77196785
AOI-0001,2018-06-08,0.61457434
AOI-0001,2018-07-12,0.26577218
AOI-0001,2018-09-28,0.21630546
AOI-0001,2018-10-13,0.17063245
AOI-0001,2019-05-11,0.50934094
AOI-0001,2019-05-31,0.70320707
AOI-0001,2019-06-04,0.69191620
AOI-0001,2019-06-05,0.68170278
AOI-0001,2019-06-25,0.39761968
AOI-0001,2019-07-12,0.41735670
AOI-0001,2019-07-22,0.38308185
AOI-0001,2019-07-29,0.42368403
AOI-0001,2019-08-30,0.25100651
AOI-0001,2019-09-07,0.21917009
AOI-0001,2019-09-08,0.22301715
AOI-0001,2019-09-18,0.15611416
AOI-0001,2020-04-03,0.57014552
AOI-0001,2020-04-26,0.64078616
AOI-0001,2020-05-30,0.82882856
AOI-0001,2020-06-09,0.72368945
AOI-0001,2020-07-14,0.17915028
AOI-0001,2020-07-23,0.20591890
AOI-0001,2020-07-27,0.26620173
AOI-0001,2020-08-08,0.19018696
AOI-0001,2020-09-01,0.30168814
AOI-0001,2020-09-02,0.28593260
AOI-0001,2020-09-12,0.25369844
AOI-0001,2020-09-22,0.21247926
AOI-0001,2020-09-29,0.27003153
AOI-0001,2020-10-11,0.20549409
AOI-0001,2020-10-12,0.18672633
AOI-0001,2020-10-19,0.18858662
AOI-0001,2021-05-15,0.46835371
AOI-0001,2021-05-20,0.45522056
AOI-0001,2021-06-10,0.48857376
AOI-0001,2021-07-02,0.61466463
AOI-0001,2021-07-24,0.63350949
AOI-0001,2021-09-17,0.22930701
AOI-0001,2022-04-25,0.58886028
AOI-0001,2022-06-03,0.77647473
AOI-0001,2022-09-02,0.20812668
AOI-0001,2022-09-30,0.28637808
AOI-0001,2022-10-01,0.20569648
AOI-0001,2022-10-17,0.22596824
AOI-0001,2023-05-25,0.84080897
AOI-0001,2023-06-23,0.73826210
AOI-0001,2023-07-15,0.29044373
AOI-0001,2023-07-29,0.18256093
AOI-0001,2023-08-03,0.19693920
AOI-0001,2023-08-08,0.19397665
AOI-0001,2023-08-13,0.23203062
AOI-0001,2023-08-17,0.25200572
AOI-0001,2023-08-28,0.23438465
AOI-0001,2023-08-29,0.31350210
AOI-0001,2023-09-12,0.24209407
AOI-0001,2024-04-06,0.67464426
AOI-0001,2024-05-24,0.75681858
AOI-0001,2024-06-01,0.72000964
AOI-0001,2024-06-03,0.67474178
AOI-0001,2024-06-09,0.55407496
AOI-0001,2024-06-13,0.53271830
AOI-0001,2024-06-17,0.52128039
AOI-0001,2024-06-23,0.41097015
AOI-0001,2024-06-25,0.39609759
AOI-0001,2024-07-03,0.31246343
AOI-0001,2024-09-11,0.16314756
AOI-0001,2024-09-13,0.19725529
AOI-0001,2024-09-16,0.16159326
AOI-0001,2024-09-29,0.22415707
AOI-0001,2025-04-23,0.42472986
AOI-0001,2025-05-03,0.38413386
AOI-0001,2025-06-03,0.48865298
AOI-0001,2025-06-27,0.60106746
AOI-0001,2025-07-05,0.57897266
AOI-0001,2025-07-12,0.47743080
AOI-0001,2025-07-13,0.48530109
AOI-0001,2025-07-23,0.40944493
AOI-0001,2025-07-28,0.36303782
AOI-0001,2025-07-29,0.38661571
AOI-0001,2025-08-02,0.32466996
AOI-0001,2025-10-28,0.12080742
AOI-0002,2025-05-03,0.84971539
AOI-0002,2025-06-03,0.58658284
AOI-0002,2025-06-26,0.39325838
AOI-0002,2025-07-29,0.24713439
AOI-0002,2025-08-02,0.19023762
AOI-0002,2025-08-13,0.28011899
AOI-0002,2025-08-19,0.17109612
AOI-0003,2025-04-01,0.59494640
AOI-0003,2025-04-18,0.79397586
AOI-0003,2025-04-19,0.80669197
AOI-0003,2025-05-06,0.79956428
AOI-0003,2025-06-04,0.74690775
AOI-0003,2025-06-13,0.62607007
AOI-0003,2025-07-07,0.19098487
AOI-0003,2025-07-13,0.19188078
AOI-0003,2025-07-15,0.18289943
AOI-0003,2025-08-04,0.17681710
AOI-0003,2025-08-07,0.19815156
AOI-0003,2025-08-14,0.19927970
AOI-0003,2025-08-22,0.16741548
AOI-0003,2025-08-23,0.20122696
AOI-0004,2025-04-23,0.64552428
AOI-0004,2025-05-04,0.63253978
AOI-0004,2025-05-24,0.63911103
AOI-0004,2025-05-25,0.72026771
AOI-0004,2025-06-30,0.60479420
AOI-0004,2025-07-12,0.51276139
AOI-0004,2025-07-23,0.45919028
AOI-0004,2025-08-02,0.41634172
AOI-0004,2025-09-14,0.36824142
AOI-0004,2025-09-23,0.33109748
AOI-0005,2025-05-01,0.60824302
AOI-0005,2025-05-03,0.65043970
AOI-0005,2025-05-14,0.57747441
AOI-0005,2025-06-11,0.61710132
AOI-0005,2025-07-21,0.40642492
AOI-0005,2025-08-17,0.33512428
AOI-0005,2025-09-01,0.27169330
AOI-0006,2025-04-01,0.19371842
AOI-0006,2025-05-09,0.49371310
AOI-0006,2025-05-25,0.63879952
AOI-0006,2025-07-28,0.39619129
AOI-0006,2025-08-09,0.51161274
AOI-0006,2025-08-22,0.37906493
AOI-0006,2025-08-30,0.26715535
AOI-0006,2025-09-07,0.21238050
AOI-0006,2025-10-28,0.11889602
AOI-0007,2025-04-01,0.39932976
AOI-0007,2025-04-18,0.26030998
AOI-0007,2025-04-29,0.38076912
AOI-0007,2025-05-01,0.41323600
AOI-0007,2025-06-26,0.33656214
AOI-0007,2025-07-28,0.15604639
AOI-0007,2025-08-13,0.26368055
AOI-0007,2025-08-14,0.16542376
AOI-0007,2025-08-16,0.15119856
AOI-0007,2025-09-11,0.15739046
AOI-0007,2025-09-26,0.17095904
AOI-0008,2025-04-17,0.77108908
AOI-0008,2025-04-24,0.82864978
AOI-0008,2025-05-19,0.85830186
AOI-0008,2025-07-08,0.20647073
AOI-0008,2025-07-15,0.18885074
AOI-0008,2025-07-17,0.18650826
AOI-0008,2025-08-13,0.26688628
AOI-0008,2025-09-01,0.16355380
AOI-0008,2025-09-30,0.27876105
AOI-0008,2025-10-16,0.23333119
AOI-0009,2025-04-01,0.60725611
AOI-0009,2025-04-23,0.81242131
AOI-0009,2025-05-04,0.84059611
AOI-0009,2025-06-30,0.22055883
AOI-0009,2025-07-05,0.21290237
AOI-0009,2025-07-10,0.17306357
AOI-0009,2025-07-25,0.16629094
AOI-0009,2025-08-12,0.16263106
AOI-0009,2025-08-17,0.17986509
AOI-0009,2025-08-22,0.17511730
AOI-0009,2025-08-24,0.17033298
AOI-0009,2025-09-14,0.25309551
AOI-0009,2025-09-16,0.17015753
AOI-0009,2025-09-25,0.17184003
AOI-0009,2025-10-03,0.15133333
AOI-0010,2010-06-19,0.43756171
AOI-0010,2010-08-06,0.22348733
AOI-0010,2010-08-22,0.22689716
AOI-0010,2011-06-14,0.55257338
AOI-0010,2011-07-12,0.34567498
AOI-0010,2011-08-09,0.24286261
AOI-0010,2011-08-13,0.29126160
AOI-0010,2011-09-10,0.23614258
AOI-0010,2012-04-13,0.26792135
AOI-0010,2012-08-03,0.22960661
AOI-0010,2013-04-16,0.69312438
AOI-0010,2013-05-25,0.61301787
AOI-0010,2013-06-26,0.35298174
AOI-0010,2013-07-12,0.30712089
AOI-0010,2014-05-29,0.63773081
AOI-0010,2014-06-06,0.54959268
AOI-0010,2014-06-10,0.46756487
AOI-0010,2014-08-29,0.25626762
AOI-0010,2014-09-30,0.25757652
AOI-0010,2015-04-07,0.35160144
