method,alpha,threshold,n,rmse
mod6,1.0,0.9,1114.0,0.07053178489849805
base,1.0,0.0,1114.0,0.0705536548225406
mod10,0.1,-1.0,1114.0,0.07057497768574167
mod6,0.1,-1.0,1114.0,0.07058248660167055
mod16,0.1,-1.0,1114.0,0.07058731553394318
mod8,1.0,0.9,1114.0,0.07058957721200529
mod10,1.0,0.8,1114.0,0.07058987930667009
mod12,0.1,-1.0,1114.0,0.07059011484359247
mod8,0.1,-1.0,1114.0,0.07059169393592538
mod10,1.0,0.9,1114.0,0.07060274436976749
mod10,0.2,-1.0,1114.0,0.07061738115207049
mod6,0.2,-1.0,1114.0,0.07063181090653435
mod8,0.2,-1.0,1114.0,0.07064925417208848
mod12,0.2,-1.0,1114.0,0.07065057304377283
mod16,0.2,-1.0,1114.0,0.07065295136872413
mod10,0.3,-1.0,1114.0,0.07068082728095221
mod6,0.3,-1.0,1114.0,0.07070158484788357
mod8,0.3,-1.0,1114.0,0.07072628786954113
mod12,0.3,-1.0,1114.0,0.07073496788833596
mod12,1.0,0.8,1114.0,0.07073896951721526
mod8,1.0,0.8,1114.0,0.07074064163990014
mod16,0.3,-1.0,1114.0,0.07075047333613199
mod12,1.0,0.9,1114.0,0.07075921195385734
mod16,1.0,0.8,1114.0,0.07083550788613242
mod16,1.0,0.9,1114.0,0.07085770001672496
mod6,1.0,0.8,1114.0,0.07087034880948917
mod10,0.5,-1.0,1114.0,0.07087060272449505
mod6,0.5,-1.0,1114.0,0.07090222245563585
mod8,0.5,-1.0,1114.0,0.0709385058517756
mod10,1.0,0.7,1114.0,0.07096811834661974
mod12,0.5,-1.0,1114.0,0.07097520174378096
mod16,0.5,-1.0,1114.0,0.07104060746992061
mod8,1.0,0.7,1114.0,0.07104854019405481
mod6,1.0,0.7,1114.0,0.07115247120131606
mod12,1.0,0.7,1114.0,0.07120038412143428
mod10,1.0,0.6,1114.0,0.07121143574090984
mod10,0.75,-1.0,1114.0,0.07122479251401052
mod6,0.75,-1.0,1114.0,0.07126660839749567
mod6,1.0,0.6,1114.0,0.07128030440332556
mod8,0.75,-1.0,1114.0,0.07131185726687046
mod8,1.0,0.6,1114.0,0.07132081100005304
mod12,0.75,-1.0,1114.0,0.0714081204137634
mod16,1.0,0.7,1114.0,0.07146099815774232
mod12,1.0,0.6,1114.0,0.07150207925006861
mod16,0.75,-1.0,1114.0,0.07157941907639666
mod10,1.0,-1.0,1114.0,0.07170711906761135
mod6,1.0,-1.0,1114.0,0.07175537864574653
mod8,1.0,-1.0,1114.0,0.07180351994326332
mod10,1.0,0.5,1114.0,0.07180494109419408
mod6,1.0,0.5,1114.0,0.07184736168619092
mod8,1.0,0.5,1114.0,0.0718655345414675
mod16,1.0,0.6,1114.0,0.07190430032475353
mod12,1.0,-1.0,1114.0,0.07198587806324244
mod12,1.0,0.5,1114.0,0.07211793161304253
mod16,1.0,-1.0,1114.0,0.07230978871762225
mod16,1.0,0.5,1114.0,0.07254902220769455
mod6,1.0,0.0,1114.0,0.10262058661446304
mod8,1.0,0.0,1114.0,0.10305398513230427
mod10,1.0,0.0,1114.0,0.10349710798862283
mod12,1.0,0.0,1114.0,0.10470038572930702
mod16,1.0,0.0,1114.0,0.10711335509630537
