year,method,alpha,threshold,n,rmse
2019,base,1.0,0.0,249,0.06504498648921714
2019,mod6,1.0,0.0,249,0.10501700506425131
2019,mod8,1.0,0.0,249,0.10530388550012452
2019,mod10,1.0,0.0,249,0.10642349959109572
2019,mod12,1.0,0.0,249,0.10768618955568035
2019,mod16,1.0,0.0,249,0.11035479343690614
2019,mod6,0.1,-1.0,249,0.06506642391420893
2019,mod6,0.2,-1.0,249,0.06509853604778519
2019,mod6,0.3,-1.0,249,0.06514130710329803
2019,mod6,0.5,-1.0,249,0.06525873692609621
2019,mod6,0.75,-1.0,249,0.06546499870756767
2019,mod6,1.0,-1.0,249,0.06573675339945058
2019,mod6,1.0,0.5,249,0.06579797303870327
2019,mod6,1.0,0.6,249,0.06516215860460814
2019,mod6,1.0,0.7,249,0.06516215860460814
2019,mod6,1.0,0.8,249,0.06533142028309667
2019,mod6,1.0,0.9,249,0.06508616907796304
2019,mod8,0.1,-1.0,249,0.06504280690136337
2019,mod8,0.2,-1.0,249,0.06505152457325987
2019,mod8,0.3,-1.0,249,0.06507113512514297
2019,mod8,0.5,-1.0,249,0.06514299005440533
2019,mod8,0.75,-1.0,249,0.065293790937189
2019,mod8,1.0,-1.0,249,0.06551190331435217
2019,mod8,1.0,0.5,249,0.06546371679993483
2019,mod8,1.0,0.6,249,0.06494365026891465
2019,mod8,1.0,0.7,249,0.06494365026891465
2019,mod8,1.0,0.8,249,0.06512974568942524
2019,mod8,1.0,0.9,249,0.06504585771738051
2019,mod10,0.1,-1.0,249,0.06505076853620333
2019,mod10,0.2,-1.0,249,0.06506884077633011
2019,mod10,0.3,-1.0,249,0.06509919297392665
2019,mod10,0.5,-1.0,249,0.06519666169972314
2019,mod10,0.75,-1.0,249,0.06538712150641846
2019,mod10,1.0,-1.0,249,0.06565319834253981
2019,mod10,1.0,0.5,249,0.06572946576837865
2019,mod10,1.0,0.6,249,0.06496336574232593
2019,mod10,1.0,0.7,249,0.06496336574232593
2019,mod10,1.0,0.8,249,0.06496000592601353
2019,mod10,1.0,0.9,249,0.06500411546033025
2019,mod12,0.1,-1.0,249,0.0650573607424812
2019,mod12,0.2,-1.0,249,0.06508409846731265
2019,mod12,0.3,-1.0,249,0.0651251819725595
2019,mod12,0.5,-1.0,249,0.06525026847196211
2019,mod12,0.75,-1.0,249,0.06548664166570974
2019,mod12,1.0,-1.0,249,0.0658110095820555
2019,mod12,1.0,0.5,249,0.06592875510384631
2019,mod12,1.0,0.6,249,0.06510227976487687
2019,mod12,1.0,0.7,249,0.06510227976487687
2019,mod12,1.0,0.8,249,0.06495178638813569
2019,mod12,1.0,0.9,249,0.0650082763413524
2019,mod16,0.1,-1.0,249,0.06505534893262531
2019,mod16,0.2,-1.0,249,0.06508639461589787
2019,mod16,0.3,-1.0,249,0.06513809396531862
2019,mod16,0.5,-1.0,249,0.06530323785291157
2019,mod16,0.75,-1.0,249,0.06562456387324041
2019,mod16,1.0,-1.0,249,0.06607177938011277
2019,mod16,1.0,0.5,249,0.06628540495708593
2019,mod16,1.0,0.6,249,0.06544827590861578
2019,mod16,1.0,0.7,249,0.06544827590861578
2019,mod16,1.0,0.8,249,0.06494330444603767
2019,mod16,1.0,0.9,249,0.06502595826575785
2020,base,1.0,0.0,222,0.0642742645224812
2020,mod6,1.0,0.0,222,0.10669401097133145
2020,mod8,1.0,0.0,222,0.10699146227434086
2020,mod10,1.0,0.0,222,0.10743030298194245
2020,mod12,1.0,0.0,222,0.10823716605326285
2020,mod16,1.0,0.0,222,0.10948955232604796
2020,mod6,0.1,-1.0,222,0.06435648140704209
2020,mod6,0.2,-1.0,222,0.06445926586892295
2020,mod6,0.3,-1.0,222,0.06458251970698034
2020,mod6,0.5,-1.0,222,0.06488994958093225
2020,mod6,0.75,-1.0,222,0.06538691594606562
2020,mod6,1.0,-1.0,222,0.06600640866792937
2020,mod6,1.0,0.5,222,0.065874785262107
2020,mod6,1.0,0.6,222,0.065874785262107
2020,mod6,1.0,0.7,222,0.065874785262107
2020,mod6,1.0,0.8,222,0.06489011420859671
2020,mod6,1.0,0.9,222,0.06438285762167147
2020,mod8,0.1,-1.0,222,0.06432585422009961
2020,mod8,0.2,-1.0,222,0.06439750807350493
2020,mod8,0.3,-1.0,222,0.06448915920292934
2020,mod8,0.5,-1.0,222,0.06473209499949813
2020,mod8,0.75,-1.0,222,0.06514636063661336
2020,mod8,1.0,-1.0,222,0.0656813082881451
