anon_polygon_id,status,start,end,n_days,severity_max,mean_zscore,observed_n,reconstructed_n,weather_context
AOI-0001,critical,2011-04-18,2011-04-19,2,critical,-5.802177676532419,2,0,dry_context
AOI-0001,critical,2011-04-23,2011-04-23,1,critical,-11.686047419323378,1,0,dry_context
AOI-0001,critical,2011-04-26,2011-04-26,1,critical,-9.757489739673126,1,0,dry_context
AOI-0001,critical,2011-05-09,2011-05-09,1,critical,-12.499992164880316,1,0,weather_unavailable_or_unusual
AOI-0001,critical,2011-05-25,2011-05-25,1,critical,-5.411272693572652,1,0,dry_context
AOI-0001,critical,2011-05-28,2011-05-28,1,critical,-10.131388369994461,1,0,dry_context
AOI-0001,suppression,2011-06-06,2011-06-06,1,moderate,-1.0426223901764482,1,0,dry_context
AOI-0001,critical,2012-05-08,2012-05-08,1,moderate,-2.3823944256035094,1,0,weather_unavailable_or_unusual
AOI-0001,critical,2012-06-23,2012-06-23,1,critical,-5.244239726724348,1,0,dry_context
AOI-0001,critical,2012-06-25,2012-06-25,1,critical,-3.872130986342105,1,0,dry_context
AOI-0001,suppression,2012-07-09,2012-07-09,1,moderate,-1.7194148583089002,0,1,weather_unavailable_or_unusual
AOI-0001,suppression,2012-07-11,2012-07-11,1,moderate,-1.2920823813762239,0,1,weather_unavailable_or_unusual
AOI-0001,suppression,2012-08-10,2012-08-10,1,moderate,-1.1227627193049388,0,1,weather_unavailable_or_unusual
AOI-0001,suppression,2012-09-27,2012-09-27,1,moderate,-1.396166541448925,1,0,dry_context
AOI-0001,suppression,2013-06-26,2013-06-26,1,moderate,-1.5032986662322734,1,0,dry_context
AOI-0001,suppression,2014-04-10,2014-04-10,1,moderate,-1.1583516812388923,1,0,dry_context
AOI-0001,critical,2014-04-18,2014-04-18,1,moderate,-2.610455938195784,0,1,weather_unavailable_or_unusual
AOI-0001,critical,2014-04-23,2014-04-23,1,critical,-4.707416515938597,1,0,dry_context
AOI-0001,critical,2014-04-27,2014-04-27,1,critical,-5.811739313964714,1,0,dry_context
AOI-0001,critical,2014-05-04,2014-05-04,1,critical,-6.683864711214203,1,0,dry_context
AOI-0001,critical,2014-05-09,2014-05-09,1,critical,-6.829694493389799,1,0,dry_context
AOI-0001,critical,2014-05-20,2014-05-21,2,critical,-5.6783054953536505,2,0,dry_context
AOI-0001,suppression,2015-07-12,2015-07-12,1,moderate,-1.6261305529676373,1,0,dry_context
AOI-0001,suppression,2015-08-03,2015-08-03,1,moderate,-1.0652618866863417,1,0,dry_context
AOI-0001,suppression,2015-08-12,2015-08-12,1,moderate,-1.074360593075078,0,1,weather_unavailable_or_unusual
AOI-0001,suppression,2015-09-29,2015-09-29,1,moderate,-1.8254843600856718,1,0,dry_context
AOI-0001,suppression,2015-10-06,2015-10-06,1,moderate,-1.0708666502989057,1,0,dry_context
AOI-0001,suppression,2016-04-22,2016-04-22,1,moderate,-1.6972293213383924,1,0,dry_context
AOI-0001,critical,2016-04-23,2016-04-24,2,moderate,-2.3167564366192632,2,0,dry_context
AOI-0001,critical,2016-05-02,2016-05-02,1,high,-3.4095336445118734,1,0,dry_context
AOI-0001,critical,2016-05-08,2016-05-08,1,critical,-3.974101796306844,1,0,dry_context
AOI-0001,critical,2016-05-10,2016-05-10,1,moderate,-2.3909450849705247,1,0,dry_context
AOI-0001,critical,2016-05-25,2016-05-25,1,moderate,-2.1236950242015746,1,0,dry_context
AOI-0001,critical,2016-06-10,2016-06-10,1,moderate,-2.0039376320647095,1,0,weather_unavailable_or_unusual
AOI-0001,suppression,2018-06-10,2018-06-10,1,moderate,-1.0866786011701244,1,0,dry_context
AOI-0001,suppression,2018-06-24,2018-06-24,1,moderate,-1.0219849017542524,1,0,dry_context
AOI-0001,suppression,2018-07-18,2018-07-18,1,moderate,-1.1218331769723207,1,0,dry_context
AOI-0001,suppression,2018-07-26,2018-07-26,1,moderate,-1.2094144401030014,1,0,dry_context
AOI-0001,suppression,2018-08-27,2018-08-27,1,moderate,-1.1906722667409129,1,0,dry_context
AOI-0001,suppression,2018-09-28,2018-09-28,1,moderate,-1.0308574796048005,0,1,weather_unavailable_or_unusual
AOI-0001,suppression,2018-10-30,2018-10-30,1,moderate,-1.6292584611484238,1,0,dry_context
AOI-0001,suppression,2019-04-01,2019-04-01,1,moderate,-1.3610794284350356,1,0,weather_unavailable_or_unusual
AOI-0001,suppression,2019-04-06,2019-04-06,1,moderate,-1.4069129627023438,1,0,dry_context
AOI-0001,suppression,2019-04-21,2019-04-21,1,moderate,-1.4928111058345477,1,0,dry_context
AOI-0001,critical,2019-04-26,2019-04-26,1,moderate,-2.3144440887761655,1,0,dry_context
AOI-0001,critical,2019-05-01,2019-05-02,2,critical,-3.262080180483085,2,0,weather_unavailable_or_unusual
AOI-0001,critical,2019-05-06,2019-05-06,1,moderate,-2.178242109208582,1,0,dry_context
AOI-0001,suppression,2019-05-09,2019-05-09,1,moderate,-1.3373797325900163,1,0,weather_unavailable_or_unusual
AOI-0001,critical,2019-05-11,2019-05-11,1,high,-2.754333652713485,0,1,weather_unavailable_or_unusual
AOI-0001,suppression,2019-05-16,2019-05-16,1,moderate,-1.4011172228607003,1,0,dry_context
AOI-0001,suppression,2019-05-21,2019-05-21,1,moderate,-1.043137598681398,1,0,dry_context
