anon_polygon_id,status,start,end,n_days,severity_max,mean_zscore,observed_n,reconstructed_n,weather_context
AOI-0005,suppression,2012-07-25,2012-07-25,1,moderate,-1.1366987789483523,1,0,dry_context
AOI-0005,suppression,2012-08-10,2012-08-10,1,moderate,-1.0448806455129407,0,1,weather_unavailable_or_unusual
AOI-0005,suppression,2012-08-26,2012-08-26,1,moderate,-1.2086891280146226,1,0,dry_context
AOI-0005,suppression,2012-09-27,2012-09-27,1,moderate,-1.1483975192713807,1,0,dry_context
AOI-0005,suppression,2012-10-13,2012-10-13,1,moderate,-1.3674748494814737,1,0,dry_context
AOI-0005,suppression,2013-06-10,2013-06-10,1,moderate,-1.0247904289382987,1,0,dry_context
AOI-0005,critical,2013-06-19,2013-06-19,1,moderate,-2.0970976547230635,1,0,dry_context
AOI-0005,suppression,2013-06-26,2013-06-26,1,moderate,-1.4537635828198523,0,1,weather_unavailable_or_unusual
AOI-0005,suppression,2013-07-04,2013-07-04,1,moderate,-1.2529782637177325,1,0,dry_context
AOI-0005,suppression,2013-07-21,2013-07-21,1,moderate,-1.031173503424366,1,0,weather_unavailable_or_unusual
AOI-0005,critical,2015-04-05,2015-04-05,1,critical,-5.750125071062291,1,0,weather_unavailable_or_unusual
AOI-0005,suppression,2016-10-24,2016-10-24,1,moderate,-1.136875582843278,1,0,dry_context
AOI-0005,suppression,2017-04-01,2017-04-01,1,moderate,-1.0991462047084941,1,0,dry_context
AOI-0005,suppression,2017-08-29,2017-08-29,1,moderate,-1.1189395372938211,1,0,dry_context
AOI-0005,critical,2019-08-19,2019-08-19,1,moderate,-2.3737746329828733,1,0,dry_context
AOI-0005,critical,2019-09-18,2019-09-18,1,high,-3.4881393836504904,1,0,weather_unavailable_or_unusual
AOI-0005,critical,2021-08-12,2021-08-12,1,critical,-3.915048119801877,1,0,weather_unavailable_or_unusual
AOI-0005,suppression,2024-05-19,2024-05-19,1,moderate,-1.0046371473315154,1,0,weather_unavailable_or_unusual
AOI-0006,suppression,2011-04-18,2011-04-18,1,moderate,-1.108119781228521,1,0,weather_unavailable_or_unusual
AOI-0006,suppression,2011-04-26,2011-04-26,1,moderate,-1.255687784508136,1,0,weather_unavailable_or_unusual
AOI-0006,critical,2011-05-21,2011-05-21,1,moderate,-2.1199146822466832,0,1,weather_unavailable_or_unusual
AOI-0006,suppression,2011-05-25,2011-05-25,1,moderate,-1.4413790369482393,1,0,weather_unavailable_or_unusual
AOI-0006,critical,2011-05-28,2011-05-28,1,moderate,-2.5640256660756213,1,0,weather_unavailable_or_unusual
AOI-0006,critical,2011-06-05,2011-06-06,2,moderate,-2.075222312288818,2,0,weather_unavailable_or_unusual
AOI-0006,suppression,2011-10-11,2011-10-11,1,moderate,-1.696935003440063,1,0,weather_unavailable_or_unusual
AOI-0006,critical,2012-06-23,2012-06-23,1,moderate,-2.072997159768143,1,0,weather_unavailable_or_unusual
AOI-0006,suppression,2012-06-25,2012-06-25,1,moderate,-1.3529177161255006,1,0,weather_unavailable_or_unusual
AOI-0006,suppression,2012-07-09,2012-07-09,1,moderate,-1.523688621787016,1,0,weather_unavailable_or_unusual
AOI-0006,suppression,2012-08-10,2012-08-10,1,moderate,-1.2741964479184416,1,0,weather_unavailable_or_unusual
AOI-0006,suppression,2012-08-26,2012-08-26,1,moderate,-1.2463936897478658,1,0,weather_unavailable_or_unusual
AOI-0006,suppression,2012-09-27,2012-09-27,1,moderate,-1.3943999151093946,1,0,weather_unavailable_or_unusual
AOI-0006,suppression,2012-10-13,2012-10-13,1,moderate,-1.3044326283687113,1,0,weather_unavailable_or_unusual
AOI-0006,suppression,2013-05-01,2013-05-02,2,moderate,-1.1355034334848504,2,0,weather_unavailable_or_unusual
AOI-0006,suppression,2013-05-09,2013-05-09,1,moderate,-1.2208853109244457,1,0,weather_unavailable_or_unusual
AOI-0006,suppression,2014-06-10,2014-06-10,1,moderate,-1.2946868023842057,1,0,weather_unavailable_or_unusual
AOI-0006,suppression,2014-06-13,2014-06-13,1,moderate,-1.1847287459673297,0,1,weather_unavailable_or_unusual
AOI-0006,suppression,2014-06-21,2014-06-21,1,moderate,-1.35669313514254,1,0,weather_unavailable_or_unusual
AOI-0006,suppression,2014-06-26,2014-06-26,1,moderate,-1.22451685063312,0,1,weather_unavailable_or_unusual
AOI-0006,suppression,2014-06-29,2014-06-29,1,moderate,-1.4893474850343413,1,0,weather_unavailable_or_unusual
AOI-0006,suppression,2014-07-23,2014-07-24,2,moderate,-1.302549661097215,2,0,weather_unavailable_or_unusual
AOI-0006,suppression,2014-07-31,2014-07-31,1,moderate,-1.2467963893735103,0,1,weather_unavailable_or_unusual
AOI-0006,suppression,2014-08-08,2014-08-09,2,moderate,-1.280893984170556,2,0,weather_unavailable_or_unusual
AOI-0006,suppression,2014-08-16,2014-08-16,1,moderate,-1.480745255313475,1,0,weather_unavailable_or_unusual
AOI-0006,suppression,2014-08-24,2014-08-24,1,moderate,-1.2510712270195135,1,0,weather_unavailable_or_unusual
AOI-0006,suppression,2014-09-17,2014-09-17,1,moderate,-1.4227225821218525,1,0,weather_unavailable_or_unusual
AOI-0006,suppression,2014-10-03,2014-10-03,1,moderate,-1.1207161146536355,1,0,weather_unavailable_or_unusual
AOI-0006,suppression,2014-10-27,2014-10-27,1,moderate,-1.0221259737097874,1,0,weather_unavailable_or_unusual
AOI-0006,suppression,2015-04-13,2015-04-13,1,moderate,-1.010383614803363,1,0,weather_unavailable_or_unusual
