anon_polygon_id,rows,observed_n,reconstructed_n,missing_n,climatology_coverage,anomaly_n,critical_n,mean_zscore,periods_n
AOI-0005,3195,565,95,2535,0.19687010954616588,18,5,0.38385241094662437,18
AOI-0006,672,583,89,0,0.9523809523809523,143,14,-0.14264486724209538,125
AOI-0009,3195,613,137,2445,0.22566510172143975,189,5,-0.30785530390294735,175
AOI-0012,689,577,112,0,0.9608127721335269,186,15,-0.4211641853162554,172
AOI-0016,888,773,115,0,0.9628378378378378,144,27,0.10775868102150683,124
AOI-0018,3195,743,136,2316,0.2647887323943662,84,17,0.3233628913790962,76
AOI-0024,3195,789,128,2278,0.27699530516431925,114,16,0.14710542976324173,107
AOI-0025,568,482,86,0,0.9665492957746479,168,16,-0.27966878940401346,159
AOI-0029,3195,509,86,2600,0.18028169014084508,180,22,-0.40252220683596057,164
AOI-0034,3195,764,152,2279,0.27449139280125195,117,3,0.11198966192991873,107
AOI-0036,3195,766,127,2302,0.2672926447574335,26,1,0.3439065909790199,26
AOI-0039,886,764,122,0,0.9593679458239278,1,0,1.186688635435776,1
AOI-0042,3195,763,135,2297,0.26979655712050077,331,3,-0.5012270649508951,277
AOI-0047,3195,638,105,2452,0.2241001564945227,103,2,0.18071214771618094,99
AOI-0049,3195,628,104,2463,0.22065727699530516,162,5,-0.15443054786877525,133
AOI-0054,3195,615,128,2452,0.22347417840375586,3,2,1.8175442416006313,3
AOI-0057,757,649,108,0,0.9630118890356671,131,11,-0.03844354666927136,108
AOI-0066,3195,643,106,2446,0.22597809076682315,177,3,-0.08624260806951531,168
AOI-0072,3195,635,120,2440,0.2241001564945227,210,0,-0.188195903228945,181
AOI-0078,3195,665,132,2398,0.2406885758998435,132,6,0.07862210013333408,118
