candidate,scope,n,rmse,delta_vs_pair08
pair08,pooled,10576,0.06539463139064962,0.0
pair08,seed0,2644,0.06923532773140983,0.0
pair08,seed1,2644,0.06140341617537928,0.0
pair08,seed2,2644,0.06400231190718404,0.0
pair08,seed70404,2644,0.06667552178520031,0.0
old_hgb_w015,pooled,10576,0.06524736289957804,-0.00014726849107157824
old_hgb_w015,seed0,2644,0.06903201952982983,-0.00020330820158000196
old_hgb_w015,seed1,2644,0.06135260573121526,-5.081044416402336e-05
old_hgb_w015,seed2,2644,0.06378892173333771,-0.00021339017384633396
old_hgb_w015,seed70404,2644,0.06656038592975776,-0.00011513585544255245
v2_hgb_w016,pooled,10576,0.06535280088405174,-4.1830506597881345e-05
v2_hgb_w016,seed0,2644,0.06904330389062474,-0.00019202384078509382
v2_hgb_w016,seed1,2644,0.06149576685981139,9.23506844321062e-05
v2_hgb_w016,seed2,2644,0.06383468757135698,-0.0001676243358270657
v2_hgb_w016,seed70404,2644,0.06678607521347442,0.00011055342827410997
v2_hgb_w016_localgamma006,pooled,10576,0.06527037216738257,-0.0001242592232670453
v2_hgb_w016_localgamma006,seed0,2644,0.06899372531718459,-0.00024160241422524487
v2_hgb_w016_localgamma006,seed1,2644,0.06139289122489074,-1.0524950488539908e-05
v2_hgb_w016_localgamma006,seed2,2644,0.0638241347477413,-0.00017817715944273838
v2_hgb_w016_localgamma006,seed70404,2644,0.06661940054580417,-5.6121239396134115e-05
