protocol,year,kind,n,rmse,mae,seconds
exact,2019,base,249,0.06135843947298723,0.04357320445686364,5.0
exact,2019,deep,249,0.06142389668941923,0.043937101092830534,48.5
exact,2020,base,222,0.06091382495354751,0.04111480062010515,2.0
exact,2020,deep,222,0.059687557937427055,0.040550152957925724,26.8
exact,2021,base,130,0.08225727041698518,0.060496890448269953,3.6
exact,2021,deep,130,0.08183724512332916,0.060180750539374064,52.4
exact,2022,base,192,0.07209348473617914,0.054303235711568594,2.3
exact,2022,deep,192,0.07121590204216917,0.05264886857893849,40.3
exact,2023,base,169,0.076208915494296,0.05027058001512734,4.7
exact,2023,deep,169,0.0747992418209392,0.04930923615266148,41.7
exact,2024,base,152,0.0545647897055987,0.037838010071848636,4.1
exact,2024,deep,152,0.05604880379059176,0.039526867979777384,36.9
random,-1,base,4571,0.06722443523125918,0.04562819039052859,
random,-1,deep,4571,0.06653184140520574,0.044965180849821436,
proxy2025,2025,base,756,0.06254270016550081,0.04189033216545899,
proxy2025,2025,deep,756,0.06257405673682599,0.0419767964819814,
