split,seed,stat,alpha,base_rmse,rmse,delta
seed0,0,median,0.0100000000,0.0694602890,0.0695115061,0.0000512171
seed0,0,median,0.0200000000,0.0694602890,0.0696024647,0.0001421757
seed0,0,median,0.0300000000,0.0694602890,0.0697330094,0.0002727204
seed0,0,median,0.0500000000,0.0694602890,0.0701119056,0.0006516166
seed0,0,median,0.0800000000,0.0694602890,0.0709695608,0.0015092718
seed0,0,median,0.1000000000,0.0694602890,0.0717288239,0.0022685349
seed0,0,median,0.1500000000,0.0694602890,0.0742480059,0.0047877169
seed0,0,median,0.2000000000,0.0694602890,0.0775816080,0.0081213190
seed0,0,median,0.3000000000,0.0694602890,0.0862923919,0.0168321029
seed0,0,mean,0.0100000000,0.0694602890,0.0694910272,0.0000307382
seed0,0,mean,0.0200000000,0.0694602890,0.0695567878,0.0000964988
seed0,0,mean,0.0300000000,0.0694602890,0.0696574717,0.0001971827
seed0,0,mean,0.0500000000,0.0694602890,0.0699629539,0.0005026649
seed0,0,mean,0.0800000000,0.0694602890,0.0706777049,0.0012174159
seed0,0,mean,0.1000000000,0.0694602890,0.0713212250,0.0018609360
seed0,0,mean,0.1500000000,0.0694602890,0.0734876751,0.0040273861
seed0,0,mean,0.2000000000,0.0694602890,0.0763935774,0.0069332884
seed0,0,mean,0.3000000000,0.0694602890,0.0840982541,0.0146379651
seed0,0,date,0.0100000000,0.0694602890,0.0695196645,0.0000593755
seed0,0,date,0.0200000000,0.0694602890,0.0696213235,0.0001610345
seed0,0,date,0.0300000000,0.0694602890,0.0697650809,0.0003047919
seed0,0,date,0.0500000000,0.0694602890,0.0701777808,0.0007174918
seed0,0,date,0.0800000000,0.0694602890,0.0711037930,0.0016435040
seed0,0,date,0.1000000000,0.0694602890,0.0719196281,0.0024593391
seed0,0,date,0.1500000000,0.0694602890,0.0746141253,0.0051538363
seed0,0,date,0.2000000000,0.0694602890,0.0781628128,0.0087025238
seed0,0,date,0.3000000000,0.0694602890,0.0873825437,0.0179222547
seed0,0,bin,0.0100000000,0.0694602890,0.0695196645,0.0000593755
seed0,0,bin,0.0200000000,0.0694602890,0.0696213235,0.0001610345
seed0,0,bin,0.0300000000,0.0694602890,0.0697650809,0.0003047919
seed0,0,bin,0.0500000000,0.0694602890,0.0701777808,0.0007174918
seed0,0,bin,0.0800000000,0.0694602890,0.0711037930,0.0016435040
seed0,0,bin,0.1000000000,0.0694602890,0.0719196281,0.0024593391
seed0,0,bin,0.1500000000,0.0694602890,0.0746141253,0.0051538363
seed0,0,bin,0.2000000000,0.0694602890,0.0781628128,0.0087025238
seed0,0,bin,0.3000000000,0.0694602890,0.0873825437,0.0179222547
seed1,1,median,0.0100000000,0.0615862385,0.0616568762,0.0000706377
seed1,1,median,0.0200000000,0.0615862385,0.0617757280,0.0001894895
seed1,1,median,0.0300000000,0.0615862385,0.0619425163,0.0003562779
seed1,1,median,0.0500000000,0.0615862385,0.0624182551,0.0008320166
seed1,1,median,0.0800000000,0.0615862385,0.0634784822,0.0018922438
seed1,1,median,0.1000000000,0.0615862385,0.0644075047,0.0028212662
seed1,1,median,0.1500000000,0.0615862385,0.0674516794,0.0058654409
seed1,1,median,0.2000000000,0.0615862385,0.0714160049,0.0098297664
seed1,1,median,0.3000000000,0.0615862385,0.0815390829,0.0199528444
seed1,1,mean,0.0100000000,0.0615862385,0.0616555007,0.0000692622
seed1,1,mean,0.0200000000,0.0615862385,0.0617667219,0.0001804835
seed1,1,mean,0.0300000000,0.0615862385,0.0619196761,0.0003334376
seed1,1,mean,0.0500000000,0.0615862385,0.0623494706,0.0007632322
seed1,1,mean,0.0800000000,0.0615862385,0.0632969635,0.0017107250
seed1,1,mean,0.1000000000,0.0615862385,0.0641235333,0.0025372948
seed1,1,mean,0.1500000000,0.0615862385,0.0668279721,0.0052417337
seed1,1,mean,0.2000000000,0.0615862385,0.0703555791,0.0087693406
seed1,1,mean,0.3000000000,0.0615862385,0.0794172825,0.0178310440
seed1,1,date,0.0100000000,0.0615862385,0.0616467884,0.0000605499
seed1,1,date,0.0200000000,0.0615862385,0.0617575375,0.0001712990
seed1,1,date,0.0300000000,0.0615862385,0.0619182163,0.0003319778
seed1,1,date,0.0500000000,0.0615862385,0.0623877001,0.0008014617
seed1,1,date,0.0800000000,0.0615862385,0.0634531581,0.0018669196
seed1,1,date,0.1000000000,0.0615862385,0.0643949882,0.0028087497
seed1,1,date,0.1500000000,0.0615862385,0.0675006140,0.0059143756
seed1,1,date,0.2000000000,0.0615862385,0.0715617237,0.0099754852
seed1,1,date,0.3000000000,0.0615862385,0.0819509741,0.0203647356
seed1,1,bin,0.0100000000,0.0615862385,0.0616467884,0.0000605499
seed1,1,bin,0.0200000000,0.0615862385,0.0617575375,0.0001712990
seed1,1,bin,0.0300000000,0.0615862385,0.0619182163,0.0003319778
seed1,1,bin,0.0500000000,0.0615862385,0.0623877001,0.0008014617
seed1,1,bin,0.0800000000,0.0615862385,0.0634531581,0.0018669196
seed1,1,bin,0.1000000000,0.0615862385,0.0643949882,0.0028087497
seed1,1,bin,0.1500000000,0.0615862385,0.0675006140,0.0059143756
seed1,1,bin,0.2000000000,0.0615862385,0.0715617237,0.0099754852
seed1,1,bin,0.3000000000,0.0615862385,0.0819509741,0.0203647356
seed2,2,median,0.0100000000,0.0642663645,0.0643436712,0.0000773067
seed2,2,median,0.0200000000,0.0642663645,0.0644669847,0.0002006202
seed2,2,median,0.0300000000,0.0642663645,0.0646360417,0.0003696772
seed2,2,median,0.0500000000,0.0642663645,0.0651098643,0.0008434998
seed2,2,median,0.0800000000,0.0642663645,0.0661518841,0.0018855196
seed2,2,median,0.1000000000,0.0642663645,0.0670594142,0.0027930496
seed2,2,median,0.1500000000,0.0642663645,0.0700226920,0.0057563275
seed2,2,median,0.2000000000,0.0642663645,0.0738778150,0.0096114505
seed2,2,median,0.3000000000,0.0642663645,0.0837440456,0.0194776810
seed2,2,mean,0.0100000000,0.0642663645,0.0643231394,0.0000567749
seed2,2,mean,0.0200000000,0.0642663645,0.0644202341,0.0001538696
seed2,2,mean,0.0300000000,0.0642663645,0.0645574665,0.0002911020
seed2,2,mean,0.0500000000,0.0642663645,0.0649512529,0.0006848884
seed2,2,mean,0.0800000000,0.0642663645,0.0658343427,0.0015679782
seed2,2,mean,0.1000000000,0.0642663645,0.0666119794,0.0023456149
seed2,2,mean,0.1500000000,0.0642663645,0.0691783005,0.0049119360
seed2,2,mean,0.2000000000,0.0642663645,0.0725541840,0.0082878195
seed2,2,mean,0.3000000000,0.0642663645,0.0813082226,0.0170418581
seed2,2,date,0.0100000000,0.0642663645,0.0643664080,0.0001000435
seed2,2,date,0.0200000000,0.0642663645,0.0645168701,0.0002505056
seed2,2,date,0.0300000000,0.0642663645,0.0647173992,0.0004510347
seed2,2,date,0.0500000000,0.0642663645,0.0652666970,0.0010003325
seed2,2,date,0.0800000000,0.0642663645,0.0664512269,0.0021848624
seed2,2,date,0.1000000000,0.0642663645,0.0674714555,0.0032050910
seed2,2,date,0.1500000000,0.0642663645,0.0707681589,0.0065017944
