stat,alpha,pooled_rmse,base,min_rmse,max_rmse
bin,0.0100000000,0.0655765692,0.0655047872,0.0616467884,0.0695196645
bin,0.0200000000,0.0656961796,0.0655047872,0.0617575375,0.0696213235
bin,0.0300000000,0.0658633543,0.0655047872,0.0619182163,0.0697650809
bin,0.0500000000,0.0663388367,0.0655047872,0.0623877001,0.0701777808
bin,0.0800000000,0.0673965924,0.0655047872,0.0634531581,0.0711037930
bin,0.1000000000,0.0683230661,0.0655047872,0.0643949882,0.0719196281
bin,0.1500000000,0.0713606706,0.0655047872,0.0675006140,0.0746141253
bin,0.2000000000,0.0753233646,0.0655047872,0.0715617237,0.0781628128
bin,0.3000000000,0.0854785840,0.0655047872,0.0819509741,0.0873825437
date,0.0100000000,0.0655765692,0.0655047872,0.0616467884,0.0695196645
date,0.0200000000,0.0656961796,0.0655047872,0.0617575375,0.0696213235
date,0.0300000000,0.0658633543,0.0655047872,0.0619182163,0.0697650809
date,0.0500000000,0.0663388367,0.0655047872,0.0623877001,0.0701777808
date,0.0800000000,0.0673965924,0.0655047872,0.0634531581,0.0711037930
date,0.1000000000,0.0683230661,0.0655047872,0.0643949882,0.0719196281
date,0.1500000000,0.0713606706,0.0655047872,0.0675006140,0.0746141253
date,0.2000000000,0.0753233646,0.0655047872,0.0715617237,0.0781628128
date,0.3000000000,0.0854785840,0.0655047872,0.0819509741,0.0873825437
mean,0.0100000000,0.0655550779,0.0655047872,0.0616555007,0.0694910272
mean,0.0200000000,0.0656447585,0.0655047872,0.0617667219,0.0695567878
mean,0.0300000000,0.0657736639,0.0655047872,0.0619196761,0.0696574717
mean,0.0500000000,0.0661481434,0.0655047872,0.0623494706,0.0699629539
mean,0.0800000000,0.0669960514,0.0655047872,0.0632969635,0.0706777049
mean,0.1000000000,0.0677464698,0.0655047872,0.0641235333,0.0713212250
mean,0.1500000000,0.0702338194,0.0655047872,0.0668279721,0.0734876751
mean,0.2000000000,0.0735192354,0.0655047872,0.0703555791,0.0763935774
mean,0.3000000000,0.0820765520,0.0655047872,0.0794172825,0.0840982541
median,0.0100000000,0.0655702833,0.0655047872,0.0616568762,0.0695115061
median,0.0200000000,0.0656808565,0.0655047872,0.0617757280,0.0696024647
median,0.0300000000,0.0658362761,0.0655047872,0.0619425163,0.0697330094
median,0.0500000000,0.0662802824,0.0655047872,0.0624182551,0.0701119056
median,0.0800000000,0.0672718653,0.0655047872,0.0634784822,0.0709695608
median,0.1000000000,0.0681425135,0.0655047872,0.0644075047,0.0717288239
median,0.1500000000,0.0710051127,0.0655047872,0.0674516794,0.0742480059
median,0.2000000000,0.0747522955,0.0655047872,0.0714160049,0.0775816080
median,0.3000000000,0.0844002527,0.0655047872,0.0815390829,0.0862923919
