seed,regime,method,n,rmse,mae
0,all,prod,909,0.08123898061038069,0.04438371018150528
0,all,template,909,0.08707656007064056,0.050529453677590354
0,train_history,prod,685,0.08655583650647133,0.04533797996442486
0,train_history,template,685,0.09326826138165738,0.05269691856132345
0,private_history,prod,224,0.06222196838929764,0.041465519104273554
0,private_history,template,224,0.06455693950239821,0.043901268653674386
1,all,prod,909,0.08347043151085458,0.04473176507936525
1,all,template,909,0.08853290108328833,0.05135099270975107
1,train_history,prod,685,0.08891026349993256,0.04556574617978968
1,train_history,template,685,0.09513554548681843,0.05428551556536228
1,private_history,prod,224,0.06402909895020799,0.04218142108922805
1,private_history,template,224,0.06426198323641674,0.0423771170129043
2,all,prod,909,0.06922145258366894,0.043860838689674525
2,all,template,909,0.07718505225463007,0.050284484126930304
2,train_history,prod,685,0.07165721303977571,0.04539285521962933
2,train_history,template,685,0.082309741728368,0.05390657723605174
2,private_history,prod,224,0.061173970661107295,0.03917587742619661
2,private_history,template,224,0.058804866036974365,0.03920799403876877
