protocol,year,mode,top,rmse,mae,n,seed
exact,2019,best,1,0.10494731569065155,0.08123055767044957,249,
exact,2019,mean,3,0.09786825404749795,0.07665508032476337,249,
exact,2019,weighted,1,0.10494731569065155,0.08123055767044957,249,
exact,2019,weighted,3,0.09667883685538323,0.07568216345687727,249,
exact,2019,weighted,5,0.09815695920657477,0.0775025123999297,249,
exact,2019,corr,3,0.09704038132329,0.07610041537124905,249,
exact,2020,best,1,0.09361667060074254,0.0695890177699182,222,
exact,2020,mean,3,0.08923647370877986,0.06648214016377235,222,
exact,2020,weighted,1,0.09361667060074254,0.0695890177699182,222,
exact,2020,weighted,3,0.08826806447716036,0.06584613609201734,222,
exact,2020,weighted,5,0.08965273091387845,0.06724819117050924,222,
exact,2020,corr,3,0.08833709698318022,0.06596595297524267,222,
exact,2021,best,1,0.12660016837920565,0.09173355974767014,130,
exact,2021,mean,3,0.12563397859058137,0.09083914042319312,130,
exact,2021,weighted,1,0.12660016837920568,0.09173355974767014,130,
exact,2021,weighted,3,0.12494054574725458,0.09024910961896354,130,
exact,2021,weighted,5,0.1248659999118859,0.09051032174665764,130,
exact,2021,corr,3,0.12510720512576934,0.09039948894277708,130,
exact,2022,best,1,0.10944194973993411,0.08151056430887961,192,
exact,2022,mean,3,0.10239623268030706,0.07835366918304017,192,
exact,2022,weighted,1,0.1094419497399341,0.0815105643088796,192,
exact,2022,weighted,3,0.10117526678680612,0.07687812431131656,192,
exact,2022,weighted,5,0.1013813843314514,0.07665508836571856,192,
exact,2022,corr,3,0.10059264144739126,0.07656025985172267,192,
exact,2023,best,1,0.11506841387922302,0.07896360263353851,169,
exact,2023,mean,3,0.1094418069666527,0.07629107078451802,169,
exact,2023,weighted,1,0.11506841387922302,0.07896360263353851,169,
exact,2023,weighted,3,0.10732513232463771,0.07476698507476795,169,
exact,2023,weighted,5,0.10867374308366458,0.07819883896848025,169,
exact,2023,corr,3,0.10865321019103696,0.0759018321376808,169,
exact,2024,best,1,0.0979306349502923,0.06845693615936463,152,
exact,2024,mean,3,0.09134423410806355,0.06581769748332189,152,
exact,2024,weighted,1,0.0979306349502923,0.06845693615936461,152,
exact,2024,weighted,3,0.09092840194050703,0.06484047447128277,152,
exact,2024,weighted,5,0.09031649503382999,0.06623814525862953,152,
exact,2024,corr,3,0.09091575084420218,0.0649277227838879,152,
random,0,best,1,,,2644,0.0
random,0,mean,3,,,2644,0.0
random,0,weighted,1,,,2644,0.0
random,0,weighted,3,,,2644,0.0
random,0,weighted,5,,,2644,0.0
random,0,corr,3,,,2644,0.0
random2025,2025,best,1,,,756,0.0
random2025,2025,mean,3,,,756,0.0
random2025,2025,weighted,1,,,756,0.0
random2025,2025,weighted,3,,,756,0.0
random2025,2025,weighted,5,,,756,0.0
random2025,2025,corr,3,,,756,0.0
random,0,best,1,,,2644,1.0
random,0,mean,3,,,2644,1.0
random,0,weighted,1,,,2644,1.0
random,0,weighted,3,,,2644,1.0
random,0,weighted,5,,,2644,1.0
random,0,corr,3,,,2644,1.0
random2025,2025,best,1,,,756,1.0
random2025,2025,mean,3,,,756,1.0
random2025,2025,weighted,1,,,756,1.0
random2025,2025,weighted,3,,,756,1.0
random2025,2025,weighted,5,,,756,1.0
random2025,2025,corr,3,,,756,1.0
random,0,best,1,,,2644,2.0
random,0,mean,3,,,2644,2.0
random,0,weighted,1,,,2644,2.0
random,0,weighted,3,,,2644,2.0
random,0,weighted,5,,,2644,2.0
random,0,corr,3,,,2644,2.0
random2025,2025,best,1,,,756,2.0
random2025,2025,mean,3,,,756,2.0
random2025,2025,weighted,1,,,756,2.0
random2025,2025,weighted,3,,,756,2.0
random2025,2025,weighted,5,,,756,2.0
random2025,2025,corr,3,,,756,2.0
