protocol,part,typ,alpha,n,rmse,mae,cov
exact,2019,all,0.0,249,,,0
exact,2019,all,0.02,249,,,0
exact,2019,all,0.05,249,,,0
exact,2019,all,0.1,249,,,0
exact,2019,all,0.15,249,,,0
exact,2019,all,0.2,249,,,0
exact,2019,all,0.3,249,,,0
exact,2019,all,0.5,249,,,0
exact,2019,all,1.0,249,,,0
exact,2019,crop,0.0,249,,,239
exact,2019,crop,0.02,249,,,239
exact,2019,crop,0.05,249,,,239
exact,2019,crop,0.1,249,,,239
exact,2019,crop,0.15,249,,,239
exact,2019,crop,0.2,249,,,239
exact,2019,crop,0.3,249,,,239
exact,2019,crop,0.5,249,,,239
exact,2019,crop,1.0,249,,,239
exact,2019,src,0.0,249,,,0
exact,2019,src,0.02,249,,,0
exact,2019,src,0.05,249,,,0
exact,2019,src,0.1,249,,,0
exact,2019,src,0.15,249,,,0
exact,2019,src,0.2,249,,,0
exact,2019,src,0.3,249,,,0
exact,2019,src,0.5,249,,,0
exact,2019,src,1.0,249,,,0
exact,2019,csrc,0.0,249,,,0
exact,2019,csrc,0.02,249,,,0
exact,2019,csrc,0.05,249,,,0
exact,2019,csrc,0.1,249,,,0
exact,2019,csrc,0.15,249,,,0
exact,2019,csrc,0.2,249,,,0
exact,2019,csrc,0.3,249,,,0
exact,2019,csrc,0.5,249,,,0
exact,2019,csrc,1.0,249,,,0
exact,2019,doy,0.0,249,,,0
exact,2019,doy,0.02,249,,,0
exact,2019,doy,0.05,249,,,0
exact,2019,doy,0.1,249,,,0
exact,2019,doy,0.15,249,,,0
exact,2019,doy,0.2,249,,,0
exact,2019,doy,0.3,249,,,0
exact,2019,doy,0.5,249,,,0
exact,2019,doy,1.0,249,,,0
exact,2020,all,0.0,222,,,0
exact,2020,all,0.02,222,,,0
exact,2020,all,0.05,222,,,0
exact,2020,all,0.1,222,,,0
exact,2020,all,0.15,222,,,0
exact,2020,all,0.2,222,,,0
exact,2020,all,0.3,222,,,0
exact,2020,all,0.5,222,,,0
exact,2020,all,1.0,222,,,0
exact,2020,crop,0.0,222,,,216
exact,2020,crop,0.02,222,,,216
exact,2020,crop,0.05,222,,,216
exact,2020,crop,0.1,222,,,216
exact,2020,crop,0.15,222,,,216
exact,2020,crop,0.2,222,,,216
exact,2020,crop,0.3,222,,,216
exact,2020,crop,0.5,222,,,216
exact,2020,crop,1.0,222,,,216
exact,2020,src,0.0,222,,,0
exact,2020,src,0.02,222,,,0
exact,2020,src,0.05,222,,,0
exact,2020,src,0.1,222,,,0
exact,2020,src,0.15,222,,,0
exact,2020,src,0.2,222,,,0
exact,2020,src,0.3,222,,,0
exact,2020,src,0.5,222,,,0
exact,2020,src,1.0,222,,,0
exact,2020,csrc,0.0,222,,,0
exact,2020,csrc,0.02,222,,,0
exact,2020,csrc,0.05,222,,,0
exact,2020,csrc,0.1,222,,,0
exact,2020,csrc,0.15,222,,,0
exact,2020,csrc,0.2,222,,,0
exact,2020,csrc,0.3,222,,,0
exact,2020,csrc,0.5,222,,,0
exact,2020,csrc,1.0,222,,,0
exact,2020,doy,0.0,222,,,0
exact,2020,doy,0.02,222,,,0
exact,2020,doy,0.05,222,,,0
exact,2020,doy,0.1,222,,,0
exact,2020,doy,0.15,222,,,0
exact,2020,doy,0.2,222,,,0
exact,2020,doy,0.3,222,,,0
exact,2020,doy,0.5,222,,,0
exact,2020,doy,1.0,222,,,0
exact,2021,all,0.0,130,,,0
exact,2021,all,0.02,130,,,0
exact,2021,all,0.05,130,,,0
exact,2021,all,0.1,130,,,0
exact,2021,all,0.15,130,,,0
exact,2021,all,0.2,130,,,0
exact,2021,all,0.3,130,,,0
exact,2021,all,0.5,130,,,0
exact,2021,all,1.0,130,,,0
exact,2021,crop,0.0,130,,,128
exact,2021,crop,0.02,130,,,128
exact,2021,crop,0.05,130,,,128
exact,2021,crop,0.1,130,,,128
exact,2021,crop,0.15,130,,,128
exact,2021,crop,0.2,130,,,128
exact,2021,crop,0.3,130,,,128
exact,2021,crop,0.5,130,,,128
exact,2021,crop,1.0,130,,,128
exact,2021,src,0.0,130,,,0
exact,2021,src,0.02,130,,,0
exact,2021,src,0.05,130,,,0
exact,2021,src,0.1,130,,,0
exact,2021,src,0.15,130,,,0
exact,2021,src,0.2,130,,,0
exact,2021,src,0.3,130,,,0
exact,2021,src,0.5,130,,,0
exact,2021,src,1.0,130,,,0
exact,2021,csrc,0.0,130,,,0
exact,2021,csrc,0.02,130,,,0
exact,2021,csrc,0.05,130,,,0
exact,2021,csrc,0.1,130,,,0
exact,2021,csrc,0.15,130,,,0
exact,2021,csrc,0.2,130,,,0
exact,2021,csrc,0.3,130,,,0
exact,2021,csrc,0.5,130,,,0
exact,2021,csrc,1.0,130,,,0
exact,2021,doy,0.0,130,,,0
exact,2021,doy,0.02,130,,,0
exact,2021,doy,0.05,130,,,0
exact,2021,doy,0.1,130,,,0
exact,2021,doy,0.15,130,,,0
exact,2021,doy,0.2,130,,,0
exact,2021,doy,0.3,130,,,0
exact,2021,doy,0.5,130,,,0
exact,2021,doy,1.0,130,,,0
exact,2022,all,0.0,192,,,0
exact,2022,all,0.02,192,,,0
exact,2022,all,0.05,192,,,0
exact,2022,all,0.1,192,,,0
exact,2022,all,0.15,192,,,0
exact,2022,all,0.2,192,,,0
exact,2022,all,0.3,192,,,0
exact,2022,all,0.5,192,,,0
exact,2022,all,1.0,192,,,0
exact,2022,crop,0.0,192,,,189
exact,2022,crop,0.02,192,,,189
exact,2022,crop,0.05,192,,,189
exact,2022,crop,0.1,192,,,189
exact,2022,crop,0.15,192,,,189
exact,2022,crop,0.2,192,,,189
exact,2022,crop,0.3,192,,,189
exact,2022,crop,0.5,192,,,189
exact,2022,crop,1.0,192,,,189
exact,2022,src,0.0,192,,,0
exact,2022,src,0.02,192,,,0
exact,2022,src,0.05,192,,,0
exact,2022,src,0.1,192,,,0
exact,2022,src,0.15,192,,,0
exact,2022,src,0.2,192,,,0
exact,2022,src,0.3,192,,,0
exact,2022,src,0.5,192,,,0
exact,2022,src,1.0,192,,,0
exact,2022,csrc,0.0,192,,,0
exact,2022,csrc,0.02,192,,,0
exact,2022,csrc,0.05,192,,,0
exact,2022,csrc,0.1,192,,,0
exact,2022,csrc,0.15,192,,,0
exact,2022,csrc,0.2,192,,,0
exact,2022,csrc,0.3,192,,,0
exact,2022,csrc,0.5,192,,,0
exact,2022,csrc,1.0,192,,,0
exact,2022,doy,0.0,192,,,0
exact,2022,doy,0.02,192,,,0
exact,2022,doy,0.05,192,,,0
exact,2022,doy,0.1,192,,,0
exact,2022,doy,0.15,192,,,0
exact,2022,doy,0.2,192,,,0
exact,2022,doy,0.3,192,,,0
exact,2022,doy,0.5,192,,,0
exact,2022,doy,1.0,192,,,0
exact,2023,all,0.0,169,,,0
exact,2023,all,0.02,169,,,0
exact,2023,all,0.05,169,,,0
exact,2023,all,0.1,169,,,0
exact,2023,all,0.15,169,,,0
exact,2023,all,0.2,169,,,0
exact,2023,all,0.3,169,,,0
exact,2023,all,0.5,169,,,0
exact,2023,all,1.0,169,,,0
exact,2023,crop,0.0,169,,,166
exact,2023,crop,0.02,169,,,166
exact,2023,crop,0.05,169,,,166
exact,2023,crop,0.1,169,,,166
exact,2023,crop,0.15,169,,,166
exact,2023,crop,0.2,169,,,166
exact,2023,crop,0.3,169,,,166
exact,2023,crop,0.5,169,,,166
exact,2023,crop,1.0,169,,,166
exact,2023,src,0.0,169,,,0
exact,2023,src,0.02,169,,,0
exact,2023,src,0.05,169,,,0
exact,2023,src,0.1,169,,,0
exact,2023,src,0.15,169,,,0
exact,2023,src,0.2,169,,,0
exact,2023,src,0.3,169,,,0
exact,2023,src,0.5,169,,,0
exact,2023,src,1.0,169,,,0
exact,2023,csrc,0.0,169,,,0
exact,2023,csrc,0.02,169,,,0
exact,2023,csrc,0.05,169,,,0
exact,2023,csrc,0.1,169,,,0
exact,2023,csrc,0.15,169,,,0
exact,2023,csrc,0.2,169,,,0
exact,2023,csrc,0.3,169,,,0
exact,2023,csrc,0.5,169,,,0
exact,2023,csrc,1.0,169,,,0
exact,2023,doy,0.0,169,,,0
exact,2023,doy,0.02,169,,,0
exact,2023,doy,0.05,169,,,0
exact,2023,doy,0.1,169,,,0
exact,2023,doy,0.15,169,,,0
exact,2023,doy,0.2,169,,,0
exact,2023,doy,0.3,169,,,0
exact,2023,doy,0.5,169,,,0
exact,2023,doy,1.0,169,,,0
exact,2024,all,0.0,152,,,0
exact,2024,all,0.02,152,,,0
exact,2024,all,0.05,152,,,0
exact,2024,all,0.1,152,,,0
exact,2024,all,0.15,152,,,0
exact,2024,all,0.2,152,,,0
exact,2024,all,0.3,152,,,0
exact,2024,all,0.5,152,,,0
exact,2024,all,1.0,152,,,0
exact,2024,crop,0.0,152,,,150
exact,2024,crop,0.02,152,,,150
exact,2024,crop,0.05,152,,,150
exact,2024,crop,0.1,152,,,150
exact,2024,crop,0.15,152,,,150
exact,2024,crop,0.2,152,,,150
exact,2024,crop,0.3,152,,,150
exact,2024,crop,0.5,152,,,150
exact,2024,crop,1.0,152,,,150
exact,2024,src,0.0,152,,,0
exact,2024,src,0.02,152,,,0
exact,2024,src,0.05,152,,,0
exact,2024,src,0.1,152,,,0
exact,2024,src,0.15,152,,,0
exact,2024,src,0.2,152,,,0
exact,2024,src,0.3,152,,,0
exact,2024,src,0.5,152,,,0
exact,2024,src,1.0,152,,,0
exact,2024,csrc,0.0,152,,,0
exact,2024,csrc,0.02,152,,,0
exact,2024,csrc,0.05,152,,,0
exact,2024,csrc,0.1,152,,,0
exact,2024,csrc,0.15,152,,,0
exact,2024,csrc,0.2,152,,,0
exact,2024,csrc,0.3,152,,,0
exact,2024,csrc,0.5,152,,,0
exact,2024,csrc,1.0,152,,,0
exact,2024,doy,0.0,152,,,0
exact,2024,doy,0.02,152,,,0
exact,2024,doy,0.05,152,,,0
exact,2024,doy,0.1,152,,,0
exact,2024,doy,0.15,152,,,0
