radius,method,pred,pooled_rmse,min_seed_rmse,max_seed_rmse
16,median,local_plus_direct_-0.01,0.06571336626039376,0.06170389060946607,0.06958634978943741
4,mean,bucket_0.005_0,0.06572095128910234,0.06172901343488301,0.0695730993147852
4,mean,bucket_0.005_0.005,0.06572176781660602,0.06173136359261967,0.0695697126514007
4,mean,local_plus_direct_0.005,0.06572176781660602,0.06173136359261967,0.0695697126514007
16,median,bucket_0_0,0.065722335284372,0.06172298114261614,0.0695830375584099
8,median,bucket_0_0,0.065722335284372,0.06172298114261614,0.0695830375584099
1,median,bucket_0_0,0.065722335284372,0.06172298114261614,0.0695830375584099
1,median,bucket_0_0.005,0.065722335284372,0.06172298114261614,0.0695830375584099
1,median,bucket_0_0.05,0.065722335284372,0.06172298114261614,0.0695830375584099
8,median,local_plus_direct_0,0.065722335284372,0.06172298114261614,0.0695830375584099
1,median,bucket_0_0.01,0.065722335284372,0.06172298114261614,0.0695830375584099
2,mean,bucket_0_0.05,0.065722335284372,0.06172298114261614,0.0695830375584099
1,median,bucket_0_0.03,0.065722335284372,0.06172298114261614,0.0695830375584099
1,median,bucket_0_0.02,0.065722335284372,0.06172298114261614,0.0695830375584099
1,median,local_plus_direct_0,0.065722335284372,0.06172298114261614,0.0695830375584099
8,mean,local_plus_direct_0,0.065722335284372,0.06172298114261614,0.0695830375584099
8,mean,bucket_0_0,0.065722335284372,0.06172298114261614,0.0695830375584099
2,mean,bucket_0_0,0.065722335284372,0.06172298114261614,0.0695830375584099
2,mean,local_plus_direct_0,0.065722335284372,0.06172298114261614,0.0695830375584099
4,median,local_plus_direct_0,0.065722335284372,0.06172298114261614,0.0695830375584099
4,mean,local_plus_direct_0,0.065722335284372,0.06172298114261614,0.0695830375584099
2,median,bucket_0_0,0.065722335284372,0.06172298114261614,0.0695830375584099
2,median,bucket_0_0.05,0.065722335284372,0.06172298114261614,0.0695830375584099
2,median,local_plus_direct_0,0.065722335284372,0.06172298114261614,0.0695830375584099
16,mean,bucket_0_0,0.065722335284372,0.06172298114261614,0.0695830375584099
2,median,bucket_0_0.03,0.065722335284372,0.06172298114261614,0.0695830375584099
16,mean,local_plus_direct_0,0.065722335284372,0.06172298114261614,0.0695830375584099
2,median,bucket_0_0.005,0.065722335284372,0.06172298114261614,0.0695830375584099
