seed,radius,crop,method,pred,n,rmse,coverage
0,1,1,median,mix,2644,0.20384000376965256,0.8347201210287444
0,1,1,median,blend0.01,2644,0.07136199484878689,0.8347201210287444
0,1,1,median,blend0.02,2644,0.07140154023553348,0.8347201210287444
0,1,1,median,blend0.03,2644,0.07148469386186665,0.8347201210287444
0,1,1,median,blend0.05,2644,0.07178114015179456,0.8347201210287444
0,1,1,median,blend0.08,2644,0.07254658530053115,0.8347201210287444
0,1,1,median,blend0.1,2644,0.07326551956298878,0.8347201210287444
0,1,1,median,blend0.15,2644,0.0757564344787259,0.8347201210287444
0,1,1,median,blend0.2,2644,0.07915892309636337,0.8347201210287444
0,1,1,median,blend0.3,2644,0.08824976365817624,0.8347201210287444
0,1,1,median,blend0.4,2644,0.09966691224613453,0.8347201210287444
0,1,1,median,hard,2644,0.20470618494717455,0.8347201210287444
0,1,1,median,blend0.01,2644,0.07136132194549308,0.8347201210287444
0,1,1,median,blend0.02,2644,0.07140062663778579,0.8347201210287444
0,1,1,median,blend0.03,2644,0.07148397150607017,0.8347201210287444
0,1,1,median,blend0.05,2644,0.07178208710368458,0.8347201210287444
0,1,1,median,blend0.08,2644,0.07255317998283307,0.8347201210287444
0,1,1,median,blend0.1,2644,0.07327788621283782,0.8347201210287444
0,1,1,median,blend0.15,2644,0.07578961852049443,0.8347201210287444
0,1,1,median,blend0.2,2644,0.07922071087753729,0.8347201210287444
0,1,1,median,blend0.3,2644,0.08838518999958296,0.8347201210287444
0,1,1,median,blend0.4,2644,0.09988849255936179,0.8347201210287444
0,1,1,mean,mix,2644,0.20384000376965256,0.8347201210287444
0,1,1,mean,blend0.01,2644,0.07136199484878689,0.8347201210287444
0,1,1,mean,blend0.02,2644,0.07140154023553348,0.8347201210287444
0,1,1,mean,blend0.03,2644,0.07148469386186665,0.8347201210287444
0,1,1,mean,blend0.05,2644,0.07178114015179456,0.8347201210287444
0,1,1,mean,blend0.08,2644,0.07254658530053115,0.8347201210287444
0,1,1,mean,blend0.1,2644,0.07326551956298878,0.8347201210287444
0,1,1,mean,blend0.15,2644,0.0757564344787259,0.8347201210287444
0,1,1,mean,blend0.2,2644,0.07915892309636337,0.8347201210287444
0,1,1,mean,blend0.3,2644,0.08824976365817624,0.8347201210287444
0,1,1,mean,blend0.4,2644,0.09966691224613453,0.8347201210287444
0,1,1,mean,hard,2644,0.20470618494717455,0.8347201210287444
