radius,crop,method,pred,pooled_rmse,min_seed_rmse,max_seed_rmse,mean_delta_vs_global40
2,1,median,blend0.01,0.06806816289829595,0.0644528038092327,0.07134855716113145,
2,1,mean,blend0.01,0.06806921103301636,0.06445080897001386,0.07134910057778791,
4,1,mean,blend0.01,0.06807402112342287,0.06446891468589641,0.07134793839851314,
2,0,median,blend0.01,0.06807491039083494,0.06444451054571369,0.0713579846345095,
2,0,mean,blend0.01,0.06807531817304516,0.06444177251831247,0.07135904954447753,
4,1,median,blend0.01,0.06807731142113002,0.06448969137356243,0.07134913475485974,
1,1,median,blend0.01,0.06807891947971305,0.0645039968062187,0.07136199484878689,
1,1,mean,blend0.01,0.06807891947971305,0.0645039968062187,0.07136199484878689,
4,0,mean,blend0.01,0.0680821821520811,0.06446296920642348,0.07135290902933492,
4,0,median,blend0.01,0.0680849947579526,0.06447383062712508,0.07135888637091525,
1,0,mean,blend0.01,0.06808565825640334,0.06450064257265135,0.0713713869177718,
1,0,median,blend0.01,0.06808565825640334,0.06450064257265135,0.0713713869177718,
8,1,mean,blend0.01,0.06809119309647668,0.06448304536625804,0.07137213166786717,
8,1,median,blend0.01,0.06809819951298737,0.06449826754273527,0.0713751646110145,
8,0,mean,blend0.01,0.0680984611587641,0.06447562855775585,0.0713775185068975,
8,0,median,blend0.01,0.06810035078816337,0.06447192355622965,0.07137453123985155,
16,1,mean,blend0.01,0.0681069173344752,0.06449738585602605,0.07138899228066754,
2,1,mean,blend0.02,0.06810987537072717,0.06448601901569176,0.07137787662933855,
2,1,median,blend0.02,0.06811050945178235,0.06449288279475103,0.07137909870214498,
4,1,mean,blend0.02,0.06811246937362857,0.06451531075881103,0.07136835449072726,
32,1,mean,blend0.01,0.06811580325851271,0.06450808485762873,0.07140429594096583,
16,1,median,blend0.01,0.06811942308230423,0.06451144565881438,0.07139829590519987,
2,0,mean,blend0.02,0.06812343537046905,0.06446872790380544,0.07139912696509514,
16,0,mean,blend0.01,0.06812380195305079,0.06450032349010652,0.0714051658609874,
4,1,median,blend0.02,0.06812450146520055,0.06456302262918989,0.07137481119035631,
32,1,median,blend0.01,0.06812536410424641,0.06451028270721548,0.07141804405301017,
2,0,median,blend0.02,0.06812568755655461,0.0644775263435363,0.07139957142771976,
1,1,median,blend0.02,0.06812778020906136,0.06459035075183922,0.07140154023553348,
1,1,mean,blend0.02,0.06812778020906136,0.06459035075183922,0.07140154023553348,
4,0,mean,blend0.02,0.0681305144128159,0.0645040980209862,0.07138030964183817,
16,0,median,blend0.01,0.06813321687860152,0.06450417972797758,0.071420284219996,
4,0,median,blend0.02,0.06814164820621782,0.06453212972666983,0.07139588531706319,
1,0,median,blend0.02,0.06814254080950478,0.06458496398840846,0.0714224357917574,
