radius,method,policy,pred,seed,n,rmse
1,median,dist502,route_plus_direct_-0.1,0,2644,0.07289302844264138
1,median,dist502,route_plus_direct_-0.1,1,2644,0.06525514827430416
1,median,dist502,route_plus_direct_-0.1,2,2644,0.06786287804272835
1,median,dist502,route_plus_direct_-0.1,70404,2644,0.07151004029104778
1,median,dist502,route_plus_direct_-0.1,-1,10576,0.06944545350581031
1,median,dist502,route_plus_direct_-0.05,0,2644,0.07111447603393699
1,median,dist502,route_plus_direct_-0.05,1,2644,0.06349890294545407
1,median,dist502,route_plus_direct_-0.05,2,2644,0.06589034871384827
1,median,dist502,route_plus_direct_-0.05,70404,2644,0.06932170597485204
1,median,dist502,route_plus_direct_-0.05,-1,10576,0.06752113807866755
1,median,dist502,route_plus_direct_-0.03,0,2644,0.07070143511126771
1,median,dist502,route_plus_direct_-0.03,1,2644,0.06314378838733783
1,median,dist502,route_plus_direct_-0.03,2,2644,0.0654487100354683
1,median,dist502,route_plus_direct_-0.03,70404,2644,0.06878440034052768
1,median,dist502,route_plus_direct_-0.03,-1,10576,0.06708326600988225
1,median,dist502,route_plus_direct_-0.02,0,2644,0.07056065936481438
1,median,dist502,route_plus_direct_-0.02,1,2644,0.06304281650150041
1,median,dist502,route_plus_direct_-0.02,2,2644,0.06530479393153846
1,median,dist502,route_plus_direct_-0.02,70404,2644,0.0685908597951346
1,median,dist502,route_plus_direct_-0.02,-1,10576,0.06693770521969612
1,median,dist502,route_plus_direct_-0.01,0,2644,0.07046409095135751
1,median,dist502,route_plus_direct_-0.01,1,2644,0.06299327028442962
1,median,dist502,route_plus_direct_-0.01,2,2644,0.06521263953487666
1,median,dist502,route_plus_direct_-0.01,70404,2644,0.0684479970915011
1,median,dist502,route_plus_direct_-0.01,-1,10576,0.06684152316425825
1,median,dist502,route_plus_direct_0,0,2644,0.07041191175933409
1,median,dist502,route_plus_direct_0,1,2644,0.06299527107617646
1,median,dist502,route_plus_direct_0,2,2644,0.06517246642027584
1,median,dist502,route_plus_direct_0,70404,2644,0.06835612997685706
1,median,dist502,route_plus_direct_0,-1,10576,0.06679493315417001
1,median,dist502,route_plus_direct_0.005,0,2644,0.07040250224427752
1,median,dist502,route_plus_direct_0.005,1,2644,0.06301560500727957
1,median,dist502,route_plus_direct_0.005,2,2644,0.06517190774194262
1,median,dist502,route_plus_direct_0.005,70404,2644,0.06832938850260613
1,median,dist502,route_plus_direct_0.005,-1,10576,0.06679027191244497
1,median,dist502,route_plus_direct_0.01,0,2644,0.07040422048433291
1,median,dist502,route_plus_direct_0.01,1,2644,0.0630488139693611
1,median,dist502,route_plus_direct_0.01,2,2644,0.065184370695968
1,median,dist502,route_plus_direct_0.01,70404,2644,0.06831546418023017
1,median,dist502,route_plus_direct_0.01,-1,10576,0.0667980389572541
1,median,dist502,route_plus_direct_0.015,0,2644,0.07041706566491844
1,median,dist502,route_plus_direct_0.015,1,2644,0.06309487763273519
1,median,dist502,route_plus_direct_0.015,2,2644,0.06520984781624056
1,median,dist502,route_plus_direct_0.015,70404,2644,0.06831436484718034
1,median,dist502,route_plus_direct_0.015,-1,10576,0.06681822995455317
1,median,dist502,route_plus_direct_0.02,0,2644,0.07044103169891908
1,median,dist502,route_plus_direct_0.02,1,2644,0.06315376786917509
1,median,dist502,route_plus_direct_0.02,2,2644,0.06524832385807261
1,median,dist502,route_plus_direct_0.02,70404,2644,0.06832609112249984
1,median,dist502,route_plus_direct_0.02,-1,10576,0.06685083364710169
1,median,dist502,route_plus_direct_0.03,0,2644,0.07052227571490394
1,median,dist502,route_plus_direct_0.03,1,2644,0.0633098770915929
1,median,dist502,route_plus_direct_0.03,2,2644,0.06536417313083405
1,median,dist502,route_plus_direct_0.03,70404,2644,0.06838798689223491
1,median,dist502,route_plus_direct_0.03,-1,10576,0.06695319968009683
1,median,dist502,route_plus_direct_0.05,0,2644,0.07081736682204645
1,median,dist502,route_plus_direct_0.05,1,2644,0.06377393577595547
1,median,dist502,route_plus_direct_0.05,2,2644,0.06575033987174964
1,median,dist502,route_plus_direct_0.05,70404,2644,0.06866491550183898
1,median,dist502,route_plus_direct_0.05,-1,10576,0.06730563152903561
1,median,dist502,route_plus_direct_0.08,0,2644,0.07158679769344116
1,median,dist502,route_plus_direct_0.08,1,2644,0.06484058579295324
1,median,dist502,route_plus_direct_0.08,2,2644,0.06670816019044258
1,median,dist502,route_plus_direct_0.08,70404,2644,0.06945772803815099
1,median,dist502,route_plus_direct_0.08,-1,10576,0.06819700468163997
1,median,dist502,route_plus_direct_0.1,0,2644,0.07231220560592451
1,median,dist502,route_plus_direct_0.1,1,2644,0.06578938207994066
1,median,dist502,route_plus_direct_0.1,2,2644,0.06759074267588978
1,median,dist502,route_plus_direct_0.1,70404,2644,0.07023125561777299
1,median,dist502,route_plus_direct_0.1,-1,10576,0.0690257843765307
1,median,dist502,bucket_0_0,0,2644,0.07041191175933409
1,median,dist502,bucket_0_0,1,2644,0.06299527107617646
1,median,dist502,bucket_0_0,2,2644,0.06517246642027584
1,median,dist502,bucket_0_0,70404,2644,0.06835612997685706
1,median,dist502,bucket_0_0,-1,10576,0.06679493315417001
1,median,dist502,bucket_0_0.005,0,2644,0.07040853223775655
1,median,dist502,bucket_0_0.005,1,2644,0.06300331212560645
1,median,dist502,bucket_0_0.005,2,2644,0.06518575437797362
1,median,dist502,bucket_0_0.005,70404,2644,0.06833551588359084
1,median,dist502,bucket_0_0.005,-1,10576,0.06679390701174359
1,median,dist502,bucket_0_0.01,0,2644,0.07040818910934309
1,median,dist502,bucket_0_0.01,1,2644,0.06301528420864447
1,median,dist502,bucket_0_0.01,2,2644,0.06520285434381984
1,median,dist502,bucket_0_0.01,70404,2644,0.06831868194160196
1,median,dist502,bucket_0_0.01,-1,10576,0.06679650749547542
1,median,dist502,bucket_0_0.02,0,2644,0.07041661181676692
1,median,dist502,bucket_0_0.02,1,2644,0.06305101178321863
1,median,dist502,bucket_0_0.02,2,2644,0.06524847764346847
1,median,dist502,bucket_0_0.02,70404,2644,0.06829636506472045
1,median,dist502,bucket_0_0.02,-1,10576,0.06681258605697842
1,median,dist502,bucket_0_0.03,0,2644,0.07043717552466813
1,median,dist502,bucket_0_0.03,1,2644,0.063102427108115
1,median,dist502,bucket_0_0.03,2,2644,0.06530930439017427
1,median,dist502,bucket_0_0.03,70404,2644,0.06828919418078071
1,median,dist502,bucket_0_0.03,-1,10576,0.06684315837207404
1,median,dist502,bucket_0_0.05,0,2644,0.07051467718356651
1,median,dist502,bucket_0_0.05,1,2644,0.06325215631263431
1,median,dist502,bucket_0_0.05,2,2644,0.06547638814865359
1,median,dist502,bucket_0_0.05,70404,2644,0.0683202993951798
1,median,dist502,bucket_0_0.05,-1,10576,0.06694769542512398
1,median,dist502,bucket_0.005_0,0,2644,0.0704058820552981
1,median,dist502,bucket_0.005_0,1,2644,0.06300756552667183
1,median,dist502,bucket_0.005_0,2,2644,0.06515861696046622
