radius,method,policy,pred,pooled_rmse,min_seed_rmse,max_seed_rmse
2,median,override6035,bucket_0_0.02,0.06672779225880764,0.06298462639447674,0.07036335286537154
2,mean,override6035,bucket_0_0.02,0.0667308908686206,0.06298653736167045,0.07036868010282894
2,median,override6035,bucket_0.005_0.02,0.06673340815208464,0.0629920743196401,0.07036118401391717
4,mean,override6035,bucket_0_0.02,0.06673448578915787,0.06299427177082675,0.0703327946480763
2,mean,override6035,bucket_0.005_0.02,0.0667366536402972,0.06299314633551159,0.07036545876560427
2,median,override6035,bucket_0_0.03,0.06673729592827861,0.06299786312895879,0.07037722603599438
2,median,override6035,bucket_0_0.01,0.06673750374521906,0.06299284116812974,0.07036621143833668
4,median,override6035,bucket_0_0.02,0.06673868026294424,0.06300309137961406,0.07033047189525161
2,mean,override6035,bucket_0_0.01,0.06673930007791204,0.06299409615299613,0.07036893102193685
4,mean,override6035,bucket_0.005_0.02,0.06673935669160964,0.06300481862112459,0.0703331435781024
2,mean,override6035,bucket_0_0.03,0.0667412014480915,0.0629998301902457,0.07038504713671566
4,mean,override6035,bucket_0_0.03,0.06674171935231672,0.06300524145850293,0.07032581510748658
4,mean,override6035,bucket_0_0.01,0.06674272191425515,0.06300002583207229,0.07035279321675439
2,median,override6035,bucket_0.005_0.03,0.06674291102189625,0.06300530948939359,0.07037505761208984
2,median,override6035,bucket_0.005_0.01,0.06674311882135307,0.06300028812213851,0.07036404267499292
4,median,override6035,bucket_0_0.01,0.06674377594817671,0.06300315646094533,0.07035110899051855
4,median,override6035,bucket_0.005_0.02,0.0667449240148825,0.06302097741440434,0.07033322622516251
2,mean,override6035,bucket_0.005_0.01,0.06674506212353713,0.06300070433389608,0.07036570969619924
2,median,override5525,bucket_0_0.02,0.06674581823902219,0.06300348637835676,0.07036970094384447
4,mean,override6035,bucket_0.005_0.03,0.06674658972689163,0.0630157864728219,0.07032616407214233
2,mean,override6035,bucket_0.005_0.03,0.06674696332957758,0.06300643776975384,0.07038182654860108
4,mean,override6035,bucket_0.005_0.01,0.06674759221567607,0.0630105717192425,0.07035314204759371
2,median,override6035,bucket_0.01_0.02,0.06674772151208946,0.0630083115119965,0.07036706880015794
2,mean,override5525,bucket_0_0.02,0.06674891601203535,0.06300539677352311,0.07037502770076605
2,median,override6035,bucket_0_0.005,0.06674956319918592,0.06300499110430183,0.07037391495768068
4,median,override6035,bucket_0.005_0.01,0.06675001922346799,0.06302104247726485,0.07035386251249416
2,mean,override6035,bucket_0_0.005,0.06675052300764253,0.06300569336958976,0.07037528861816651
2,mean,override6035,bucket_0.01_0.02,0.066750547125778,0.06300795330869682,0.07036973572591526
4,median,override6035,bucket_0_0.03,0.06675113896632413,0.06302230387724779,0.07032390080295639
4,mean,override6035,bucket_0.01_0.02,0.06675137869638664,0.06302285406365485,0.07033993944741473
2,median,override5525,bucket_0.005_0.02,0.06675157152597053,0.06301050941901823,0.07036774621956514
4,mean,override5525,bucket_0_0.02,0.0667524060175222,0.06301300441750249,0.07033908462371526
4,mean,override6035,bucket_0_0.005,0.06675263974062279,0.0630091733569323,0.07036767145012642
4,median,override6035,bucket_0_0.005,0.06675290597121568,0.06301041876620868,0.07036669875132846
8,mean,override6035,bucket_0_0.01,0.0667530394716636,0.06301405207253859,0.07036904323573316
2,mean,override5525,bucket_0.005_0.02,0.06675480107130748,0.06301155890739106,0.0703719641563313
8,mean,override6035,bucket_0_0.02,0.06675512862373176,0.06302309828827392,0.0703651415614848
2,median,override6035,bucket_0.005_0.005,0.0667551772609454,0.06301243662240334,0.07037174643174911
2,median,override6035,route_plus_direct_0.005,0.0667551772609454,0.06301243662240334,0.07037174643174911
2,median,override5525,bucket_0_0.03,0.0667553354890193,0.0630167146333293,0.0703835893151846
2,median,override5525,bucket_0_0.01,0.06675551084915773,0.06301170301664101,0.07037254272631605
2,mean,override6035,route_plus_direct_0.005,0.06675628408456434,0.06301230033427471,0.07037206758345188
2,mean,override6035,bucket_0.005_0.005,0.06675628408456434,0.06301230033427471,0.07037206758345188
4,median,override5525,bucket_0_0.02,0.06675659916039717,0.06302182019324977,0.07033676207860638
8,median,override6035,bucket_0_0.01,0.0667566851745807,0.06301773601949519,0.07037030031709036
2,median,dist502,bucket_0_0.02,0.06675715066594767,0.062959107747868,0.07038982015428749
2,median,override6035,bucket_0.01_0.03,0.06675722234439875,0.06302154327177333,0.07038094123831262
2,mean,override5525,bucket_0_0.01,0.06675730669730827,0.0630129576258492,0.07037526206524976
4,median,override6035,bucket_0.005_0.03,0.0667573815530122,0.06304018446098507,0.07032665539022287
2,median,override6035,bucket_0.01_0.01,0.06675743009930796,0.06301652319808031,0.07036992722217406
2,median,override6035,route_plus_direct_0.01,0.06675743009930796,0.06301652319808031,0.07036992722217406
4,mean,override6035,bucket_0.005_0.005,0.06675750931848759,0.0630197177133314,0.07036802020721084
4,mean,override6035,route_plus_direct_0.005,0.06675750931848759,0.0630197177133314,0.07036802020721084
4,mean,override5525,bucket_0.005_0.02,0.06675763666919012,0.06302336762196274,0.07033971386992864
8,mean,override6035,bucket_0_0.005,0.06675779710621323,0.0630160890146595,0.07037581503402168
4,mean,override6035,bucket_0.01_0.03,0.06675861042913128,0.0630338187771946,0.07033296061584417
2,mean,override6035,bucket_0.01_0.01,0.0667589538590933,0.0630155095311522,0.07036998664125911
2,mean,override6035,route_plus_direct_0.01,0.0667589538590933,0.0630155095311522,0.07036998664125911
4,median,override6035,route_plus_direct_0.005,0.06675914839267273,0.06302830272164914,0.07036945166328441
4,median,override6035,bucket_0.005_0.005,0.06675914839267273,0.06302830272164914,0.07036945166328441
4,median,override6035,bucket_0.01_0.02,0.06675916813386881,0.06304730540232063,0.07034316531608079
2,mean,override5525,bucket_0_0.03,0.06675923995348972,0.0630186811061865,0.07039140970888996
8,median,override6035,bucket_0_0.005,0.06675932915421126,0.06301761169087489,0.07037625431001793
4,mean,override5525,bucket_0_0.03,0.06675960340898358,0.06302390601731978,0.07033209266958919
4,mean,override6035,route_plus_direct_0.01,0.06675961273740809,0.06302860551554137,0.07035993598530987
4,mean,override6035,bucket_0.01_0.01,0.06675961273740809,0.06302860551554137,0.07035993598530987
2,mean,dist502,bucket_0_0.02,0.06676021099722423,0.06296092165310124,0.07039514226553514
2,median,dist503,bucket_0_0.02,0.06676050318149389,0.06296346129215719,0.07039157862670405
4,mean,override5525,bucket_0_0.01,0.06676067511471466,0.0630188226758424,0.07035909498004891
2,mean,override6035,bucket_0.01_0.03,0.06676085466952689,0.06302124162008875,0.07038610251433565
16,mean,override6035,bucket_0_0.01,0.06676102117068021,0.06302118724132955,0.07037616256321172
2,median,override5525,bucket_0.005_0.03,0.0667610879557972,0.06302373619990218,0.07038163497662998
2,median,override5525,bucket_0.005_0.01,0.0667612633008258,0.06301872514160982,0.07037058808097454
8,mean,override6035,bucket_0.005_0.01,0.06676131066703866,0.0630236461215687,0.07037461231059382
4,median,override5525,bucket_0_0.01,0.06676172876168279,0.06302195175905148,0.07035741090466563
