seed,radius,method,pred,n,rmse,coverage
0,1,mean,route,2644,0.07044685785728165,0.8347201210287444
0,1,mean,direct,2644,0.18940656465420985,0.8347201210287444
0,1,mean,r_plus_d_-0.2,2644,0.07928437060643584,0.8347201210287444
0,1,mean,r_plus_d_-0.1,2644,0.07288106333327976,0.8347201210287444
0,1,mean,r_plus_d_-0.05,2644,0.0711267919624619,0.8347201210287444
0,1,mean,r_plus_d_-0.03,2644,0.07072306597660419,0.8347201210287444
0,1,mean,r_plus_d_-0.02,2644,0.07058682533270391,0.8347201210287444
0,1,mean,r_plus_d_-0.01,2644,0.07049469826987438,0.8347201210287444
0,1,mean,r_plus_d_0,2644,0.07044685785728165,0.8347201210287444
0,1,mean,r_plus_d_0.01,2644,0.07044339432452057,0.8347201210287444
0,1,mean,r_plus_d_0.02,2644,0.07048431421350557,0.8347201210287444
0,1,mean,r_plus_d_0.03,2644,0.0705695403168315,0.8347201210287444
0,1,mean,r_plus_d_0.05,2644,0.07087218871932532,0.8347201210287444
0,1,mean,r_plus_d_0.08,2644,0.07165185437460132,0.8347201210287444
0,1,mean,r_plus_d_0.1,2644,0.07238330325829428,0.8347201210287444
0,1,mean,r_plus_d_0.15,2644,0.07491452564161129,0.8347201210287444
0,1,mean,r_plus_d_0.2,2644,0.07836707100845346,0.8347201210287444
0,1,mean,b40_d_-0.1,2644,0.07321881351808972,0.8347201210287444
0,1,mean,b40_d_-0.05,2644,0.07146507209788452,0.8347201210287444
0,1,mean,b40_d_-0.03,2644,0.07105941388903372,0.8347201210287444
0,1,mean,b40_d_-0.02,2644,0.07092173135736263,0.8347201210287444
0,1,mean,b40_d_-0.01,2644,0.0708278442098519,0.8347201210287444
0,1,mean,b40_d_0,2644,0.07077792673087005,0.8347201210287444
0,1,mean,b40_d_0.01,2644,0.07077207195950949,0.8347201210287444
0,1,mean,b40_d_0.02,2644,0.07081029082541458,0.8347201210287444
0,1,mean,b40_d_0.03,2644,0.07089251204699842,0.8347201210287444
0,1,mean,b40_d_0.05,2644,0.07118827010182596,0.8347201210287444
0,1,mean,b40_d_0.1,2644,0.07267751504603186,0.8347201210287444
0,1,median,route,2644,0.07044685785728165,0.8347201210287444
0,1,median,direct,2644,0.18940656465420985,0.8347201210287444
0,1,median,r_plus_d_-0.2,2644,0.07928437060643584,0.8347201210287444
0,1,median,r_plus_d_-0.1,2644,0.07288106333327976,0.8347201210287444
0,1,median,r_plus_d_-0.05,2644,0.0711267919624619,0.8347201210287444
0,1,median,r_plus_d_-0.03,2644,0.07072306597660419,0.8347201210287444
0,1,median,r_plus_d_-0.02,2644,0.07058682533270391,0.8347201210287444
0,1,median,r_plus_d_-0.01,2644,0.07049469826987438,0.8347201210287444
0,1,median,r_plus_d_0,2644,0.07044685785728165,0.8347201210287444
0,1,median,r_plus_d_0.01,2644,0.07044339432452057,0.8347201210287444
0,1,median,r_plus_d_0.02,2644,0.07048431421350557,0.8347201210287444
0,1,median,r_plus_d_0.03,2644,0.0705695403168315,0.8347201210287444
0,1,median,r_plus_d_0.05,2644,0.07087218871932532,0.8347201210287444
0,1,median,r_plus_d_0.08,2644,0.07165185437460132,0.8347201210287444
0,1,median,r_plus_d_0.1,2644,0.07238330325829428,0.8347201210287444
0,1,median,r_plus_d_0.15,2644,0.07491452564161129,0.8347201210287444
0,1,median,r_plus_d_0.2,2644,0.07836707100845346,0.8347201210287444
0,1,median,b40_d_-0.1,2644,0.07321881351808972,0.8347201210287444
0,1,median,b40_d_-0.05,2644,0.07146507209788452,0.8347201210287444
0,1,median,b40_d_-0.03,2644,0.07105941388903372,0.8347201210287444
0,1,median,b40_d_-0.02,2644,0.07092173135736263,0.8347201210287444
0,1,median,b40_d_-0.01,2644,0.0708278442098519,0.8347201210287444
0,1,median,b40_d_0,2644,0.07077792673087005,0.8347201210287444
0,1,median,b40_d_0.01,2644,0.07077207195950949,0.8347201210287444
0,1,median,b40_d_0.02,2644,0.07081029082541458,0.8347201210287444
0,1,median,b40_d_0.03,2644,0.07089251204699842,0.8347201210287444
0,1,median,b40_d_0.05,2644,0.07118827010182596,0.8347201210287444
0,1,median,b40_d_0.1,2644,0.07267751504603186,0.8347201210287444
0,2,mean,route,2644,0.07044685785728165,0.9761724659606656
0,2,mean,direct,2644,0.19288382466040796,0.9761724659606656
0,2,mean,r_plus_d_-0.2,2644,0.07989035349893273,0.9761724659606656
0,2,mean,r_plus_d_-0.1,2644,0.07310801072238617,0.9761724659606656
0,2,mean,r_plus_d_-0.05,2644,0.07121665724605347,0.9761724659606656
0,2,mean,r_plus_d_-0.03,2644,0.07077090713951144,0.9761724659606656
0,2,mean,r_plus_d_-0.02,2644,0.07061664676180673,0.9761724659606656
0,2,mean,r_plus_d_-0.01,2644,0.070508559490462,0.9761724659606656
0,2,mean,r_plus_d_0,2644,0.07044685785728165,0.9761724659606656
0,2,mean,r_plus_d_0.01,2644,0.070431663770735,0.9761724659606656
0,2,mean,r_plus_d_0.02,2644,0.07046300731638892,0.9761724659606656
0,2,mean,r_plus_d_0.03,2644,0.07054082645979479,0.9761724659606656
0,2,mean,r_plus_d_0.05,2644,0.07083518737019817,0.9761724659606656
0,2,mean,r_plus_d_0.08,2644,0.07161858746530006,0.9761724659606656
0,2,mean,r_plus_d_0.1,2644,0.07236300320414413,0.9761724659606656
0,2,mean,r_plus_d_0.15,2644,0.07496066415674102,0.9761724659606656
