radius,method,pred,pooled_rmse,min_seed_rmse,max_seed_rmse
2,median,r_plus_d_0.01,0.06685688078104665,0.06310167264343887,0.07043139264046348
2,mean,r_plus_d_0.01,0.06685842078915817,0.063100677182237,0.070431663770735
4,mean,r_plus_d_0.01,0.06685939006149795,0.06311393154530451,0.07042335248481717
4,median,r_plus_d_0.01,0.06686385771453163,0.06313304888576575,0.07042674552763177
16,mean,r_plus_d_0,0.0668645754737802,0.06310680406119334,0.07044685785728165
2,mean,r_plus_d_0,0.0668645754737802,0.06310680406119334,0.07044685785728165
1,median,r_plus_d_0,0.0668645754737802,0.06310680406119334,0.07044685785728165
1,mean,route,0.0668645754737802,0.06310680406119334,0.07044685785728165
2,median,r_plus_d_0,0.0668645754737802,0.06310680406119334,0.07044685785728165
4,mean,route,0.0668645754737802,0.06310680406119334,0.07044685785728165
8,median,route,0.0668645754737802,0.06310680406119334,0.07044685785728165
8,median,r_plus_d_0,0.0668645754737802,0.06310680406119334,0.07044685785728165
16,mean,route,0.0668645754737802,0.06310680406119334,0.07044685785728165
2,median,route,0.0668645754737802,0.06310680406119334,0.07044685785728165
2,mean,route,0.0668645754737802,0.06310680406119334,0.07044685785728165
1,median,route,0.0668645754737802,0.06310680406119334,0.07044685785728165
4,mean,r_plus_d_0,0.0668645754737802,0.06310680406119334,0.07044685785728165
4,median,route,0.0668645754737802,0.06310680406119334,0.07044685785728165
16,median,r_plus_d_0,0.0668645754737802,0.06310680406119334,0.07044685785728165
1,mean,r_plus_d_0,0.0668645754737802,0.06310680406119334,0.07044685785728165
4,median,r_plus_d_0,0.0668645754737802,0.06310680406119334,0.07044685785728165
8,mean,r_plus_d_0,0.0668645754737802,0.06310680406119334,0.07044685785728165
8,mean,route,0.0668645754737802,0.06310680406119334,0.07044685785728165
16,median,route,0.0668645754737802,0.06310680406119334,0.07044685785728165
1,median,r_plus_d_0.01,0.06687002024812082,0.06315953194249763,0.07044339432452057
1,mean,r_plus_d_0.01,0.06687002024812082,0.06315953194249763,0.07044339432452057
16,median,r_plus_d_-0.01,0.06687005177240743,0.06310998922497418,0.07045546000971
8,mean,r_plus_d_0.01,0.06687638288266612,0.06312585149300379,0.07044960897716822
16,mean,r_plus_d_-0.01,0.06687807982320443,0.06311636324836607,0.07046267262980223
8,median,r_plus_d_0.01,0.06688468071517811,0.06314001866907033,0.0704563311735918
16,mean,r_plus_d_0.01,0.06689232112241233,0.0631415140379222,0.0704675474164853
8,median,r_plus_d_-0.01,0.0668931239820711,0.0631261861720727,0.07047948066432128
8,mean,r_plus_d_-0.01,0.0668956895714763,0.06313401569518322,0.07048161605847375
4,mean,r_plus_d_0.02,0.06689814057536532,0.06316760766570508,0.07043854353925655
2,median,r_plus_d_0.02,0.06690303608171828,0.06315300597937656,0.07046479808093395
2,mean,r_plus_d_0.02,0.06690336038429096,0.06314805816181247,0.07046300731638892
16,median,r_plus_d_0.01,0.06690626292407519,0.06315443232121545,0.07047998266317361
1,mean,r_plus_d_-0.01,0.06690871488322252,0.06310551994734694,0.07049469826987438
1,median,r_plus_d_-0.01,0.06690871488322252,0.06310551994734694,0.07049469826987438
4,median,r_plus_d_0.02,0.06691254800217959,0.06321217402367846,0.07044933060921506
4,mean,r_plus_d_-0.01,0.06691368659789484,0.06314624097557857,0.07050902095633906
4,median,r_plus_d_-0.01,0.06691469969000191,0.06313350549760317,0.0705096310608502
2,mean,r_plus_d_-0.01,0.06692181034099755,0.06316642322856778,0.070508559490462
16,median,r_plus_d_-0.02,0.066922680241696,0.06316398012546799,0.07050577384759812
1,median,r_plus_d_0.02,0.0669250371042862,0.06326357496188144,0.07048431421350557
1,mean,r_plus_d_0.02,0.0669250371042862,0.06326357496188144,0.07048431421350557
2,median,r_plus_d_-0.01,0.0669261015860403,0.06316838647207602,0.07051116157498415
8,mean,r_plus_d_0.02,0.06693108908260532,0.06319111615960268,0.07048986502632612
16,mean,r_plus_d_-0.02,0.06693280920291704,0.06317017150243195,0.07051496717298045
8,median,r_plus_d_0.02,0.0669533958759983,0.0632257471032908,0.07050788364536859
16,mean,r_plus_d_0.02,0.06696126549285156,0.06322042026315176,0.07052470918001971
8,mean,r_plus_d_-0.02,0.06696966535180225,0.06320742664958086,0.07055382814409208
8,median,r_plus_d_-0.02,0.06697026401879407,0.06319811660936225,0.07055414120154829
4,mean,r_plus_d_0.03,0.0669807507603959,0.06326771394737621,0.07049240600346147
16,median,r_plus_d_0.02,0.06699502608085427,0.06325275922019342,0.07055477565616287
2,mean,r_plus_d_0.03,0.0669992914452039,0.06324882674856627,0.07054082645979479
1,median,r_plus_d_-0.02,0.06700234048218491,0.06315568273890196,0.07058682533270391
1,mean,r_plus_d_-0.02,0.06700234048218491,0.06315568273890196,0.07058682533270391
2,median,r_plus_d_0.03,0.06700293009138249,0.06326066661292945,0.0705470047549789
4,mean,r_plus_d_-0.02,0.06700662685057998,0.06323215516404095,0.0706097396820938
4,median,r_plus_d_0.03,0.06701053863619827,0.06334398131140644,0.07051457207543767
4,median,r_plus_d_-0.02,0.06701411950038597,0.06321308610095389,0.07061495136820038
16,median,r_plus_d_-0.03,0.06702234980476554,0.06326864669613469,0.07059771018928636
8,mean,r_plus_d_0.03,0.06702858903656651,0.06330245511160479,0.07056756181947454
16,mean,r_plus_d_-0.03,0.06702866263140289,0.06326811592468012,0.0706036604276261
1,median,r_plus_d_0.03,0.06702950397822466,0.06341868056104989,0.0705695403168315
1,mean,r_plus_d_0.03,0.06702950397822466,0.06341868056104989,0.0705695403168315
