group,label,weight_archive,n,rmse,mae
overall,all,0.0000000000,7932,0.0684982550,0.0416406856
overall,all,0.0200000000,7932,0.0685032169,0.0416391723
overall,all,0.0400000000,7932,0.0685100486,0.0416386047
overall,all,0.0600000000,7932,0.0685187496,0.0416397483
overall,all,0.0800000000,7932,0.0685293192,0.0416421075
overall,all,0.1000000000,7932,0.0685417565,0.0416456827
overall,all,0.1200000000,7932,0.0685560605,0.0416507243
overall,all,0.1400000000,7932,0.0685722300,0.0416577892
overall,all,0.1600000000,7932,0.0685902637,0.0416669271
overall,all,0.1800000000,7932,0.0686101602,0.0416785297
overall,all,0.2000000000,7932,0.0686319178,0.0416921983
overall,all,0.2200000000,7932,0.0686555347,0.0417077567
overall,all,0.2400000000,7932,0.0686810091,0.0417245968
overall,all,0.2600000000,7932,0.0687083389,0.0417420101
overall,all,0.2800000000,7932,0.0687375218,0.0417613700
overall,all,0.3000000000,7932,0.0687685555,0.0417826878
overall,all,0.3200000000,7932,0.0688014375,0.0418057598
overall,all,0.3400000000,7932,0.0688361651,0.0418311924
overall,all,0.3600000000,7932,0.0688727356,0.0418586091
overall,all,0.3800000000,7932,0.0689111460,0.0418876241
overall,all,0.4000000000,7932,0.0689513932,0.0419186373
overall,all,0.4200000000,7932,0.0689934741,0.0419516421
overall,all,0.4400000000,7932,0.0690373852,0.0419860952
overall,all,0.4600000000,7932,0.0690831231,0.0420218039
overall,all,0.4800000000,7932,0.0691306842,0.0420586905
overall,all,0.5000000000,7932,0.0691800647,0.0420976042
mask_seed,0,0.0000000000,2644,0.0713661302,0.0415621627
mask_seed,0,0.0200000000,2644,0.0713735033,0.0415635557
mask_seed,0,0.0400000000,2644,0.0713825999,0.0415660522
mask_seed,0,0.0600000000,2644,0.0713934196,0.0415707800
mask_seed,0,0.0800000000,2644,0.0714059614,0.0415766384
mask_seed,0,0.1000000000,2644,0.0714202245,0.0415835441
mask_seed,0,0.1200000000,2644,0.0714362079,0.0415926498
mask_seed,0,0.1400000000,2644,0.0714539103,0.0416035145
mask_seed,0,0.1600000000,2644,0.0714733306,0.0416148830
mask_seed,0,0.1800000000,2644,0.0714944672,0.0416280222
mask_seed,0,0.2000000000,2644,0.0715173188,0.0416434617
mask_seed,0,0.2200000000,2644,0.0715418836,0.0416607120
mask_seed,0,0.2400000000,2644,0.0715681599,0.0416791650
mask_seed,0,0.2600000000,2644,0.0715961458,0.0416980828
mask_seed,0,0.2800000000,2644,0.0716258392,0.0417188308
mask_seed,0,0.3000000000,2644,0.0716572382,0.0417413887
mask_seed,0,0.3200000000,2644,0.0716903404,0.0417648770
mask_seed,0,0.3400000000,2644,0.0717251434,0.0417901612
mask_seed,0,0.3600000000,2644,0.0717616449,0.0418167899
mask_seed,0,0.3800000000,2644,0.0717998422,0.0418453691
mask_seed,0,0.4000000000,2644,0.0718397325,0.0418765205
mask_seed,0,0.4200000000,2644,0.0718813132,0.0419091149
mask_seed,0,0.4400000000,2644,0.0719245812,0.0419428927
mask_seed,0,0.4600000000,2644,0.0719695335,0.0419776535
mask_seed,0,0.4800000000,2644,0.0720161670,0.0420137501
mask_seed,0,0.5000000000,2644,0.0720644784,0.0420519395
mask_seed,1,0.0000000000,2644,0.0644679552,0.0416945639
