anon_polygon_id,date,primary_ndvi_pred_leader,primary_ndvi_pred_archive,year,cohort,delta
AOI-0001,2010-08-29,0.2192502300,0.2221960360,2010,new,0.0029458060
AOI-0001,2010-10-25,0.1759084400,0.1773101851,2010,new,0.0014017451
AOI-0001,2011-06-13,0.6625976300,0.6721974833,2011,new,0.0095998533
AOI-0001,2011-09-18,0.2633193500,0.2623069355,2011,new,-0.0010124145
AOI-0001,2011-09-26,0.2592570300,0.2619094376,2011,new,0.0026524076
AOI-0001,2011-09-30,0.3868714900,0.3799960234,2011,new,-0.0068754666
AOI-0001,2012-05-24,0.7046678300,0.7288197072,2012,new,0.0241518772
AOI-0001,2012-07-09,0.2522495300,0.2508317584,2012,new,-0.0014177716
AOI-0001,2012-07-11,0.3224630400,0.3526735605,2012,new,0.0302105205
AOI-0001,2012-08-10,0.2001987400,0.2136846935,2012,new,0.0134859535
AOI-0001,2012-08-12,0.2763535200,0.3098713645,2012,new,0.0335178445
AOI-0001,2012-10-15,0.3401719800,0.3516561167,2012,new,0.0114841367
AOI-0001,2013-05-01,0.8165315400,0.8203660046,2013,new,0.0038344646
AOI-0001,2013-07-12,0.3256408000,0.3250233709,2013,new,-0.0006174291
AOI-0001,2013-09-30,0.5045947000,0.5512680101,2013,new,0.0466733101
AOI-0001,2014-04-18,0.2360681800,0.2524169388,2014,new,0.0163487588
AOI-0001,2014-05-25,0.6429487500,0.6633218434,2014,new,0.0203730934
AOI-0001,2014-06-26,0.7823616000,0.7841799267,2014,new,0.0018183267
AOI-0001,2014-07-15,0.7468673100,0.7720321950,2014,new,0.0251648850
AOI-0001,2014-07-28,0.6206353300,0.6320845527,2014,new,0.0114492227
AOI-0001,2014-08-09,0.4518570900,0.4432905411,2014,new,-0.0085665489
AOI-0001,2014-08-13,0.4100897000,0.4105376511,2014,new,0.0004479511
AOI-0001,2014-10-03,0.1990379000,0.2040901095,2014,new,0.0050522095
AOI-0001,2014-10-16,0.3274358300,0.3382853244,2014,new,0.0108494944
AOI-0001,2015-04-13,0.4271653500,0.4547610424,2015,new,0.0275956924
AOI-0001,2015-08-11,0.2163926700,0.2188810063,2015,new,0.0024883363
AOI-0001,2015-08-12,0.2020061000,0.2161229874,2015,new,0.0141168874
AOI-0001,2015-08-27,0.2077894500,0.2102463136,2015,new,0.0024568636
AOI-0001,2015-09-20,0.1850020400,0.1948174327,2015,new,0.0098153927
AOI-0001,2015-09-28,0.1914299000,0.2050905040,2015,new,0.0136606040
AOI-0001,2016-06-27,0.2893960500,0.2915582281,2016,new,0.0021621781
AOI-0001,2016-07-04,0.2923642400,0.3042905977,2016,new,0.0119263577
