family,dataset,partition,method,n,rmse,mae,eligible_for_core_meta,note
postcorr,random_private_like,random0,hgb_raw,2644,0.073805933,0.043621903,True,fixed/observable
postcorr,random_private_like,random0,hgb_clip_01,2644,0.073805933,0.043621903,True,fixed/observable
postcorr,random_private_like,random0,hgb_affine,2644,0.073843149,0.043602835,False,crossfit label-fitted; excluded from second-level fit
postcorr,random_private_like,random0,hgb_affine_winsor,2644,0.073815535,0.043608897,False,crossfit label-fitted; excluded from second-level fit
postcorr,random_private_like,random0,hgb_bias_median,2644,0.073800691,0.043601655,False,crossfit label-fitted; excluded from second-level fit
postcorr,random_private_like,random0,hgb_shrink_0.95,2644,0.074198369,0.045175952,False,crossfit label-fitted; excluded from second-level fit
postcorr,random_private_like,random0,hgb_peer_0.10,2644,0.076175228,0.047153051,True,fixed/observable
postcorr,random_private_like,random0,blend_lag_0.10,2644,0.073509476,0.043444886,True,fixed/observable
postcorr,random_private_like,random0,blend_lag_0.20,2644,0.073409327,0.043469915,True,fixed/observable
postcorr,random_private_like,random0,blend_lag_fit_global,2644,0.073413327,0.043444743,False,crossfit label-fitted; excluded from second-level fit
postcorr,random_private_like,random0,blend_lag_fit_canon,2644,0.073497298,0.043468268,False,crossfit label-fitted; excluded from second-level fit
postcorr,random_private_like,random0,blend_lag_fit_hidden_doy,2644,0.073413327,0.043444743,False,crossfit label-fitted; excluded from second-level fit
postcorr,random_private_like,random0,blend_lag_fit_span,2644,0.073404301,0.043487907,False,crossfit label-fitted; excluded from second-level fit
postcorr,random_private_like,random0,hgb_groupbias_canon,2644,0.073794325,0.043592549,False,crossfit label-fitted; excluded from second-level fit
postcorr,random_private_like,random0,hgb_groupbias_span,2644,0.073833358,0.043618787,False,crossfit label-fitted; excluded from second-level fit
postcorr,random_private_like,random1,hgb_raw,2644,0.067084333,0.043710699,True,fixed/observable
postcorr,random_private_like,random1,hgb_clip_01,2644,0.067084333,0.043710699,True,fixed/observable
postcorr,random_private_like,random1,hgb_affine,2644,0.067139141,0.043777036,False,crossfit label-fitted; excluded from second-level fit
postcorr,random_private_like,random1,hgb_affine_winsor,2644,0.067165248,0.043857386,False,crossfit label-fitted; excluded from second-level fit
postcorr,random_private_like,random1,hgb_bias_median,2644,0.067140012,0.043721057,False,crossfit label-fitted; excluded from second-level fit
postcorr,random_private_like,random1,hgb_shrink_0.95,2644,0.067978662,0.045559283,False,crossfit label-fitted; excluded from second-level fit
postcorr,random_private_like,random1,hgb_peer_0.10,2644,0.069222902,0.047375620,True,fixed/observable
postcorr,random_private_like,random1,blend_lag_0.10,2644,0.066704189,0.043443133,True,fixed/observable
postcorr,random_private_like,random1,blend_lag_0.20,2644,0.066541059,0.043364775,True,fixed/observable
postcorr,random_private_like,random1,blend_lag_fit_global,2644,0.066567926,0.043366408,False,crossfit label-fitted; excluded from second-level fit
postcorr,random_private_like,random1,blend_lag_fit_canon,2644,0.066561118,0.043363531,False,crossfit label-fitted; excluded from second-level fit
postcorr,random_private_like,random1,blend_lag_fit_hidden_doy,2644,0.066567926,0.043366408,False,crossfit label-fitted; excluded from second-level fit
postcorr,random_private_like,random1,blend_lag_fit_span,2644,0.066523041,0.043405005,False,crossfit label-fitted; excluded from second-level fit
postcorr,random_private_like,random1,hgb_groupbias_canon,2644,0.067139720,0.043713399,False,crossfit label-fitted; excluded from second-level fit
postcorr,random_private_like,random1,hgb_groupbias_span,2644,0.067156953,0.043756481,False,crossfit label-fitted; excluded from second-level fit
postcorr,random_private_like,random2,hgb_raw,2644,0.068407333,0.041072911,True,fixed/observable
postcorr,random_private_like,random2,hgb_clip_01,2644,0.068407333,0.041072911,True,fixed/observable
postcorr,random_private_like,random2,hgb_affine,2644,0.068437478,0.041168516,False,crossfit label-fitted; excluded from second-level fit
postcorr,random_private_like,random2,hgb_affine_winsor,2644,0.068454407,0.041246045,False,crossfit label-fitted; excluded from second-level fit
postcorr,random_private_like,random2,hgb_bias_median,2644,0.068393236,0.041050246,False,crossfit label-fitted; excluded from second-level fit
postcorr,random_private_like,random2,hgb_shrink_0.95,2644,0.069353083,0.043134178,False,crossfit label-fitted; excluded from second-level fit
postcorr,random_private_like,random2,hgb_peer_0.10,2644,0.070900491,0.045445224,True,fixed/observable
postcorr,random_private_like,random2,blend_lag_0.10,2644,0.068191029,0.040826132,True,fixed/observable
postcorr,random_private_like,random2,blend_lag_0.20,2644,0.068212086,0.040835018,True,fixed/observable
postcorr,random_private_like,random2,blend_lag_fit_global,2644,0.068231860,0.040851452,False,crossfit label-fitted; excluded from second-level fit
postcorr,random_private_like,random2,blend_lag_fit_canon,2644,0.068229192,0.040852736,False,crossfit label-fitted; excluded from second-level fit
postcorr,random_private_like,random2,blend_lag_fit_hidden_doy,2644,0.068231860,0.040851452,False,crossfit label-fitted; excluded from second-level fit
postcorr,random_private_like,random2,blend_lag_fit_span,2644,0.068228105,0.040875005,False,crossfit label-fitted; excluded from second-level fit
postcorr,random_private_like,random2,hgb_groupbias_canon,2644,0.068413201,0.041048218,False,crossfit label-fitted; excluded from second-level fit
postcorr,random_private_like,random2,hgb_groupbias_span,2644,0.068390858,0.041042315,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2019,hgb_raw,249,0.057749371,0.039727019,True,fixed/observable
postcorr,exact_hidden_doy,exact2019,hgb_clip_01,249,0.057749371,0.039727019,True,fixed/observable
postcorr,exact_hidden_doy,exact2019,hgb_affine,249,0.057778865,0.039757310,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2019,hgb_affine_winsor,249,0.057851927,0.039844023,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2019,hgb_bias_median,249,0.057771361,0.039750951,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2019,hgb_shrink_0.95,249,0.059707014,0.042189085,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2019,hgb_peer_0.10,249,0.060949746,0.043011404,True,fixed/observable
postcorr,exact_hidden_doy,exact2019,blend_lag_0.10,249,0.057340402,0.039537995,True,fixed/observable
postcorr,exact_hidden_doy,exact2019,blend_lag_0.20,249,0.057181056,0.039427368,True,fixed/observable
postcorr,exact_hidden_doy,exact2019,blend_lag_fit_global,249,0.057312593,0.039411708,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2019,blend_lag_fit_canon,249,0.057314746,0.039420397,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2019,blend_lag_fit_hidden_doy,249,0.057312593,0.039411708,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2019,blend_lag_fit_span,249,0.057191906,0.039293506,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2019,hgb_groupbias_canon,249,0.057776637,0.039779978,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2019,hgb_groupbias_span,249,0.057893932,0.039710712,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2020,hgb_raw,222,0.055966933,0.037613409,True,fixed/observable
postcorr,exact_hidden_doy,exact2020,hgb_clip_01,222,0.055966933,0.037613409,True,fixed/observable
postcorr,exact_hidden_doy,exact2020,hgb_affine,222,0.056243809,0.037727051,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2020,hgb_affine_winsor,222,0.056203418,0.037728115,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2020,hgb_bias_median,222,0.055982246,0.037620671,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2020,hgb_shrink_0.95,222,0.057305813,0.039570400,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2020,hgb_peer_0.10,222,0.057992422,0.039913709,True,fixed/observable
postcorr,exact_hidden_doy,exact2020,blend_lag_0.10,222,0.055516145,0.037501587,True,fixed/observable
postcorr,exact_hidden_doy,exact2020,blend_lag_0.20,222,0.055310928,0.037629656,True,fixed/observable
postcorr,exact_hidden_doy,exact2020,blend_lag_fit_global,222,0.055365570,0.037953895,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2020,blend_lag_fit_canon,222,0.055399828,0.037972003,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2020,blend_lag_fit_hidden_doy,222,0.055365570,0.037953895,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2020,blend_lag_fit_span,222,0.055814337,0.038479951,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2020,hgb_groupbias_canon,222,0.056306031,0.037832752,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2020,hgb_groupbias_span,222,0.055897845,0.037548497,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2021,hgb_raw,130,0.077495517,0.057193278,True,fixed/observable
postcorr,exact_hidden_doy,exact2021,hgb_clip_01,130,0.077495517,0.057193278,True,fixed/observable
postcorr,exact_hidden_doy,exact2021,hgb_affine,130,0.077534666,0.057128679,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2021,hgb_affine_winsor,130,0.077583437,0.057170693,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2021,hgb_bias_median,130,0.077536857,0.057184385,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2021,hgb_shrink_0.95,130,0.078549173,0.058366345,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2021,hgb_peer_0.10,130,0.075945570,0.057162111,True,fixed/observable
postcorr,exact_hidden_doy,exact2021,blend_lag_0.10,130,0.077229796,0.056813268,True,fixed/observable
postcorr,exact_hidden_doy,exact2021,blend_lag_0.20,130,0.077222748,0.056872824,True,fixed/observable
postcorr,exact_hidden_doy,exact2021,blend_lag_fit_global,130,0.077560216,0.057398545,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2021,blend_lag_fit_canon,130,0.077587053,0.057387387,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2021,blend_lag_fit_hidden_doy,130,0.077560216,0.057398545,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2021,blend_lag_fit_span,130,0.077240809,0.057141053,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2021,hgb_groupbias_canon,130,0.077553569,0.057191315,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2021,hgb_groupbias_span,130,0.077631272,0.057297481,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2022,hgb_raw,192,0.067843195,0.048510951,True,fixed/observable
postcorr,exact_hidden_doy,exact2022,hgb_clip_01,192,0.067843195,0.048510951,True,fixed/observable
postcorr,exact_hidden_doy,exact2022,hgb_affine,192,0.068482062,0.048954700,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2022,hgb_affine_winsor,192,0.068285899,0.048822503,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2022,hgb_bias_median,192,0.067964138,0.048657370,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2022,hgb_shrink_0.95,192,0.067438336,0.048824675,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2022,hgb_peer_0.10,192,0.068889429,0.049919081,True,fixed/observable
postcorr,exact_hidden_doy,exact2022,blend_lag_0.10,192,0.067153032,0.048052335,True,fixed/observable
postcorr,exact_hidden_doy,exact2022,blend_lag_0.20,192,0.066598087,0.047668607,True,fixed/observable
postcorr,exact_hidden_doy,exact2022,blend_lag_fit_global,192,0.066348777,0.047498232,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2022,blend_lag_fit_canon,192,0.066391192,0.047547653,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2022,blend_lag_fit_hidden_doy,192,0.066348777,0.047498232,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2022,blend_lag_fit_span,192,0.066260025,0.047568011,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2022,hgb_groupbias_canon,192,0.068385290,0.049199905,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2022,hgb_groupbias_span,192,0.067944793,0.048644553,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2023,hgb_raw,169,0.072534562,0.046282499,True,fixed/observable
postcorr,exact_hidden_doy,exact2023,hgb_clip_01,169,0.072534562,0.046282499,True,fixed/observable
postcorr,exact_hidden_doy,exact2023,hgb_affine,169,0.073129606,0.046390836,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2023,hgb_affine_winsor,169,0.073084570,0.046517522,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2023,hgb_bias_median,169,0.072798601,0.046429067,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2023,hgb_shrink_0.95,169,0.073223015,0.049243494,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2023,hgb_peer_0.10,169,0.076216613,0.051870953,True,fixed/observable
postcorr,exact_hidden_doy,exact2023,blend_lag_0.10,169,0.071607070,0.045634208,True,fixed/observable
postcorr,exact_hidden_doy,exact2023,blend_lag_0.20,169,0.070857216,0.045073108,True,fixed/observable
postcorr,exact_hidden_doy,exact2023,blend_lag_fit_global,169,0.070583653,0.044928846,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2023,blend_lag_fit_canon,169,0.070744551,0.044859370,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2023,blend_lag_fit_hidden_doy,169,0.070583653,0.044928846,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2023,blend_lag_fit_span,169,0.070885623,0.045198591,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2023,hgb_groupbias_canon,169,0.072772705,0.046501160,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2023,hgb_groupbias_span,169,0.073475699,0.047109253,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2024,hgb_raw,152,0.051247265,0.035366091,True,fixed/observable
postcorr,exact_hidden_doy,exact2024,hgb_clip_01,152,0.051247265,0.035366091,True,fixed/observable
postcorr,exact_hidden_doy,exact2024,hgb_affine,152,0.051204212,0.035235385,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2024,hgb_affine_winsor,152,0.051269128,0.035446102,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2024,hgb_bias_median,152,0.051308079,0.035562098,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2024,hgb_shrink_0.95,152,0.052894160,0.038465564,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2024,hgb_peer_0.10,152,0.052909679,0.037208652,True,fixed/observable
postcorr,exact_hidden_doy,exact2024,blend_lag_0.10,152,0.051114929,0.035393142,True,fixed/observable
postcorr,exact_hidden_doy,exact2024,blend_lag_0.20,152,0.051154478,0.035562736,True,fixed/observable
postcorr,exact_hidden_doy,exact2024,blend_lag_fit_global,152,0.051388712,0.035865319,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2024,blend_lag_fit_canon,152,0.051450070,0.035842624,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2024,blend_lag_fit_hidden_doy,152,0.051388712,0.035865319,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2024,blend_lag_fit_span,152,0.051149679,0.035726744,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2024,hgb_groupbias_canon,152,0.051457064,0.035884435,False,crossfit label-fitted; excluded from second-level fit
postcorr,exact_hidden_doy,exact2024,hgb_groupbias_span,152,0.051475305,0.035955764,False,crossfit label-fitted; excluded from second-level fit
shock_state,exact_hidden_doy,exact2019,baseline,249,0.057181056,0.039427368,True,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2019,shock_cf,249,0.056877015,0.039137776,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2019,state_cf,249,0.057216282,0.039444329,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2019,joint_cf,249,0.056895197,0.039133451,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2020,baseline,222,0.055310928,0.037629656,True,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2020,shock_cf,222,0.055261261,0.037528515,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2020,state_cf,222,0.055448711,0.037623990,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2020,joint_cf,222,0.055251115,0.037486799,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2021,baseline,130,0.077222748,0.056872824,True,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2021,shock_cf,130,0.077051999,0.056726230,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2021,state_cf,130,0.077254279,0.056838920,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2021,joint_cf,130,0.077033419,0.056722244,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2022,baseline,192,0.066598087,0.047668607,True,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2022,shock_cf,192,0.066770995,0.047800210,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2022,state_cf,192,0.066913897,0.047995743,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2022,joint_cf,192,0.066880130,0.047887565,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2023,baseline,169,0.070857216,0.045073108,True,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2023,shock_cf,169,0.071006438,0.045156390,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2023,state_cf,169,0.071237248,0.045312706,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2023,joint_cf,169,0.070992649,0.045144588,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2024,baseline,152,0.051154478,0.035562736,True,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2024,shock_cf,152,0.051385685,0.035792162,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2024,state_cf,152,0.051148152,0.035546150,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2024,joint_cf,152,0.051368281,0.035731672,False,raw observable shock/state audited separately
shock_state,random_private_like,random0,baseline,2644,0.073409327,0.043469915,True,raw observable shock/state audited separately
shock_state,random_private_like,random0,shock_cf,2644,0.073296087,0.043315842,False,raw observable shock/state audited separately
shock_state,random_private_like,random0,state_cf,2644,0.073304655,0.043363098,False,raw observable shock/state audited separately
shock_state,random_private_like,random0,joint_cf,2644,0.073194282,0.043199303,False,raw observable shock/state audited separately
shock_state,random_private_like,random1,baseline,2644,0.066541059,0.043364775,True,raw observable shock/state audited separately
shock_state,random_private_like,random1,shock_cf,2644,0.066254224,0.043080449,False,raw observable shock/state audited separately
shock_state,random_private_like,random1,state_cf,2644,0.066516172,0.043229192,False,raw observable shock/state audited separately
shock_state,random_private_like,random1,joint_cf,2644,0.066215141,0.042978892,False,raw observable shock/state audited separately
shock_state,random_private_like,random2,baseline,2644,0.068212086,0.040835018,True,raw observable shock/state audited separately
shock_state,random_private_like,random2,shock_cf,2644,0.067955978,0.040572213,False,raw observable shock/state audited separately
shock_state,random_private_like,random2,state_cf,2644,0.068155135,0.040733057,False,raw observable shock/state audited separately
shock_state,random_private_like,random2,joint_cf,2644,0.067902562,0.040480290,False,raw observable shock/state audited separately
overnight_corrections,exact_hidden_doy,exact2019,safe_loo_date_w10,249,0.064945492,0.047028211,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2019,safe_loo_date_w20,249,0.064861083,0.046898482,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2019,safe_loo_crop_doy_w10,249,0.064952590,0.047060685,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2019,safe_loo_crop_doy_w20,249,0.064874133,0.046969582,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2019,safe_loo_doy_w10,249,0.064943012,0.047110086,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2019,safe_loo_doy_w20,249,0.064852690,0.047065410,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2019,safe_pca_rank1_b0.5,249,0.064434062,0.046665933,False,crossfit/PCA correction; incompatible second-level fit
