kind,base,weight,year,rmse,n
default,hgb,0.450000000,2019,0.058307116,249
default,hgb,0.450000000,2020,0.052627910,222
default,hgb,0.450000000,2021,0.076677199,130
default,hgb,0.450000000,2022,0.066837889,192
default,hgb,0.450000000,2023,0.070121881,169
default,hgb,0.450000000,2024,0.049683268,152
default,base20,0.400000000,2019,0.058033141,249
default,base20,0.400000000,2020,0.052481531,222
default,base20,0.400000000,2021,0.076585379,130
default,base20,0.400000000,2022,0.066176109,192
default,base20,0.400000000,2023,0.069424170,169
default,base20,0.400000000,2024,0.049755353,152
default,base30,0.400000000,2019,0.058128192,249
default,base30,0.400000000,2020,0.052421348,222
default,base30,0.400000000,2021,0.076698001,130
default,base30,0.400000000,2022,0.065929244,192
default,base30,0.400000000,2023,0.069084716,169
default,base30,0.400000000,2024,0.049864254,152
default,local40,0.350000000,2019,0.057160645,249
default,local40,0.350000000,2020,0.052425176,222
default,local40,0.350000000,2021,0.076570516,130
default,local40,0.350000000,2022,0.065368285,192
default,local40,0.350000000,2023,0.067530057,169
default,local40,0.350000000,2024,0.049571313,152
regular,hgb,0.550000000,2019,0.058399843,249
regular,hgb,0.550000000,2020,0.052525855,222
regular,hgb,0.550000000,2021,0.076191559,130
regular,hgb,0.550000000,2022,0.066227610,192
regular,hgb,0.550000000,2023,0.069678112,169
regular,hgb,0.550000000,2024,0.049459945,152
regular,base20,0.450000000,2019,0.057926304,249
regular,base20,0.450000000,2020,0.052528993,222
regular,base20,0.450000000,2021,0.076136875,130
regular,base20,0.450000000,2022,0.065703556,192
regular,base20,0.450000000,2023,0.069255615,169
regular,base20,0.450000000,2024,0.049545715,152
regular,base30,0.450000000,2019,0.058011552,249
regular,base30,0.450000000,2020,0.052457179,222
regular,base30,0.450000000,2021,0.076238578,130
regular,base30,0.450000000,2022,0.065497155,192
regular,base30,0.450000000,2023,0.068966696,169
regular,base30,0.450000000,2024,0.049656597,152
regular,local40,0.400000000,2019,0.057106456,249
regular,local40,0.400000000,2020,0.052414354,222
regular,local40,0.400000000,2021,0.076156512,130
regular,local40,0.400000000,2022,0.064985277,192
regular,local40,0.400000000,2023,0.067502331,169
regular,local40,0.400000000,2024,0.049370028,152
wide,hgb,0.500000000,2019,0.058156310,249
wide,hgb,0.500000000,2020,0.052598455,222
wide,hgb,0.500000000,2021,0.076256545,130
wide,hgb,0.500000000,2022,0.066608225,192
wide,hgb,0.500000000,2023,0.069570981,169
wide,hgb,0.500000000,2024,0.049108326,152
wide,base20,0.450000000,2019,0.057900122,249
wide,base20,0.450000000,2020,0.052437849,222
wide,base20,0.450000000,2021,0.076213197,130
wide,base20,0.450000000,2022,0.066019779,192
wide,base20,0.450000000,2023,0.069033288,169
wide,base20,0.450000000,2024,0.049245103,152
wide,base30,0.450000000,2019,0.057978508,249
wide,base30,0.450000000,2020,0.052376394,222
wide,base30,0.450000000,2021,0.076313767,130
wide,base30,0.450000000,2022,0.065801723,192
wide,base30,0.450000000,2023,0.068758799,169
wide,base30,0.450000000,2024,0.049364980,152
wide,local40,0.400000000,2019,0.057023873,249
wide,local40,0.400000000,2020,0.052322782,222
wide,local40,0.400000000,2021,0.076243924,130
wide,local40,0.400000000,2022,0.065258160,192
wide,local40,0.400000000,2023,0.067330240,169
wide,local40,0.400000000,2024,0.049133066,152
