method,weight,rmse,n
local40+feature_wide,0.400000000,0.060842981,1114
local40+feature_wide,0.350000000,0.060855967,1114
local40+feature_wide,0.450000000,0.060862677,1114
local40+feature_regular,0.400000000,0.060867981,1114
local40+feature_regular,0.450000000,0.060883136,1114
local40+feature_regular,0.350000000,0.060883793,1114
local40+feature_wide,0.300000000,0.060901614,1114
local40+feature_wide,0.500000000,0.060915021,1114
local40+feature_regular,0.500000000,0.060929234,1114
local40+feature_regular,0.300000000,0.060930548,1114
local40+feature_wide,0.250000000,0.060979847,1114
local40+feature_wide,0.550000000,0.060999932,1114
local40+feature_regular,0.550000000,0.061006205,1114
local40+feature_regular,0.250000000,0.061008174,1114
local40+feature_default,0.350000000,0.061039251,1114
local40+feature_default,0.400000000,0.061052869,1114
local40+feature_default,0.300000000,0.061058315,1114
local40+feature_wide,0.200000000,0.061090542,1114
local40+feature_default,0.450000000,0.061099146,1114
local40+feature_default,0.250000000,0.061110030,1114
local40+feature_regular,0.600000000,0.061113933,1114
local40+feature_regular,0.200000000,0.061116554,1114
local40+feature_wide,0.600000000,0.061117272,1114
local40+feature_default,0.500000000,0.061178008,1114
local40+feature_default,0.200000000,0.061194313,1114
local40+feature_wide,0.150000000,0.061233523,1114
local40+feature_regular,0.650000000,0.061252256,1114
local40+feature_regular,0.150000000,0.061255524,1114
local40+feature_wide,0.650000000,0.061266856,1114
local40+feature_default,0.550000000,0.061289330,1114
local40+feature_default,0.150000000,0.061311029,1114
local40+feature_wide,0.100000000,0.061408565,1114
local40+feature_regular,0.700000000,0.061420966,1114
local40+feature_regular,0.100000000,0.061424878,1114
base30+feature_wide,0.450000000,0.061430105,1114
local40+feature_default,0.600000000,0.061432935,1114
base30+feature_wide,0.400000000,0.061438422,1114
local40+feature_wide,0.700000000,0.061448448,1114
base30+feature_wide,0.500000000,0.061450238,1114
base30+feature_regular,0.450000000,0.061451242,1114
local40+feature_default,0.100000000,0.061459995,1114
base30+feature_regular,0.400000000,0.061464021,1114
base30+feature_regular,0.500000000,0.061465202,1114
base30+feature_wide,0.350000000,0.061475177,1114
base20+feature_wide,0.450000000,0.061483332,1114
base20+feature_wide,0.400000000,0.061495911,1114
base30+feature_wide,0.550000000,0.061498792,1114
base20+feature_wide,0.500000000,0.061499085,1114
base30+feature_regular,0.350000000,0.061503520,1114
base20+feature_regular,0.450000000,0.061505811,1114
base30+feature_regular,0.550000000,0.061505881,1114
base20+feature_regular,0.500000000,0.061515410,1114
base20+feature_regular,0.400000000,0.061522804,1114
base20+feature_wide,0.350000000,0.061536804,1114
base30+feature_wide,0.300000000,0.061540320,1114
base20+feature_wide,0.550000000,0.061543146,1114
base20+feature_regular,0.550000000,0.061551589,1114
base20+feature_regular,0.350000000,0.061566367,1114
base30+feature_regular,0.300000000,0.061569689,1114
base30+feature_regular,0.600000000,0.061573227,1114
base30+feature_wide,0.600000000,0.061575702,1114
base20+feature_wide,0.300000000,0.061605955,1114
local40+feature_default,0.650000000,0.061608597,1114
base20+feature_regular,0.600000000,0.061614300,1114
local40+feature_wide,0.050000000,0.061615393,1114
base20+feature_wide,0.600000000,0.061615457,1114
local40+feature_regular,0.750000000,0.061619815,1114
local40+feature_regular,0.050000000,0.061624363,1114
base30+feature_wide,0.250000000,0.061633760,1114
base20+feature_regular,0.300000000,0.061636444,1114
local40+feature_default,0.050000000,0.061640975,1114
base30+feature_default,0.400000000,0.061658841,1114
local40+feature_wide,0.750000000,0.061661765,1114
base30+feature_regular,0.250000000,0.061662442,1114
base30+feature_regular,0.650000000,0.061667152,1114
base30+feature_default,0.350000000,0.061668523,1114
base30+feature_default,0.450000000,0.061677345,1114
base30+feature_wide,0.650000000,0.061680860,1114
base20+feature_wide,0.250000000,0.061703268,1114
base20+feature_regular,0.650000000,0.061703463,1114
base30+feature_default,0.300000000,0.061706380,1114
base20+feature_wide,0.650000000,0.061715918,1114
base30+feature_default,0.500000000,0.061724011,1114
base20+feature_default,0.400000000,0.061724077,1114
base20+feature_regular,0.250000000,0.061732944,1114
base20+feature_default,0.350000000,0.061737493,1114
base20+feature_default,0.450000000,0.061738558,1114
base30+feature_wide,0.200000000,0.061755369,1114
hgb+feature_wide,0.500000000,0.061756786,1114
hgb+feature_wide,0.550000000,0.061761417,1114
base30+feature_default,0.250000000,0.061772358,1114
hgb+feature_regular,0.550000000,0.061772537,1114
hgb+feature_regular,0.500000000,0.061775778,1114
base20+feature_default,0.300000000,0.061778790,1114
base20+feature_default,0.500000000,0.061780917,1114
base30+feature_regular,0.200000000,0.061781659,1114
hgb+feature_wide,0.450000000,0.061783368,1114
base30+feature_regular,0.700000000,0.061787536,1114
hgb+feature_wide,0.600000000,0.061797255,1114
hgb+feature_regular,0.600000000,0.061798726,1114
base30+feature_default,0.550000000,0.061798775,1114
hgb+feature_regular,0.450000000,0.061808444,1114
base30+feature_wide,0.700000000,0.061814123,1114
local40+feature_default,0.700000000,0.061816044,1114
