base,peer_config,peer_weight,alpha,beta,exact_rmse,exact_baseline_rmse,exact_delta,exact_wins,exact_folds,exact_coverage,random_rmse,random_baseline_rmse,random_delta,random_wins,random_folds,random_coverage,random2025_rmse,random2025_baseline_rmse,random2025_delta,random2025_wins,random2025_folds,random2025_coverage,worst_delta,mean_delta,all_wins
b_hgb,n16_c80_r125_k3,0.120000000,0.325000000,-0.100000000,0.062551223,0.063405532,-0.000854309,6,6,0.710053860,0.068939385,0.069826420,-0.000887035,3,3,0.568078669,0.062654904,0.063396855,-0.000741951,3,3,0.833774250,-0.000741951,-0.000827765,True
b_hgb,n16_c80_r125_k3,0.120000000,0.300000000,-0.100000000,0.062547822,0.063405532,-0.000857709,6,6,0.710053860,0.068938452,0.069826420,-0.000887968,3,3,0.568078669,0.062655598,0.063396855,-0.000741257,3,3,0.833774250,-0.000741257,-0.000828978,True
b_hgb,n16_c80_r125_k3,0.120000000,0.350000000,-0.100000000,0.062557930,0.063405532,-0.000847601,6,6,0.710053860,0.068944227,0.069826420,-0.000882193,3,3,0.568078669,0.062657357,0.063396855,-0.000739498,3,3,0.833774250,-0.000739498,-0.000823097,True
b_hgb,n16_c80_r125_k3,0.120000000,0.325000000,-0.150000000,0.062556812,0.063405532,-0.000848720,6,6,0.710053860,0.068921831,0.069826420,-0.000904588,3,3,0.568078669,0.062658641,0.063396855,-0.000738214,3,3,0.833774250,-0.000738214,-0.000830507,True
b_hgb,n16_c80_r125_k3,0.120000000,0.300000000,-0.150000000,0.062552932,0.063405532,-0.000852600,6,6,0.710053860,0.068920939,0.069826420,-0.000905481,3,3,0.568078669,0.062659187,0.063396855,-0.000737668,3,3,0.833774250,-0.000737668,-0.000831916,True
b_hgb,n16_c80_r125_k3,0.120000000,0.325000000,-0.050000000,0.062555785,0.063405532,-0.000849746,6,6,0.710053860,0.068964618,0.069826420,-0.000861802,3,3,0.568078669,0.062659959,0.063396855,-0.000736896,3,3,0.833774250,-0.000736896,-0.000816148,True
b_hgb,n16_c80_r125_k3,0.100000000,0.325000000,-0.100000000,0.062604834,0.063405532,-0.000800697,6,6,0.710053860,0.068978712,0.069826420,-0.000847707,3,3,0.568078669,0.062660687,0.063396855,-0.000736168,3,3,0.833774250,-0.000736168,-0.000794858,True
b_hgb,n16_c80_r125_k3,0.120000000,0.300000000,-0.050000000,0.062552865,0.063405532,-0.000852666,6,6,0.710053860,0.068963644,0.069826420,-0.000862775,3,3,0.568078669,0.062660801,0.063396855,-0.000736054,3,3,0.833774250,-0.000736054,-0.000817165,True
b_hgb,n16_c80_r125_k3,0.120000000,0.350000000,-0.150000000,0.062563999,0.063405532,-0.000841533,6,6,0.710053860,0.068926633,0.069826420,-0.000899786,3,3,0.568078669,0.062661243,0.063396855,-0.000735612,3,3,0.833774250,-0.000735612,-0.000825644,True
b_hgb,n16_c80_r125_k3,0.100000000,0.300000000,-0.100000000,0.062602193,0.063405532,-0.000803339,6,6,0.710053860,0.068978392,0.069826420,-0.000848027,3,3,0.568078669,0.062661962,0.063396855,-0.000734893,3,3,0.833774250,-0.000734893,-0.000795420,True
