dataset,partition,cohort,lag_weight,peer_weight,alpha,beta,n,coverage,rmse,baseline_rmse,delta_rmse
exact,exact_2019,all,0.250000000,0.100000000,0.250000000,-0.100000000,249,0.879518072,0.056134657,0.057195772,-0.001061114
exact,exact_2020,all,0.250000000,0.100000000,0.250000000,-0.100000000,222,0.941441441,0.055133347,0.055301391,-0.000168043
exact,exact_2021,all,0.250000000,0.100000000,0.250000000,-0.100000000,130,0.884615385,0.076986234,0.077316350,-0.000330116
exact,exact_2022,all,0.250000000,0.100000000,0.250000000,-0.100000000,192,0.812500000,0.065956757,0.066372413,-0.000415656
exact,exact_2023,all,0.250000000,0.100000000,0.250000000,-0.100000000,169,0.958579882,0.069121820,0.070550725,-0.001428905
exact,exact_2024,all,0.250000000,0.100000000,0.250000000,-0.100000000,152,0.927631579,0.050688594,0.051238653,-0.000550059
random,random_0,all,0.250000000,0.100000000,0.250000000,-0.100000000,2644,0.695537065,0.072561205,0.073433179,-0.000871975
random,random_0,year2025,0.250000000,0.100000000,0.250000000,-0.100000000,756,0.940476190,0.051664808,0.052464820,-0.000800012
random,random_1,all,0.250000000,0.100000000,0.250000000,-0.100000000,2644,0.692133132,0.065565507,0.066541457,-0.000975950
random,random_1,year2025,0.250000000,0.100000000,0.250000000,-0.100000000,756,0.933862434,0.054707766,0.055045718,-0.000337952
random,random_2,all,0.250000000,0.100000000,0.250000000,-0.100000000,2644,0.669062027,0.067432712,0.068311653,-0.000878942
random,random_2,year2025,0.250000000,0.100000000,0.250000000,-0.100000000,756,0.927248677,0.075695202,0.076608182,-0.000912981
exact,exact_2019,all,0.250000000,0.100000000,0.250000000,-0.125000000,249,0.879518072,0.056171004,0.057195772,-0.001024768
exact,exact_2020,all,0.250000000,0.100000000,0.250000000,-0.125000000,222,0.941441441,0.055117011,0.055301391,-0.000184379
exact,exact_2021,all,0.250000000,0.100000000,0.250000000,-0.125000000,130,0.884615385,0.076977353,0.077316350,-0.000338997
exact,exact_2022,all,0.250000000,0.100000000,0.250000000,-0.125000000,192,0.812500000,0.065992106,0.066372413,-0.000380307
exact,exact_2023,all,0.250000000,0.100000000,0.250000000,-0.125000000,169,0.958579882,0.069059758,0.070550725,-0.001490967
exact,exact_2024,all,0.250000000,0.100000000,0.250000000,-0.125000000,152,0.927631579,0.050655490,0.051238653,-0.000583164
random,random_0,all,0.250000000,0.100000000,0.250000000,-0.125000000,2644,0.695537065,0.072542763,0.073433179,-0.000890416
random,random_0,year2025,0.250000000,0.100000000,0.250000000,-0.125000000,756,0.940476190,0.051650979,0.052464820,-0.000813842
random,random_1,all,0.250000000,0.100000000,0.250000000,-0.125000000,2644,0.692133132,0.065558205,0.066541457,-0.000983251
random,random_1,year2025,0.250000000,0.100000000,0.250000000,-0.125000000,756,0.933862434,0.054718627,0.055045718,-0.000327090
random,random_2,all,0.250000000,0.100000000,0.250000000,-0.125000000,2644,0.669062027,0.067418188,0.068311653,-0.000893465
random,random_2,year2025,0.250000000,0.100000000,0.250000000,-0.125000000,756,0.927248677,0.075682663,0.076608182,-0.000925519
exact,exact_2019,all,0.250000000,0.100000000,0.250000000,-0.150000000,249,0.879518072,0.056212341,0.057195772,-0.000983431
exact,exact_2020,all,0.250000000,0.100000000,0.250000000,-0.150000000,222,0.941441441,0.055102746,0.055301391,-0.000198644
exact,exact_2021,all,0.250000000,0.100000000,0.250000000,-0.150000000,130,0.884615385,0.076970398,0.077316350,-0.000345952
exact,exact_2022,all,0.250000000,0.100000000,0.250000000,-0.150000000,192,0.812500000,0.066030214,0.066372413,-0.000342199
exact,exact_2023,all,0.250000000,0.100000000,0.250000000,-0.150000000,169,0.958579882,0.068999015,0.070550725,-0.001551710
exact,exact_2024,all,0.250000000,0.100000000,0.250000000,-0.150000000,152,0.927631579,0.050623763,0.051238653,-0.000614890
