lag_weight,peer_config,peer_weight,alpha,beta,exact_rmse,exact_baseline_rmse,exact_delta,exact_wins,exact_folds,exact_coverage,random_rmse,random_baseline_rmse,random_delta,random_wins,random_folds,random_coverage,random2025_rmse,random2025_baseline_rmse,random2025_delta,random2025_wins,random2025_folds,random2025_coverage,worst_delta,mean_delta,all_wins
0.400000000,n16_c60_r125_k2,0.100000000,0.350000000,-0.200000000,0.061853690,0.062643363,-0.000789673,6,6,0.899461400,0.068905724,0.069937773,-0.001032049,3,3,0.685577408,0.061472745,0.062263258,-0.000790513,3,3,0.933862434,-0.000789673,-0.000870745,True
0.400000000,n16_c60_r125_k2,0.100000000,0.325000000,-0.200000000,0.061854467,0.062643363,-0.000788896,6,6,0.899461400,0.068905810,0.069937773,-0.001031963,3,3,0.685577408,0.061474703,0.062263258,-0.000788555,3,3,0.933862434,-0.000788555,-0.000869804,True
0.400000000,n16_c60_r125_k2,0.100000000,0.350000000,-0.175000000,0.061852773,0.062643363,-0.000790590,6,6,0.899461400,0.068915701,0.069937773,-0.001022072,3,3,0.685577408,0.061475112,0.062263258,-0.000788146,3,3,0.933862434,-0.000788146,-0.000866936,True
0.400000000,n16_c60_r125_k2,0.100000000,0.375000000,-0.200000000,0.061856258,0.062643363,-0.000787105,6,6,0.899461400,0.068909549,0.069937773,-0.001028224,3,3,0.685577408,0.061473995,0.062263258,-0.000789263,3,3,0.933862434,-0.000787105,-0.000868197,True
0.400000000,n16_c60_r125_k2,0.100000000,0.375000000,-0.175000000,0.061855098,0.062643363,-0.000788264,6,6,0.899461400,0.068919546,0.069937773,-0.001018227,3,3,0.685577408,0.061476286,0.062263258,-0.000786972,3,3,0.933862434,-0.000786972,-0.000864488,True
0.400000000,n16_c60_r125_k2,0.100000000,0.325000000,-0.175000000,0.061853793,0.062643363,-0.000789570,6,6,0.899461400,0.068915767,0.069937773,-0.001022006,3,3,0.685577408,0.061477145,0.062263258,-0.000786113,3,3,0.933862434,-0.000786113,-0.000865896,True
0.400000000,n16_c60_r125_k2,0.100000000,0.350000000,-0.150000000,0.061854423,0.062643363,-0.000788940,6,6,0.899461400,0.068927599,0.069937773,-0.001010174,3,3,0.685577408,0.061479718,0.062263258,-0.000783540,3,3,0.933862434,-0.000783540,-0.000860884,True
0.400000000,n16_c60_r125_k2,0.100000000,0.300000000,-0.200000000,0.061858589,0.062643363,-0.000784774,6,6,0.899461400,0.068909807,0.069937773,-0.001027966,3,3,0.685577408,0.061479869,0.062263258,-0.000783389,3,3,0.933862434,-0.000783389,-0.000865376,True
0.400000000,n16_c60_r125_k2,0.100000000,0.400000000,-0.175000000,0.061860768,0.062643363,-0.000782595,6,6,0.899461400,0.068927301,0.069937773,-0.001010472,3,3,0.685577408,0.061480667,0.062263258,-0.000782591,3,3,0.933862434,-0.000782591,-0.000858552,True
0.400000000,n16_c60_r125_k2,0.100000000,0.375000000,-0.150000000,0.061856506,0.062643363,-0.000786857,6,6,0.899461400,0.068931464,0.069937773,-0.001006309,3,3,0.685577408,0.061480817,0.062263258,-0.000782441,3,3,0.933862434,-0.000782441,-0.000858536,True
0.400000000,n16_c60_r125_k2,0.100000000,0.325000000,-0.150000000,0.061855685,0.062643363,-0.000787677,6,6,0.899461400,0.068927644,0.069937773,-0.001010129,3,3,0.685577408,0.061481827,0.062263258,-0.000781430,3,3,0.933862434,-0.000781430,-0.000859746,True
0.400000000,n16_c60_r125_k2,0.100000000,0.400000000,-0.200000000,0.061862170,0.062643363,-0.000781193,6,6,0.899461400,0.068917284,0.069937773,-0.001020489,3,3,0.685577408,0.061478453,0.062263258,-0.000784805,3,3,0.933862434,-0.000781193,-0.000862162,True
