anon_polygon_id,date,hgb,lag,baseline,peer,shock,state,shock_n,state_n,canon,correction,primary_ndvi_pred
AOI-0001,2010-08-29,0.22303532,0.21246551,0.22092136,0.21623321,0.00027999,0.00233034,15,8,True,0.00000000,0.21623321
AOI-0001,2010-10-25,0.17828711,0.16141107,0.17491190,0.17231162,0.00000000,-0.00116175,8,8,False,0.00005809,0.17236971
AOI-0001,2011-06-13,0.67309022,0.64503926,0.66748003,0.64539301,-0.00329400,-0.02512406,5,8,False,0.00076210,0.64615511
AOI-0001,2011-09-18,0.26713554,0.29155385,0.27201920,0.27393723,-0.00310109,0.01020161,9,8,False,-0.00097524,0.27296199
AOI-0001,2011-09-26,0.26106044,0.27927533,0.26470342,0.26923400,0.00000000,0.00826664,7,8,False,-0.00041333,0.26882067
AOI-0001,2011-09-30,0.38632149,0.36501696,0.38206058,0.38020237,0.00000000,0.00795553,17,8,True,0.00000000,0.38020237
AOI-0001,2012-05-24,0.72544996,0.69662604,0.71968517,0.71968517,0.00000000,0.00739030,16,8,True,0.00000000,0.71968517
AOI-0001,2012-07-09,0.25191197,0.29868131,0.26126584,0.26126584,-0.07775050,-0.00358450,7,8,False,-0.01148335,0.24978249
AOI-0001,2012-07-11,0.35247535,0.31974252,0.34592878,0.34592878,0.04309150,-0.00140159,17,8,True,0.00000000,0.34592878
AOI-0001,2012-08-10,0.21042250,0.19687961,0.20771392,0.20771392,,-0.00143312,1,8,False,0.00007166,0.20778558
AOI-0001,2012-08-12,0.29994062,0.24833786,0.28962007,0.28962007,0.00000000,0.00265798,14,8,True,0.00000000,0.28962007
AOI-0001,2012-10-15,0.35976477,0.31777842,0.35136750,0.35136750,0.00000000,-0.00422762,17,8,True,0.00000000,0.35136750
AOI-0001,2013-05-01,0.81950799,0.80160517,0.81592742,0.81592743,-0.00144689,-0.00818453,6,8,False,0.00019219,0.81611962
AOI-0001,2013-07-12,0.32371641,0.30589062,0.32015125,0.32015125,0.01480307,-0.00180048,13,8,True,0.00000000,0.32015125
AOI-0001,2013-09-30,0.55777942,0.46552899,0.53932933,0.53932933,0.00949771,0.00872259,16,8,True,0.00000000,0.53932933
AOI-0001,2014-04-18,0.25022612,0.21741301,0.24366350,0.24366350,0.01574920,0.02668503,6,8,False,0.00102813,0.24469163
AOI-0001,2014-05-25,0.66120962,0.62489117,0.65394593,0.65394593,0.00346117,0.00391612,16,8,True,0.00000000,0.65394593
AOI-0001,2014-06-26,0.77790450,0.76259811,0.77484322,0.77484322,0.02347122,-0.00207523,15,8,True,0.00000000,0.77484322
AOI-0001,2014-07-15,0.77399358,0.75501550,0.77019797,0.77019797,-0.04538381,-0.00051057,3,8,False,-0.00678204,0.76341593
AOI-0001,2014-07-28,0.63661100,0.58935919,0.62716064,0.62716064,0.04931972,0.00651350,12,8,True,0.00000000,0.62716064
AOI-0001,2014-08-09,0.44571638,0.50258006,0.45708912,0.45708911,-0.03403907,-0.00071099,6,8,False,-0.00507031,0.45201880
AOI-0001,2014-08-13,0.40918084,0.42839629,0.41302393,0.41302393,0.03339717,-0.00076525,15,8,True,0.00000000,0.41302393
AOI-0001,2014-10-03,0.20628056,0.18017628,0.20105971,0.20105971,,0.00011748,2,8,False,-0.00000587,0.20105384
AOI-0001,2014-10-16,0.34064849,0.32020421,0.33655963,0.33655963,0.02249368,-0.00028420,16,8,True,0.00000000,0.33655963
AOI-0001,2015-04-13,0.46024531,0.44087843,0.45637193,0.45637193,,-0.00245997,2,8,False,0.00012300,0.45649493
AOI-0001,2015-08-11,0.22217820,0.20114426,0.21797141,0.22473313,0.00000000,-0.00059301,7,8,False,0.00002965,0.22476278
AOI-0001,2015-08-12,0.21716180,0.20016324,0.21376209,0.21654648,-0.05273573,-0.00055641,10,8,False,-0.00788254,0.20866394
AOI-0001,2015-08-27,0.21026774,0.17941866,0.20409792,0.20308291,0.01900124,0.00122019,6,8,False,0.00278918,0.20587209
AOI-0001,2015-09-20,0.19467757,0.17196144,0.19013435,0.18547492,-0.00626007,0.00148588,6,8,False,-0.00101330,0.18446162
AOI-0001,2015-09-28,0.20231870,0.16253515,0.19436199,0.19255934,0.00055428,-0.00117758,6,8,False,0.00014202,0.19270136
AOI-0001,2016-06-27,0.29252442,0.33757867,0.30153527,0.30208292,-0.01731619,0.00576066,9,8,False,-0.00288546,0.29919746
AOI-0001,2016-07-04,0.30494710,0.31730080,0.30741784,0.31015180,-0.02896277,0.00518632,6,8,False,-0.00460373,0.30554807
AOI-0001,2016-07-20,0.30498195,0.29627318,0.30324020,0.30324020,-0.06087436,-0.00012628,3,8,False,-0.00912484,0.29411536
AOI-0001,2016-07-27,0.36232426,0.30972079,0.35180356,0.35180356,0.00000000,0.00468948,11,8,True,0.00000000,0.35180356
AOI-0001,2016-08-29,0.29863061,0.28901444,0.29670738,0.31063803,0.01350648,0.02750566,7,8,False,0.00065069,0.31128872
AOI-0001,2016-08-30,0.27408731,0.29230889,0.27773163,0.28700309,-0.01781688,0.02773658,9,8,False,-0.00405936,0.28294373
AOI-0001,2016-09-15,0.31021559,0.39580367,0.32733321,0.32733321,-0.02590579,0.03234277,9,8,False,-0.00550301,0.32183020
AOI-0001,2016-09-29,0.64052072,0.54647828,0.62171223,0.58647109,0.03185367,0.03800745,15,8,True,0.00000000,0.58647109
AOI-0001,2017-05-12,0.75281893,0.72128260,0.74651166,0.74983529,-0.00501603,-0.00238500,7,8,False,-0.00063315,0.74920214
AOI-0001,2017-06-29,0.50650116,0.57069680,0.51934029,0.52129794,0.00122858,0.02092869,4,8,False,-0.00086215,0.52043579
AOI-0001,2017-07-12,0.44536072,0.43355315,0.44299921,0.44136438,0.03700044,0.02350483,16,8,True,0.00000000,0.44136438
AOI-0001,2017-08-09,0.31198013,0.30913931,0.31141197,0.30338842,-0.01731615,0.02338625,12,8,False,-0.00376673,0.29962169
AOI-0001,2017-08-29,0.27433216,0.25061550,0.26958883,0.26594523,0.05896267,0.02114181,14,8,True,0.00000000,0.26594523
AOI-0001,2017-09-08,0.20084036,0.20748640,0.20216957,0.21071661,0.00001365,0.01369186,7,8,False,-0.00068255,0.21003406
AOI-0001,2017-09-14,0.29118390,0.27586896,0.28812091,0.29495839,0.07102410,0.02818826,16,8,True,0.00000000,0.29495839
AOI-0001,2018-04-05,0.45978644,0.49284851,0.46639885,0.47283795,-0.01907948,-0.01210900,6,8,False,-0.00225647,0.47058148
AOI-0001,2018-04-23,0.75598196,0.77560209,0.75990599,0.76534865,0.01469970,-0.00808414,15,8,True,0.00000000,0.76534865
AOI-0001,2018-05-01,0.80670690,0.77196785,0.79975909,0.80169973,0.01320524,0.00224351,18,8,False,0.00186861,0.80356834
AOI-0001,2018-06-08,0.61070101,0.61457434,0.61147568,0.61618778,-0.03284955,-0.01281008,6,8,False,-0.00428693,0.61190085
AOI-0001,2018-07-12,0.34796587,0.26577218,0.33152713,0.32500377,0.01527116,-0.04102142,15,8,True,0.00000000,0.32500377
AOI-0001,2018-09-28,0.16882233,0.21630546,0.17831896,0.17831896,,0.01444634,0,8,False,-0.00072232,0.17759664
AOI-0001,2018-10-13,0.18162768,0.17063245,0.17942864,0.18131030,0.00000000,0.00747701,12,8,False,-0.00037385,0.18093645
AOI-0001,2019-05-11,0.50047099,0.50934094,0.50224498,0.50224498,-0.02992328,-0.02040067,9,8,False,-0.00346846,0.49877652
AOI-0001,2019-05-31,0.71031563,0.70320707,0.70889392,0.70889392,-0.03164287,0.03750269,10,8,False,-0.00662156,0.70227236
AOI-0001,2019-06-04,0.70196379,0.69191620,0.69995427,0.69995427,-0.04074273,0.02749160,8,8,False,-0.00748599,0.69246828
AOI-0001,2019-06-05,0.69323691,0.68170278,0.69093008,0.68625564,0.00000000,0.02766571,13,8,False,-0.00138329,0.68487235
AOI-0001,2019-06-25,0.35680766,0.39761968,0.36497007,0.36497007,-0.02196028,-0.00779316,8,8,False,-0.00290438,0.36206569
AOI-0001,2019-07-12,0.47281243,0.41735670,0.46172129,0.46172129,0.05563736,0.01238957,16,8,True,0.00000000,0.46172129
AOI-0001,2019-07-22,0.33795651,0.38308185,0.34698158,0.33938184,0.00343621,0.02171856,10,8,False,-0.00057050,0.33881134
AOI-0001,2019-07-29,0.46029518,0.42368403,0.45297295,0.45297295,0.00101337,0.03457668,8,8,False,-0.00157683,0.45139612
AOI-0001,2019-08-30,0.26853347,0.25100651,0.26502808,0.26502808,0.02596625,-0.01278950,7,8,False,0.00453441,0.26956249
AOI-0001,2019-09-07,0.26196560,0.21917009,0.25340650,0.25340650,0.11193745,-0.02955532,4,8,False,0.01826838,0.27167488
AOI-0001,2019-09-08,0.21897838,0.22301715,0.21978613,0.22866134,0.00036908,-0.02933732,9,8,False,0.00152223,0.23018357
AOI-0001,2019-09-18,0.14864034,0.15611416,0.15013510,0.15013510,-0.09552027,-0.00699251,8,8,False,-0.01397842,0.13615668
AOI-0001,2020-04-03,0.51976666,0.57014552,0.52984243,0.55147595,0.00000000,0.00567173,11,8,False,-0.00028359,0.55119236
AOI-0001,2020-04-26,0.70028656,0.64078616,0.68838648,0.69376678,0.00000000,0.00184210,5,8,False,-0.00009210,0.69367468
AOI-0001,2020-05-30,0.82836480,0.82882856,0.82845755,0.82017810,-0.03276384,-0.01163092,12,8,False,-0.00433303,0.81584507
AOI-0001,2020-06-09,0.76058847,0.72368945,0.75320867,0.74967689,0.09872051,0.01539539,15,8,True,0.00000000,0.74967689
AOI-0001,2020-07-14,0.17592398,0.17915028,0.17656924,0.17945750,-0.01910582,0.00080596,7,8,False,-0.00290617,0.17655133
AOI-0001,2020-07-23,0.21351515,0.20591890,0.21199590,0.21961155,0.00000000,0.00366203,7,8,False,-0.00018310,0.21942845
AOI-0001,2020-07-27,0.27993975,0.26620173,0.27719215,0.28168064,0.05864919,0.01181785,13,8,True,0.00000000,0.28168064
AOI-0001,2020-08-08,0.19318207,0.19018696,0.19258305,0.19500952,-0.00218654,-0.00558379,10,8,False,-0.00004879,0.19496073
AOI-0001,2020-09-01,0.30684564,0.30168814,0.30581414,0.29928370,0.00000000,0.01499045,10,8,False,-0.00074952,0.29853418
AOI-0001,2020-09-02,0.29394687,0.28593260,0.29234402,0.28540340,0.00000000,0.01460188,14,8,False,-0.00073009,0.28467331
AOI-0001,2020-09-12,0.23873101,0.25369844,0.24172449,0.23982047,-0.00691309,-0.00170095,13,8,False,-0.00095192,0.23886855
AOI-0001,2020-09-22,0.22149196,0.21247926,0.21968942,0.22091160,0.00044242,-0.01082332,12,8,False,0.00060753,0.22151913
AOI-0001,2020-09-29,0.26770917,0.27003153,0.26817365,0.27036507,0.04314490,0.00214532,16,8,True,0.00000000,0.27036507
AOI-0001,2020-10-11,0.19565260,0.20549409,0.19762089,0.20318873,0.00988457,0.00360588,3,8,False,0.00130239,0.20449112
AOI-0001,2020-10-12,0.14956646,0.18672633,0.15699844,0.16122498,-0.03923497,0.00399875,14,8,False,-0.00608518,0.15513980
AOI-0001,2020-10-19,0.18194777,0.18858662,0.18327554,0.18668868,-0.04567608,0.00481515,7,8,False,-0.00709217,0.17959651
AOI-0001,2021-05-15,0.51768056,0.46835371,0.50781519,0.48622110,-0.02944303,0.01894759,10,8,False,-0.00536383,0.48085727
AOI-0001,2021-05-20,0.47738429,0.45522056,0.47295154,0.45655314,0.00057935,-0.00339590,8,8,False,0.00025670,0.45680984
AOI-0001,2021-06-10,0.57355420,0.48857376,0.55655811,0.56601566,0.08999751,-0.00891457,16,8,True,0.00000000,0.56601566
