anon_polygon_id,date,hgb,lag,baseline,peer,shock,state,shock_n,state_n,canon,correction,primary_ndvi_pred
AOI-0001,2010-08-29,0.22303532,0.21246551,0.22092136,0.21528193,0.00027999,0.00233034,15,8,True,0.00000000,0.21528193
AOI-0001,2010-10-25,0.17828711,0.16141107,0.17491190,0.17079278,0.00000000,-0.00116175,8,8,False,0.00017426,0.17096704
AOI-0001,2011-06-13,0.67309022,0.64503926,0.66748003,0.64286842,-0.00329400,-0.02512406,5,8,False,0.00269806,0.64556648
AOI-0001,2011-09-18,0.26713554,0.29155385,0.27201920,0.27613488,-0.00310109,0.01020161,9,8,False,-0.00253810,0.27359678
AOI-0001,2011-09-26,0.26106044,0.27927533,0.26470342,0.27087334,0.00000000,0.00826664,7,8,False,-0.00124000,0.26963334
AOI-0001,2011-09-30,0.38632149,0.36501696,0.38206058,0.37828496,0.00000000,0.00795553,17,8,True,0.00000000,0.37828496
AOI-0001,2012-05-24,0.72544996,0.69662604,0.71968517,0.71680278,0.00000000,0.00739030,16,8,True,0.00000000,0.71680278
AOI-0001,2012-07-09,0.25191197,0.29868131,0.26126584,0.26594277,-0.07775050,-0.00358450,7,8,False,-0.02473124,0.24121153
AOI-0001,2012-07-11,0.35247535,0.31974252,0.34592878,0.34265550,0.04309150,-0.00140159,17,8,True,0.00000000,0.34265550
AOI-0001,2012-08-10,0.21042250,0.19687961,0.20771392,0.20635963,,-0.00143312,1,8,False,0.00021497,0.20657460
AOI-0001,2012-08-12,0.29994062,0.24833786,0.28962007,0.28445979,0.00000000,0.00265798,14,8,True,0.00000000,0.28445979
AOI-0001,2012-10-15,0.35976477,0.31777842,0.35136750,0.34716886,0.00000000,-0.00422762,17,8,True,0.00000000,0.34716886
AOI-0001,2013-05-01,0.81950799,0.80160517,0.81592742,0.81413714,-0.00144689,-0.00818453,6,8,False,0.00075744,0.81489458
AOI-0001,2013-07-12,0.32371641,0.30589062,0.32015125,0.31836867,0.01480307,-0.00180048,13,8,True,0.00000000,0.31836867
AOI-0001,2013-09-30,0.55777942,0.46552899,0.53932933,0.53010429,0.00949771,0.00872259,16,8,True,0.00000000,0.53010429
AOI-0001,2014-04-18,0.25022612,0.21741301,0.24366350,0.24038219,0.01574920,0.02668503,6,8,False,0.00111573,0.24149792
AOI-0001,2014-05-25,0.66120962,0.62489117,0.65394593,0.65031409,0.00346117,0.00391612,16,8,True,0.00000000,0.65031409
AOI-0001,2014-06-26,0.77790450,0.76259811,0.77484322,0.77331258,0.02347122,-0.00207523,15,8,True,0.00000000,0.77331258
AOI-0001,2014-07-15,0.77399358,0.75501550,0.77019797,0.76830016,-0.04538381,-0.00051057,3,8,False,-0.01467315,0.75362701
AOI-0001,2014-07-28,0.63661100,0.58935919,0.62716064,0.62243546,0.04931972,0.00651350,12,8,True,0.00000000,0.62243546
AOI-0001,2014-08-09,0.44571638,0.50258006,0.45708912,0.46277548,-0.03403907,-0.00071099,6,8,False,-0.01095605,0.45181943
AOI-0001,2014-08-13,0.40918084,0.42839629,0.41302393,0.41494548,0.03339717,-0.00076525,15,8,True,0.00000000,0.41494548
AOI-0001,2014-10-03,0.20628056,0.18017628,0.20105971,0.19844928,,0.00011748,2,8,False,-0.00001762,0.19843166
AOI-0001,2014-10-16,0.34064849,0.32020421,0.33655963,0.33451521,0.02249368,-0.00028420,16,8,True,0.00000000,0.33451521
AOI-0001,2015-04-13,0.46024531,0.44087843,0.45637193,0.45443524,,-0.00245997,2,8,False,0.00036899,0.45480423
AOI-0001,2015-08-11,0.22217820,0.20114426,0.21797141,0.22284008,0.00000000,-0.00059301,7,8,False,0.00008895,0.22292903
AOI-0001,2015-08-12,0.21716180,0.20016324,0.21376209,0.21501661,-0.05273573,-0.00055641,10,8,False,-0.01705565,0.19796096
AOI-0001,2015-08-27,0.21026774,0.17941866,0.20409792,0.20030649,0.01900124,0.00122019,6,8,False,0.00599237,0.20629886
AOI-0001,2015-09-20,0.19467757,0.17196144,0.19013435,0.18343047,-0.00626007,0.00148588,6,8,False,-0.00225740,0.18117307
AOI-0001,2015-09-28,0.20231870,0.16253515,0.19436199,0.18897883,0.00055428,-0.00117758,6,8,False,0.00035678,0.18933561
AOI-0001,2016-06-27,0.29252442,0.33757867,0.30153527,0.30613780,-0.01731619,0.00576066,9,8,False,-0.00649186,0.29964594
AOI-0001,2016-07-04,0.30494710,0.31730080,0.30741784,0.31126363,-0.02896277,0.00518632,6,8,False,-0.01019085,0.30107278
AOI-0001,2016-07-20,0.30498195,0.29627318,0.30324020,0.30236932,-0.06087436,-0.00012628,3,8,False,-0.01976522,0.28260410
AOI-0001,2016-07-27,0.36232426,0.30972079,0.35180356,0.34654322,0.00000000,0.00468948,11,8,True,0.00000000,0.34654322
AOI-0001,2016-08-29,0.29863061,0.28901444,0.29670738,0.30977258,0.01350648,0.02750566,7,8,False,0.00026376,0.31003634
