dataset,method,n,rmse_pooled,mae_pooled,gapscore_proxy,partitions,wins_vs_baseline
exact_hidden_doy,aoi_peer10_canon_joint,1114,0.062021671,0.042112469,11.390000000,6,6
exact_hidden_doy,aoi_peer10_canon_shock,1114,0.062048424,0.042154992,11.390000000,6,6
exact_hidden_doy,aoi_peer10_joint,1114,0.062103122,0.042340150,11.370000000,6,5
exact_hidden_doy,aoi_peer10,1114,0.062250072,0.042389331,11.320000000,6,6
exact_hidden_doy,aoi_peer15,1114,0.062253648,0.042327812,11.320000000,6,6
exact_hidden_doy,canon_joint,1114,0.062343267,0.042513667,11.300000000,6,6
exact_hidden_doy,canon_shock,1114,0.062378440,0.042566377,11.290000000,6,5
exact_hidden_doy,shock15,1114,0.062436934,0.042770102,11.270000000,6,5
exact_hidden_doy,joint,1114,0.062437162,0.042737308,11.270000000,6,5
exact_hidden_doy,span_joint,1114,0.062437162,0.042737308,11.270000000,6,5
exact_hidden_doy,shock10,1114,0.062441637,0.042736931,11.270000000,6,5
exact_hidden_doy,simplex_global,1114,0.062466226,0.042764317,11.260000000,6,5
exact_hidden_doy,shock20,1114,0.062484058,0.042850709,11.250000000,6,5
exact_hidden_doy,blend20,1114,0.062606347,0.042854514,11.220000000,6,0
exact_hidden_doy,blend10,1114,0.062902625,0.042974888,11.130000000,6,1
exact_hidden_doy,ridge_global,1114,0.062959701,0.042968974,11.110000000,6,1
exact_hidden_doy,ridge_canon,1114,0.062959710,0.042968961,11.110000000,6,1
exact_hidden_doy,hgb,1114,0.063405532,0.043257470,10.980000000,6,0
exact_hidden_doy,date_peer10,1114,0.065228749,0.045788265,10.430000000,6,1
random_private_like,aoi_peer10_canon_joint,7932,0.068656553,0.041806512,9.400000000,3,3
random_private_like,aoi_peer10_joint,7932,0.068690039,0.041845023,9.390000000,3,3
random_private_like,aoi_peer10_canon_shock,7932,0.068695602,0.041857452,9.390000000,3,3
random_private_like,aoi_peer15,7932,0.068864346,0.042071388,9.340000000,3,3
random_private_like,aoi_peer10,7932,0.068927407,0.042116357,9.320000000,3,3
random_private_like,canon_joint,7932,0.069154735,0.042218239,9.250000000,3,3
random_private_like,span_joint,7932,0.069195220,0.042262235,9.240000000,3,3
random_private_like,canon_shock,7932,0.069196158,0.042272282,9.240000000,3,3
random_private_like,joint,7932,0.069196834,0.042262554,9.240000000,3,3
random_private_like,simplex_global,7932,0.069202573,0.042265556,9.240000000,3,3
random_private_like,shock20,7932,0.069213148,0.042297075,9.240000000,3,3
random_private_like,shock15,7932,0.069233747,0.042312002,9.230000000,3,3
random_private_like,shock10,7932,0.069279977,0.042362042,9.220000000,3,3
random_private_like,blend20,7932,0.069449095,0.042556569,9.170000000,3,0
random_private_like,ridge_canon,7932,0.069526429,0.042534540,9.140000000,3,1
random_private_like,ridge_global,7932,0.069526430,0.042534546,9.140000000,3,1
random_private_like,blend10,7932,0.069529630,0.042571384,9.140000000,3,1
random_private_like,hgb,7932,0.069826420,0.042801838,9.050000000,3,0
random_private_like,date_peer10,7932,0.072160366,0.046657965,8.350000000,3,0
