dataset,partition,method,n,n_train,rmse,mae,gapscore_proxy,weights
exact_hidden_doy,exact2019,hgb,249,865,0.057749371,0.039727019,12.680000000,
exact_hidden_doy,exact2019,blend10,249,865,0.057340402,0.039537995,12.800000000,
exact_hidden_doy,exact2019,blend20,249,865,0.057181056,0.039427368,12.850000000,
exact_hidden_doy,exact2019,shock10,249,865,0.056884464,0.039156860,12.930000000,
exact_hidden_doy,exact2019,shock15,249,865,0.056841552,0.039140400,12.950000000,
exact_hidden_doy,exact2019,shock20,249,865,0.056869194,0.039154442,12.940000000,
exact_hidden_doy,exact2019,joint,249,865,0.056897665,0.039142094,12.930000000,
exact_hidden_doy,exact2019,canon_shock,249,865,0.056750594,0.038944208,12.970000000,
exact_hidden_doy,exact2019,canon_joint,249,865,0.056759798,0.038919116,12.970000000,
exact_hidden_doy,exact2019,span_joint,249,865,0.056897665,0.039142094,12.930000000,
exact_hidden_doy,exact2019,date_peer10,249,865,0.060949746,0.043011404,11.720000000,
exact_hidden_doy,exact2019,aoi_peer10,249,865,0.056568779,0.038572842,13.030000000,
exact_hidden_doy,exact2019,aoi_peer15,249,865,0.056489582,0.038418822,13.050000000,
exact_hidden_doy,exact2019,aoi_peer10_joint,249,865,0.056396007,0.038297479,13.080000000,
exact_hidden_doy,exact2019,aoi_peer10_canon_joint,249,865,0.056228807,0.038098312,13.130000000,
exact_hidden_doy,exact2019,aoi_peer10_canon_shock,249,865,0.056190861,0.038111551,13.140000000,
exact_hidden_doy,exact2019,simplex_global,249,865,0.056898310,0.039143294,12.930000000,"hgb=0.000000,blend20=0.193548,shock15=0.000000,joint=0.806452"
exact_hidden_doy,exact2019,ridge_global,249,865,0.057345327,0.039477623,12.800000000,"hgb=0.639724,blend20=0.160040,shock15=0.100115,joint=0.100121"
exact_hidden_doy,exact2019,ridge_canon,249,865,0.057345329,0.039477600,12.800000000,
exact_hidden_doy,exact2020,hgb,222,892,0.055966933,0.037613409,13.210000000,
exact_hidden_doy,exact2020,blend10,222,892,0.055516145,0.037501587,13.350000000,
exact_hidden_doy,exact2020,blend20,222,892,0.055310928,0.037629656,13.410000000,
exact_hidden_doy,exact2020,shock10,222,892,0.055026004,0.037496986,13.490000000,
exact_hidden_doy,exact2020,shock15,222,892,0.054975735,0.037506976,13.510000000,
exact_hidden_doy,exact2020,shock20,222,892,0.054987222,0.037598354,13.500000000,
exact_hidden_doy,exact2020,joint,222,892,0.054956262,0.037408862,13.510000000,
exact_hidden_doy,exact2020,canon_shock,222,892,0.055328858,0.037328257,13.400000000,
exact_hidden_doy,exact2020,canon_joint,222,892,0.055278776,0.037207401,13.420000000,
exact_hidden_doy,exact2020,span_joint,222,892,0.054956262,0.037408862,13.510000000,
exact_hidden_doy,exact2020,date_peer10,222,892,0.057992422,0.039913709,12.600000000,
exact_hidden_doy,exact2020,aoi_peer10,222,892,0.055155464,0.037415213,13.450000000,
exact_hidden_doy,exact2020,aoi_peer15,222,892,0.055277983,0.037528020,13.420000000,
exact_hidden_doy,exact2020,aoi_peer10_joint,222,892,0.054736596,0.037352920,13.580000000,
exact_hidden_doy,exact2020,aoi_peer10_canon_joint,222,892,0.055129333,0.037171136,13.460000000,
exact_hidden_doy,exact2020,aoi_peer10_canon_shock,222,892,0.055174298,0.037278764,13.450000000,
exact_hidden_doy,exact2020,simplex_global,222,892,0.054990701,0.037454250,13.500000000,"hgb=0.000000,blend20=0.211565,shock15=0.390452,joint=0.397983"
exact_hidden_doy,exact2020,ridge_global,222,892,0.055493967,0.037374844,13.350000000,"hgb=0.639733,blend20=0.160045,shock15=0.100110,joint=0.100112"
exact_hidden_doy,exact2020,ridge_canon,222,892,0.055494017,0.037374827,13.350000000,
exact_hidden_doy,exact2021,hgb,130,984,0.077495517,0.057193278,6.750000000,
exact_hidden_doy,exact2021,blend10,130,984,0.077229796,0.056813268,6.830000000,
exact_hidden_doy,exact2021,blend20,130,984,0.077222748,0.056872824,6.830000000,
exact_hidden_doy,exact2021,shock10,130,984,0.077071785,0.056745724,6.880000000,
exact_hidden_doy,exact2021,shock15,130,984,0.077086115,0.056836914,6.870000000,
exact_hidden_doy,exact2021,shock20,130,984,0.077160322,0.056928104,6.850000000,
exact_hidden_doy,exact2021,joint,130,984,0.076992229,0.056798935,6.900000000,
exact_hidden_doy,exact2021,canon_shock,130,984,0.077184954,0.056981063,6.840000000,
exact_hidden_doy,exact2021,canon_joint,130,984,0.077153152,0.056903441,6.850000000,
exact_hidden_doy,exact2021,span_joint,130,984,0.076992229,0.056798935,6.900000000,
exact_hidden_doy,exact2021,date_peer10,130,984,0.075945570,0.057162111,7.220000000,
exact_hidden_doy,exact2021,aoi_peer10,130,984,0.076967101,0.056412178,6.910000000,
exact_hidden_doy,exact2021,aoi_peer15,130,984,0.077054983,0.056347411,6.880000000,
exact_hidden_doy,exact2021,aoi_peer10_joint,130,984,0.076784043,0.056414575,6.960000000,
exact_hidden_doy,exact2021,aoi_peer10_canon_joint,130,984,0.076914520,0.056449744,6.930000000,
exact_hidden_doy,exact2021,aoi_peer10_canon_shock,130,984,0.076948037,0.056520418,6.920000000,
exact_hidden_doy,exact2021,simplex_global,130,984,0.077074440,0.056805599,6.880000000,"hgb=0.000000,blend20=0.114467,shock15=0.885533,joint=0.000000"
exact_hidden_doy,exact2021,ridge_global,130,984,0.077220784,0.056861899,6.830000000,"hgb=0.639727,blend20=0.160036,shock15=0.100120,joint=0.100117"
exact_hidden_doy,exact2021,ridge_canon,130,984,0.077220795,0.056861927,6.830000000,
exact_hidden_doy,exact2022,hgb,192,922,0.067843195,0.048510951,9.650000000,
exact_hidden_doy,exact2022,blend10,192,922,0.067153032,0.048052335,9.850000000,
exact_hidden_doy,exact2022,blend20,192,922,0.066598087,0.047668607,10.020000000,
exact_hidden_doy,exact2022,shock10,192,922,0.066481968,0.047461529,10.060000000,
exact_hidden_doy,exact2022,shock15,192,922,0.066464278,0.047404369,10.060000000,
exact_hidden_doy,exact2022,shock20,192,922,0.066473540,0.047384372,10.060000000,
exact_hidden_doy,exact2022,joint,192,922,0.066576535,0.047500745,10.030000000,
exact_hidden_doy,exact2022,canon_shock,192,922,0.066357496,0.047202713,10.090000000,
exact_hidden_doy,exact2022,canon_joint,192,922,0.066407082,0.047289065,10.080000000,
exact_hidden_doy,exact2022,span_joint,192,922,0.066576535,0.047500745,10.030000000,
exact_hidden_doy,exact2022,date_peer10,192,922,0.068889429,0.049919081,9.330000000,
exact_hidden_doy,exact2022,aoi_peer10,192,922,0.066289353,0.047139826,10.110000000,
exact_hidden_doy,exact2022,aoi_peer15,192,922,0.066270977,0.046969023,10.120000000,
exact_hidden_doy,exact2022,aoi_peer10_joint,192,922,0.066302349,0.046987623,10.110000000,
exact_hidden_doy,exact2022,aoi_peer10_canon_joint,192,922,0.066151025,0.046764101,10.150000000,
exact_hidden_doy,exact2022,aoi_peer10_canon_shock,192,922,0.066098386,0.046677330,10.170000000,
exact_hidden_doy,exact2022,simplex_global,192,922,0.066563329,0.047512898,10.030000000,"hgb=0.000000,blend20=0.136794,shock15=0.000000,joint=0.863206"
exact_hidden_doy,exact2022,ridge_global,192,922,0.067303211,0.048117648,9.810000000,"hgb=0.639758,blend20=0.160019,shock15=0.100107,joint=0.100117"
exact_hidden_doy,exact2022,ridge_canon,192,922,0.067303197,0.048117631,9.810000000,
exact_hidden_doy,exact2023,hgb,169,945,0.072534562,0.046282499,8.240000000,
exact_hidden_doy,exact2023,blend10,169,945,0.071607070,0.045634208,8.520000000,
exact_hidden_doy,exact2023,blend20,169,945,0.070857216,0.045073108,8.740000000,
exact_hidden_doy,exact2023,shock10,169,945,0.070654969,0.044956700,8.800000000,
exact_hidden_doy,exact2023,shock15,169,945,0.070603346,0.044936246,8.820000000,
exact_hidden_doy,exact2023,shock20,169,945,0.070584834,0.044965271,8.820000000,
exact_hidden_doy,exact2023,joint,169,945,0.070530567,0.044870080,8.840000000,
exact_hidden_doy,exact2023,canon_shock,169,945,0.070409413,0.044917016,8.880000000,
exact_hidden_doy,exact2023,canon_joint,169,945,0.070268468,0.044827242,8.920000000,
exact_hidden_doy,exact2023,span_joint,169,945,0.070530567,0.044870080,8.840000000,
exact_hidden_doy,exact2023,date_peer10,169,945,0.076216613,0.051870953,7.140000000,
exact_hidden_doy,exact2023,aoi_peer10,169,945,0.070375856,0.045264424,8.890000000,
exact_hidden_doy,exact2023,aoi_peer15,169,945,0.070293533,0.045445074,8.910000000,
exact_hidden_doy,exact2023,aoi_peer10_joint,169,945,0.070019823,0.045069938,8.990000000,
exact_hidden_doy,exact2023,aoi_peer10_canon_joint,169,945,0.069792433,0.045053636,9.060000000,
exact_hidden_doy,exact2023,aoi_peer10_canon_shock,169,945,0.069926639,0.045116855,9.020000000,
exact_hidden_doy,exact2023,simplex_global,169,945,0.070603412,0.044916441,8.820000000,"hgb=0.000000,blend20=0.212485,shock15=0.410437,joint=0.377078"
exact_hidden_doy,exact2023,ridge_global,169,945,0.071772537,0.045733296,8.470000000,"hgb=0.639789,blend20=0.160020,shock15=0.100097,joint=0.100095"
exact_hidden_doy,exact2023,ridge_canon,169,945,0.071772558,0.045733261,8.470000000,
exact_hidden_doy,exact2024,hgb,152,962,0.051247265,0.035366091,14.630000000,
exact_hidden_doy,exact2024,blend10,152,962,0.051114929,0.035393142,14.670000000,
exact_hidden_doy,exact2024,blend20,152,962,0.051154478,0.035562736,14.650000000,
exact_hidden_doy,exact2024,shock10,152,962,0.051365619,0.035837578,14.590000000,
exact_hidden_doy,exact2024,shock15,152,962,0.051569203,0.036110016,14.530000000,
exact_hidden_doy,exact2024,shock20,152,962,0.051837187,0.036459314,14.450000000,
exact_hidden_doy,exact2024,joint,152,962,0.051547938,0.035994498,14.540000000,
exact_hidden_doy,exact2024,canon_shock,152,962,0.051001867,0.035352161,14.700000000,
exact_hidden_doy,exact2024,canon_joint,152,962,0.050924913,0.035240595,14.720000000,
exact_hidden_doy,exact2024,span_joint,152,962,0.051547938,0.035994498,14.540000000,
exact_hidden_doy,exact2024,date_peer10,152,962,0.052909679,0.037208652,14.130000000,
exact_hidden_doy,exact2024,aoi_peer10,152,962,0.050902484,0.034715677,14.730000000,
exact_hidden_doy,exact2024,aoi_peer15,152,962,0.050927479,0.034422643,14.720000000,
exact_hidden_doy,exact2024,aoi_peer10_joint,152,962,0.051320635,0.035303742,14.600000000,
exact_hidden_doy,exact2024,aoi_peer10_canon_joint,152,962,0.050705560,0.034497236,14.790000000,
exact_hidden_doy,exact2024,aoi_peer10_canon_shock,152,962,0.050780497,0.034608875,14.770000000,
exact_hidden_doy,exact2024,simplex_global,152,962,0.051556788,0.036051598,14.530000000,"hgb=0.000000,blend20=0.000000,shock15=0.496223,joint=0.503777"
exact_hidden_doy,exact2024,ridge_global,152,962,0.051160159,0.035399552,14.650000000,"hgb=0.639698,blend20=0.160031,shock15=0.100135,joint=0.100136"
exact_hidden_doy,exact2024,ridge_canon,152,962,0.051160132,0.035399552,14.650000000,
random_private_like,random0,hgb,2644,4488,0.073805933,0.043621903,7.860000000,
random_private_like,random0,blend10,2644,4488,0.073509476,0.043444886,7.950000000,
random_private_like,random0,blend20,2644,4488,0.073409327,0.043469915,7.980000000,
random_private_like,random0,shock10,2644,4488,0.073299186,0.043309594,8.010000000,
random_private_like,random0,shock15,2644,4488,0.073280517,0.043279738,8.020000000,
random_private_like,random0,shock20,2644,4488,0.073286149,0.043282158,8.010000000,
random_private_like,random0,joint,2644,4488,0.073232488,0.043226861,8.030000000,
random_private_like,random0,canon_shock,2644,4488,0.073216554,0.043229938,8.040000000,
random_private_like,random0,canon_joint,2644,4488,0.073167906,0.043177209,8.050000000,
random_private_like,random0,span_joint,2644,4488,0.073217799,0.043213832,8.030000000,
random_private_like,random0,date_peer10,2644,4488,0.076175228,0.047153051,7.150000000,
random_private_like,random0,aoi_peer10,2644,4488,0.072850936,0.042915742,8.140000000,
random_private_like,random0,aoi_peer15,2644,4488,0.072742713,0.042804353,8.180000000,
random_private_like,random0,aoi_peer10_joint,2644,4488,0.072681037,0.042670111,8.200000000,
random_private_like,random0,aoi_peer10_canon_joint,2644,4488,0.072628102,0.042641040,8.210000000,
random_private_like,random0,aoi_peer10_canon_shock,2644,4488,0.072675500,0.042695605,8.200000000,
random_private_like,random0,simplex_global,2644,4488,0.073232488,0.043226861,8.030000000,"hgb=0.000000,blend20=0.000000,shock15=0.000000,joint=1.000000"
random_private_like,random0,ridge_global,2644,4488,0.073526326,0.043416178,7.940000000,"hgb=0.639805,blend20=0.160000,shock15=0.100095,joint=0.100100"
random_private_like,random0,ridge_canon,2644,4488,0.073526329,0.043416173,7.940000000,
random_private_like,random1,hgb,2644,4473,0.067084333,0.043710699,9.870000000,
random_private_like,random1,blend10,2644,4473,0.066704189,0.043443133,9.990000000,
random_private_like,random1,blend20,2644,4473,0.066541059,0.043364775,10.040000000,
random_private_like,random1,shock10,2644,4473,0.066330490,0.043157190,10.100000000,
random_private_like,random1,shock15,2644,4473,0.066263679,0.043093279,10.120000000,
random_private_like,random1,shock20,2644,4473,0.066222631,0.043066449,10.130000000,
random_private_like,random1,joint,2644,4473,0.066235117,0.043045984,10.130000000,
random_private_like,random1,canon_shock,2644,4473,0.066211102,0.043034802,10.140000000,
random_private_like,random1,canon_joint,2644,4473,0.066182464,0.042982167,10.150000000,
random_private_like,random1,span_joint,2644,4473,0.066244738,0.043055048,10.130000000,
random_private_like,random1,date_peer10,2644,4473,0.069222902,0.047375620,9.230000000,
random_private_like,random1,aoi_peer10,2644,4473,0.066042407,0.042957992,10.190000000,
random_private_like,random1,aoi_peer15,2644,4473,0.066023574,0.042930861,10.190000000,
