lag_weight,mode,cohort,n,rmse,baseline_rmse,delta_rmse,wins,folds
0.400000000,source_oracle,exact,1114,0.061760494,0.061853690,-0.000093196,4,6
0.350000000,source_oracle,exact,1114,0.061721862,0.061807288,-0.000085426,4,6
0.325000000,source_oracle,exact,1114,0.061718226,0.061798059,-0.000079833,4,6
0.300000000,source_oracle,exact,1114,0.061737688,0.061801158,-0.000063470,4,6
0.300000000,none,exact,1114,0.061801158,0.061801158,0.000000000,0,6
0.325000000,none,exact,1114,0.061798059,0.061798059,0.000000000,0,6
0.350000000,none,exact,1114,0.061807288,0.061807288,0.000000000,0,6
0.400000000,none,exact,1114,0.061853690,0.061853690,0.000000000,0,6
0.350000000,global,exact,1114,0.061863667,0.061807288,0.000056380,3,6
0.350000000,doy,exact,1114,0.061863667,0.061807288,0.000056380,3,6
0.350000000,source_doy_soft,exact,1114,0.061863667,0.061807288,0.000056380,3,6
0.350000000,source_doy_mode,exact,1114,0.061863667,0.061807288,0.000056380,3,6
0.325000000,global,exact,1114,0.061857648,0.061798059,0.000059589,3,6
0.325000000,doy,exact,1114,0.061857648,0.061798059,0.000059589,3,6
0.325000000,source_doy_soft,exact,1114,0.061857648,0.061798059,0.000059589,3,6
0.325000000,source_doy_mode,exact,1114,0.061857648,0.061798059,0.000059589,3,6
0.300000000,global,exact,1114,0.061860923,0.061801158,0.000059765,3,6
0.300000000,doy,exact,1114,0.061860923,0.061801158,0.000059765,3,6
0.300000000,source_doy_soft,exact,1114,0.061860923,0.061801158,0.000059765,3,6
0.300000000,source_doy_mode,exact,1114,0.061860923,0.061801158,0.000059765,3,6
0.400000000,global,exact,1114,0.061921960,0.061853690,0.000068270,2,6
0.400000000,doy,exact,1114,0.061921960,0.061853690,0.000068270,2,6
0.400000000,source_doy_soft,exact,1114,0.061921960,0.061853690,0.000068270,2,6
0.400000000,source_doy_mode,exact,1114,0.061921960,0.061853690,0.000068270,2,6
0.400000000,source_soft,exact,1114,0.062118229,0.061853690,0.000264539,1,6
0.325000000,source_soft,exact,1114,0.062068937,0.061798059,0.000270878,2,6
0.350000000,source_soft,exact,1114,0.062081562,0.061807288,0.000274274,1,6
0.300000000,source_soft,exact,1114,0.062077766,0.061801158,0.000276608,2,6
0.400000000,source_mode,exact,1114,0.062159291,0.061853690,0.000305602,1,6
0.325000000,source_mode,exact,1114,0.062109204,0.061798059,0.000311145,1,6
0.300000000,source_mode,exact,1114,0.062115126,0.061801158,0.000313968,1,6
0.350000000,source_mode,exact,1114,0.062122243,0.061807288,0.000314955,1,6
0.300000000,source_oracle,random,5664,0.071045554,0.071268305,-0.000222751,3,3
0.325000000,source_oracle,random,5664,0.071136002,0.071355396,-0.000219394,3,3
0.350000000,source_oracle,random,5664,0.071218782,0.071430462,-0.000211680,3,3
0.400000000,source_oracle,random,5664,0.071458418,0.071666238,-0.000207820,3,3
0.350000000,doy,random,5664,0.071402651,0.071430462,-0.000027812,2,3
0.400000000,doy,random,5664,0.071638452,0.071666238,-0.000027786,2,3
0.325000000,doy,random,5664,0.071328525,0.071355396,-0.000026871,2,3
0.300000000,doy,random,5664,0.071244145,0.071268305,-0.000024161,2,3
0.350000000,global,random,5664,0.071412886,0.071430462,-0.000017576,2,3
0.350000000,source_doy_soft,random,5664,0.071413267,0.071430462,-0.000017195,2,3
0.350000000,source_doy_mode,random,5664,0.071413332,0.071430462,-0.000017130,2,3
0.325000000,global,random,5664,0.071339159,0.071355396,-0.000016237,2,3
0.325000000,source_doy_soft,random,5664,0.071339370,0.071355396,-0.000016026,2,3
0.325000000,source_doy_mode,random,5664,0.071339406,0.071355396,-0.000015990,2,3
0.400000000,global,random,5664,0.071651377,0.071666238,-0.000014861,2,3
0.300000000,global,random,5664,0.071253825,0.071268305,-0.000014480,2,3
0.400000000,source_doy_soft,random,5664,0.071651854,0.071666238,-0.000014384,2,3
0.400000000,source_doy_mode,random,5664,0.071651937,0.071666238,-0.000014301,2,3
0.300000000,source_doy_soft,random,5664,0.071254017,0.071268305,-0.000014289,2,3
0.300000000,source_doy_mode,random,5664,0.071254049,0.071268305,-0.000014257,2,3
0.300000000,none,random,5664,0.071268305,0.071268305,0.000000000,0,3
0.325000000,none,random,5664,0.071355396,0.071355396,0.000000000,0,3
0.350000000,none,random,5664,0.071430462,0.071430462,0.000000000,0,3
0.400000000,none,random,5664,0.071666238,0.071666238,0.000000000,0,3
0.350000000,source_soft,random,5664,0.071449896,0.071430462,0.000019434,1,3
0.400000000,source_soft,random,5664,0.071687610,0.071666238,0.000021372,0,3
0.325000000,source_soft,random,5664,0.071379239,0.071355396,0.000023843,0,3
0.300000000,source_soft,random,5664,0.071292176,0.071268305,0.000023870,0,3
0.350000000,source_mode,random,5664,0.071489209,0.071430462,0.000058747,0,3
0.400000000,source_mode,random,5664,0.071726743,0.071666238,0.000060505,0,3
0.325000000,source_mode,random,5664,0.071422783,0.071355396,0.000067387,0,3
0.300000000,source_mode,random,5664,0.071336776,0.071268305,0.000068471,0,3
0.300000000,source_oracle,random2025,2268,0.061252423,0.061513373,-0.000260950,3,3
0.325000000,source_oracle,random2025,2268,0.061229066,0.061489887,-0.000260821,3,3
0.400000000,source_oracle,random2025,2268,0.061228352,0.061472745,-0.000244394,3,3
0.350000000,source_oracle,random2025,2268,0.061232089,0.061470550,-0.000238460,3,3
0.300000000,none,random2025,2268,0.061513373,0.061513373,0.000000000,0,3
0.325000000,none,random2025,2268,0.061489887,0.061489887,0.000000000,0,3
0.350000000,none,random2025,2268,0.061470550,0.061470550,0.000000000,0,3
0.400000000,none,random2025,2268,0.061472745,0.061472745,0.000000000,0,3
0.350000000,global,random2025,2268,0.061499804,0.061470550,0.000029254,0,3
0.400000000,global,random2025,2268,0.061502871,0.061472745,0.000030126,0,3
0.350000000,source_doy_soft,random2025,2268,0.061501258,0.061470550,0.000030708,0,3
0.350000000,source_doy_mode,random2025,2268,0.061501296,0.061470550,0.000030747,0,3
0.300000000,global,random2025,2268,0.061545010,0.061513373,0.000031636,0,3
0.325000000,global,random2025,2268,0.061521656,0.061489887,0.000031769,0,3
0.400000000,source_doy_soft,random2025,2268,0.061504717,0.061472745,0.000031972,0,3
0.400000000,source_doy_mode,random2025,2268,0.061504767,0.061472745,0.000032022,0,3
0.300000000,source_doy_soft,random2025,2268,0.061545704,0.061513373,0.000032331,0,3
0.300000000,source_doy_mode,random2025,2268,0.061545723,0.061513373,0.000032350,0,3
0.325000000,source_doy_soft,random2025,2268,0.061522430,0.061489887,0.000032543,0,3
0.325000000,source_doy_mode,random2025,2268,0.061522450,0.061489887,0.000032563,0,3
0.400000000,source_soft,random2025,2268,0.061572085,0.061472745,0.000099339,1,3
0.325000000,source_soft,random2025,2268,0.061591330,0.061489887,0.000101443,1,3
0.350000000,source_soft,random2025,2268,0.061575476,0.061470550,0.000104926,1,3
0.300000000,source_soft,random2025,2268,0.061618851,0.061513373,0.000105478,1,3
0.400000000,doy,random2025,2268,0.061620591,0.061472745,0.000147846,0,3
0.300000000,doy,random2025,2268,0.061662433,0.061513373,0.000149059,0,3
0.325000000,doy,random2025,2268,0.061640330,0.061489887,0.000150443,0,3
0.350000000,doy,random2025,2268,0.061621321,0.061470550,0.000150771,0,3
0.400000000,source_mode,random2025,2268,0.061643335,0.061472745,0.000170590,0,3
0.350000000,source_mode,random2025,2268,0.061649845,0.061470550,0.000179295,0,3
0.325000000,source_mode,random2025,2268,0.061671204,0.061489887,0.000181317,0,3
0.300000000,source_mode,random2025,2268,0.061701676,0.061513373,0.000188303,0,3
