dataset,partition,lag_weight,mode,n,rmse,baseline_rmse,delta_rmse,coverage,map_global
exact,exact_2019,0.300000000,none,249,0.056184556,0.056184556,0.000000000,0.879518072,0.000000000
exact,exact_2019,0.300000000,global,249,0.056216238,0.056184556,0.000031682,0.879518072,0.001681110
exact,exact_2019,0.300000000,doy,249,0.056216238,0.056184556,0.000031682,0.879518072,0.001681110
exact,exact_2019,0.300000000,source_oracle,249,0.056063109,0.056184556,-0.000121447,0.879518072,0.001681110
exact,exact_2019,0.300000000,source_soft,249,0.056537383,0.056184556,0.000352827,0.879518072,0.001681110
exact,exact_2019,0.300000000,source_mode,249,0.056445287,0.056184556,0.000260731,0.879518072,0.001681110
exact,exact_2019,0.300000000,source_doy_soft,249,0.056216238,0.056184556,0.000031682,0.879518072,0.001681110
exact,exact_2019,0.300000000,source_doy_mode,249,0.056216238,0.056184556,0.000031682,0.879518072,0.001681110
exact,exact_2019,0.325000000,none,249,0.056213869,0.056213869,0.000000000,0.879518072,0.000000000
exact,exact_2019,0.325000000,global,249,0.056244391,0.056213869,0.000030522,0.879518072,0.001596379
exact,exact_2019,0.325000000,doy,249,0.056244391,0.056213869,0.000030522,0.879518072,0.001596379
exact,exact_2019,0.325000000,source_oracle,249,0.056094659,0.056213869,-0.000119210,0.879518072,0.001596379
exact,exact_2019,0.325000000,source_soft,249,0.056561022,0.056213869,0.000347153,0.879518072,0.001596379
exact,exact_2019,0.325000000,source_mode,249,0.056470922,0.056213869,0.000257053,0.879518072,0.001596379
exact,exact_2019,0.325000000,source_doy_soft,249,0.056244391,0.056213869,0.000030522,0.879518072,0.001596379
exact,exact_2019,0.325000000,source_doy_mode,249,0.056244391,0.056213869,0.000030522,0.879518072,0.001596379
exact,exact_2019,0.350000000,none,249,0.056339282,0.056339282,0.000000000,0.879518072,0.000000000
exact,exact_2019,0.350000000,global,249,0.056368861,0.056339282,0.000029580,0.879518072,0.001549580
exact,exact_2019,0.350000000,doy,249,0.056368861,0.056339282,0.000029580,0.879518072,0.001549580
exact,exact_2019,0.350000000,source_oracle,249,0.056218554,0.056339282,-0.000120728,0.879518072,0.001549580
exact,exact_2019,0.350000000,source_soft,249,0.056704580,0.056339282,0.000365298,0.879518072,0.001549580
exact,exact_2019,0.350000000,source_mode,249,0.056610713,0.056339282,0.000271431,0.879518072,0.001549580
exact,exact_2019,0.350000000,source_doy_soft,249,0.056368861,0.056339282,0.000029580,0.879518072,0.001549580
exact,exact_2019,0.350000000,source_doy_mode,249,0.056368861,0.056339282,0.000029580,0.879518072,0.001549580
exact,exact_2019,0.400000000,none,249,0.056456633,0.056456633,0.000000000,0.879518072,0.000000000
exact,exact_2019,0.400000000,global,249,0.056490151,0.056456633,0.000033518,0.879518072,0.001602017
exact,exact_2019,0.400000000,doy,249,0.056490151,0.056456633,0.000033518,0.879518072,0.001602017
exact,exact_2019,0.400000000,source_oracle,249,0.056349088,0.056456633,-0.000107545,0.879518072,0.001602017
exact,exact_2019,0.400000000,source_soft,249,0.056821339,0.056456633,0.000364706,0.879518072,0.001602017
exact,exact_2019,0.400000000,source_mode,249,0.056731460,0.056456633,0.000274827,0.879518072,0.001602017
exact,exact_2019,0.400000000,source_doy_soft,249,0.056490151,0.056456633,0.000033518,0.879518072,0.001602017
exact,exact_2019,0.400000000,source_doy_mode,249,0.056490151,0.056456633,0.000033518,0.879518072,0.001602017
exact,exact_2020,0.300000000,none,222,0.055198389,0.055198389,0.000000000,0.941441441,0.000000000
exact,exact_2020,0.300000000,global,222,0.055183844,0.055198389,-0.000014545,0.941441441,0.000520856
exact,exact_2020,0.300000000,doy,222,0.055183844,0.055198389,-0.000014545,0.941441441,0.000520856
exact,exact_2020,0.300000000,source_oracle,222,0.055016654,0.055198389,-0.000181735,0.941441441,0.000520856
exact,exact_2020,0.300000000,source_soft,222,0.055503436,0.055198389,0.000305047,0.941441441,0.000520856
exact,exact_2020,0.300000000,source_mode,222,0.055771757,0.055198389,0.000573368,0.941441441,0.000520856
exact,exact_2020,0.300000000,source_doy_soft,222,0.055183844,0.055198389,-0.000014545,0.941441441,0.000520856
exact,exact_2020,0.300000000,source_doy_mode,222,0.055183844,0.055198389,-0.000014545,0.941441441,0.000520856
exact,exact_2020,0.325000000,none,222,0.055212161,0.055212161,0.000000000,0.941441441,0.000000000
exact,exact_2020,0.325000000,global,222,0.055193204,0.055212161,-0.000018957,0.941441441,0.000767007
exact,exact_2020,0.325000000,doy,222,0.055193204,0.055212161,-0.000018957,0.941441441,0.000767007
exact,exact_2020,0.325000000,source_oracle,222,0.055035592,0.055212161,-0.000176569,0.941441441,0.000767007
exact,exact_2020,0.325000000,source_soft,222,0.055542275,0.055212161,0.000330114,0.941441441,0.000767007
exact,exact_2020,0.325000000,source_mode,222,0.055824972,0.055212161,0.000612811,0.941441441,0.000767007
exact,exact_2020,0.325000000,source_doy_soft,222,0.055193204,0.055212161,-0.000018957,0.941441441,0.000767007
exact,exact_2020,0.325000000,source_doy_mode,222,0.055193204,0.055212161,-0.000018957,0.941441441,0.000767007
exact,exact_2020,0.350000000,none,222,0.055249505,0.055249505,0.000000000,0.941441441,0.000000000
exact,exact_2020,0.350000000,global,222,0.055229254,0.055249505,-0.000020250,0.941441441,0.000810456
exact,exact_2020,0.350000000,doy,222,0.055229254,0.055249505,-0.000020250,0.941441441,0.000810456
exact,exact_2020,0.350000000,source_oracle,222,0.055086296,0.055249505,-0.000163209,0.941441441,0.000810456
exact,exact_2020,0.350000000,source_soft,222,0.055575249,0.055249505,0.000325744,0.941441441,0.000810456
exact,exact_2020,0.350000000,source_mode,222,0.055849504,0.055249505,0.000600000,0.941441441,0.000810456
exact,exact_2020,0.350000000,source_doy_soft,222,0.055229254,0.055249505,-0.000020250,0.941441441,0.000810456
exact,exact_2020,0.350000000,source_doy_mode,222,0.055229254,0.055249505,-0.000020250,0.941441441,0.000810456
exact,exact_2020,0.400000000,none,222,0.055334858,0.055334858,0.000000000,0.941441441,0.000000000
exact,exact_2020,0.400000000,global,222,0.055316344,0.055334858,-0.000018514,0.941441441,0.000885187
exact,exact_2020,0.400000000,doy,222,0.055316344,0.055334858,-0.000018514,0.941441441,0.000885187
exact,exact_2020,0.400000000,source_oracle,222,0.055157722,0.055334858,-0.000177136,0.941441441,0.000885187
exact,exact_2020,0.400000000,source_soft,222,0.055691323,0.055334858,0.000356465,0.941441441,0.000885187
exact,exact_2020,0.400000000,source_mode,222,0.055990793,0.055334858,0.000655935,0.941441441,0.000885187
exact,exact_2020,0.400000000,source_doy_soft,222,0.055316344,0.055334858,-0.000018514,0.941441441,0.000885187
exact,exact_2020,0.400000000,source_doy_mode,222,0.055316344,0.055334858,-0.000018514,0.941441441,0.000885187
exact,exact_2021,0.300000000,none,130,0.077130517,0.077130517,0.000000000,0.884615385,0.000000000
exact,exact_2021,0.300000000,global,130,0.077267239,0.077130517,0.000136722,0.884615385,0.001581203
exact,exact_2021,0.300000000,doy,130,0.077267239,0.077130517,0.000136722,0.884615385,0.001581203
exact,exact_2021,0.300000000,source_oracle,130,0.077216205,0.077130517,0.000085688,0.884615385,0.001581203
exact,exact_2021,0.300000000,source_soft,130,0.077426063,0.077130517,0.000295546,0.884615385,0.001581203
exact,exact_2021,0.300000000,source_mode,130,0.077363306,0.077130517,0.000232789,0.884615385,0.001581203
exact,exact_2021,0.300000000,source_doy_soft,130,0.077267239,0.077130517,0.000136722,0.884615385,0.001581203
exact,exact_2021,0.300000000,source_doy_mode,130,0.077267239,0.077130517,0.000136722,0.884615385,0.001581203
exact,exact_2021,0.325000000,none,130,0.077218177,0.077218177,0.000000000,0.884615385,0.000000000
exact,exact_2021,0.325000000,global,130,0.077349339,0.077218177,0.000131161,0.884615385,0.001520329
exact,exact_2021,0.325000000,doy,130,0.077349339,0.077218177,0.000131161,0.884615385,0.001520329
exact,exact_2021,0.325000000,source_oracle,130,0.077274263,0.077218177,0.000056086,0.884615385,0.001520329
exact,exact_2021,0.325000000,source_soft,130,0.077492295,0.077218177,0.000274118,0.884615385,0.001520329
exact,exact_2021,0.325000000,source_mode,130,0.077427432,0.077218177,0.000209255,0.884615385,0.001520329
