lag_weight,mode,exact_rmse,exact_baseline_rmse,exact_delta,exact_wins,exact_folds,random_rmse,random_baseline_rmse,random_delta,random_wins,random_folds,worst_delta,mean_delta
0.400000000,source_oracle,0.061760494,0.061853690,-0.000093196,4,6,0.068689047,0.068905724,-0.000216677,3,3,-0.000093196,-0.000154936
0.350000000,source_oracle,0.061721862,0.061807288,-0.000085426,4,6,0.068512054,0.068730123,-0.000218069,3,3,-0.000085426,-0.000151748
0.325000000,source_oracle,0.061718226,0.061798059,-0.000079833,4,6,0.068449843,0.068679371,-0.000229528,3,3,-0.000079833,-0.000154681
0.300000000,source_oracle,0.061737688,0.061801158,-0.000063470,4,6,0.068388713,0.068620787,-0.000232074,3,3,-0.000063470,-0.000147772
0.300000000,none,0.061801158,0.061801158,0.000000000,0,6,0.068620787,0.068620787,0.000000000,0,3,0.000000000,0.000000000
0.325000000,none,0.061798059,0.061798059,0.000000000,0,6,0.068679371,0.068679371,0.000000000,0,3,0.000000000,0.000000000
0.350000000,none,0.061807288,0.061807288,0.000000000,0,6,0.068730123,0.068730123,0.000000000,0,3,0.000000000,0.000000000
0.400000000,none,0.061853690,0.061853690,0.000000000,0,6,0.068905724,0.068905724,0.000000000,0,3,0.000000000,0.000000000
0.350000000,global,0.061863667,0.061807288,0.000056380,3,6,0.068724564,0.068730123,-0.000005559,2,3,0.000056380,0.000025410
0.350000000,source_doy_mode,0.061863667,0.061807288,0.000056380,3,6,0.068725277,0.068730123,-0.000004847,2,3,0.000056380,0.000025766
0.350000000,doy,0.061863667,0.061807288,0.000056380,3,6,0.068748089,0.068730123,0.000017966,1,3,0.000056380,0.000037173
0.350000000,source_doy_soft,0.061863667,0.061807288,0.000056380,3,6,0.068725219,0.068730123,-0.000004905,2,3,0.000056380,0.000025738
0.325000000,global,0.061857648,0.061798059,0.000059589,3,6,0.068675462,0.068679371,-0.000003910,2,3,0.000059589,0.000027840
0.325000000,source_doy_mode,0.061857648,0.061798059,0.000059589,3,6,0.068675848,0.068679371,-0.000003523,2,3,0.000059589,0.000028033
0.325000000,doy,0.061857648,0.061798059,0.000059589,3,6,0.068697998,0.068679371,0.000018626,1,3,0.000059589,0.000039108
0.325000000,source_doy_soft,0.061857648,0.061798059,0.000059589,3,6,0.068675816,0.068679371,-0.000003555,2,3,0.000059589,0.000028017
0.300000000,global,0.061860923,0.061801158,0.000059765,3,6,0.068618161,0.068620787,-0.000002627,2,3,0.000059765,0.000028569
0.300000000,source_doy_soft,0.061860923,0.061801158,0.000059765,3,6,0.068618481,0.068620787,-0.000002307,2,3,0.000059765,0.000028729
0.300000000,source_doy_mode,0.061860923,0.061801158,0.000059765,3,6,0.068618509,0.068620787,-0.000002278,2,3,0.000059765,0.000028744
0.300000000,doy,0.061860923,0.061801158,0.000059765,3,6,0.068641122,0.068620787,0.000020334,1,3,0.000059765,0.000040050
0.400000000,global,0.061921960,0.061853690,0.000068270,2,6,0.068902375,0.068905724,-0.000003349,2,3,0.000068270,0.000032460
0.400000000,source_doy_soft,0.061921960,0.061853690,0.000068270,2,6,0.068903200,0.068905724,-0.000002524,2,3,0.000068270,0.000032873
0.400000000,source_doy_mode,0.061921960,0.061853690,0.000068270,2,6,0.068903275,0.068905724,-0.000002449,2,3,0.000068270,0.000032910
0.400000000,doy,0.061921960,0.061853690,0.000068270,2,6,0.068922849,0.068905724,0.000017124,1,3,0.000068270,0.000042697
0.400000000,source_soft,0.062118229,0.061853690,0.000264539,1,6,0.068946947,0.068905724,0.000041223,0,3,0.000264539,0.000152881
0.325000000,source_soft,0.062068937,0.061798059,0.000270878,2,6,0.068723040,0.068679371,0.000043669,0,3,0.000270878,0.000157273
0.350000000,source_soft,0.062081562,0.061807288,0.000274274,1,6,0.068771391,0.068730123,0.000041268,0,3,0.000274274,0.000157771
0.300000000,source_soft,0.062077766,0.061801158,0.000276608,2,6,0.068665537,0.068620787,0.000044750,0,3,0.000276608,0.000160679
0.400000000,source_mode,0.062159291,0.061853690,0.000305602,1,6,0.068994197,0.068905724,0.000088473,0,3,0.000305602,0.000197037
0.325000000,source_mode,0.062109204,0.061798059,0.000311145,1,6,0.068775807,0.068679371,0.000096435,0,3,0.000311145,0.000203790
0.300000000,source_mode,0.062115126,0.061801158,0.000313968,1,6,0.068719858,0.068620787,0.000099071,0,3,0.000313968,0.000206519
0.350000000,source_mode,0.062122243,0.061807288,0.000314955,1,6,0.068819599,0.068730123,0.000089475,0,3,0.000314955,0.000202215
