lag_weight,method,alpha,cap,cohort,n,rmse,baseline_rmse,delta_rmse,wins,folds
0.300000000,source,0.010000000,0.010000000,exact,1114,0.061875941,0.061801158,0.000074783,2,6
0.300000000,source,0.010000000,0.020000000,exact,1114,0.061922495,0.061801158,0.000121337,2,6
0.300000000,source,0.010000000,0.040000000,exact,1114,0.061998249,0.061801158,0.000197091,1,6
0.300000000,source,0.100000000,0.010000000,exact,1114,0.061884930,0.061801158,0.000083772,2,6
0.300000000,source,0.100000000,0.020000000,exact,1114,0.061939916,0.061801158,0.000138758,2,6
0.300000000,source,0.100000000,0.040000000,exact,1114,0.062004580,0.061801158,0.000203422,1,6
0.300000000,source,1.000000000,0.010000000,exact,1114,0.061945041,0.061801158,0.000143884,2,6
0.300000000,source,1.000000000,0.020000000,exact,1114,0.062016209,0.061801158,0.000215051,2,6
0.300000000,source,1.000000000,0.040000000,exact,1114,0.062049446,0.061801158,0.000248289,2,6
0.300000000,source,10.000000000,0.010000000,exact,1114,0.062008764,0.061801158,0.000207606,2,6
0.300000000,source,10.000000000,0.020000000,exact,1114,0.062058841,0.061801158,0.000257683,2,6
0.300000000,source,10.000000000,0.040000000,exact,1114,0.062059205,0.061801158,0.000258047,2,6
0.300000000,source,100.000000000,0.010000000,exact,1114,0.061973397,0.061801158,0.000172239,2,6
0.300000000,source,100.000000000,0.020000000,exact,1114,0.061979195,0.061801158,0.000178038,2,6
0.300000000,source,100.000000000,0.040000000,exact,1114,0.061979195,0.061801158,0.000178038,2,6
0.300000000,source_year,0.010000000,0.010000000,exact,1114,0.062104778,0.061801158,0.000303620,1,6
0.300000000,source_year,0.010000000,0.020000000,exact,1114,0.062183848,0.061801158,0.000382690,1,6
0.300000000,source_year,0.010000000,0.040000000,exact,1114,0.062256832,0.061801158,0.000455674,0,6
0.300000000,source_year,0.100000000,0.010000000,exact,1114,0.061954288,0.061801158,0.000153130,2,6
0.300000000,source_year,0.100000000,0.020000000,exact,1114,0.062006276,0.061801158,0.000205118,2,6
0.300000000,source_year,0.100000000,0.040000000,exact,1114,0.062076130,0.061801158,0.000274972,1,6
0.300000000,source_year,1.000000000,0.010000000,exact,1114,0.061957489,0.061801158,0.000156331,2,6
0.300000000,source_year,1.000000000,0.020000000,exact,1114,0.062003571,0.061801158,0.000202413,2,6
0.300000000,source_year,1.000000000,0.040000000,exact,1114,0.062036892,0.061801158,0.000235734,2,6
0.300000000,source_year,10.000000000,0.010000000,exact,1114,0.062005688,0.061801158,0.000204531,2,6
0.300000000,source_year,10.000000000,0.020000000,exact,1114,0.062036471,0.061801158,0.000235313,2,6
0.300000000,source_year,10.000000000,0.040000000,exact,1114,0.062036471,0.061801158,0.000235313,2,6
0.300000000,source_year,100.000000000,0.010000000,exact,1114,0.061983746,0.061801158,0.000182588,2,6
0.300000000,source_year,100.000000000,0.020000000,exact,1114,0.061988818,0.061801158,0.000187660,2,6
0.300000000,source_year,100.000000000,0.040000000,exact,1114,0.061988818,0.061801158,0.000187660,2,6
0.300000000,source_year_doy,0.010000000,0.010000000,exact,1114,0.062239424,0.061801158,0.000438267,0,6
0.300000000,source_year_doy,0.010000000,0.020000000,exact,1114,0.062482267,0.061801158,0.000681109,0,6
0.300000000,source_year_doy,0.010000000,0.040000000,exact,1114,0.062552490,0.061801158,0.000751332,0,6
0.300000000,source_year_doy,0.100000000,0.010000000,exact,1114,0.062042519,0.061801158,0.000241361,1,6
0.300000000,source_year_doy,0.100000000,0.020000000,exact,1114,0.062154170,0.061801158,0.000353012,1,6
0.300000000,source_year_doy,0.100000000,0.040000000,exact,1114,0.062216922,0.061801158,0.000415764,2,6
0.300000000,source_year_doy,1.000000000,0.010000000,exact,1114,0.062001067,0.061801158,0.000199909,1,6
0.300000000,source_year_doy,1.000000000,0.020000000,exact,1114,0.062084495,0.061801158,0.000283337,2,6
0.300000000,source_year_doy,1.000000000,0.040000000,exact,1114,0.062104714,0.061801158,0.000303556,2,6
0.300000000,source_year_doy,10.000000000,0.010000000,exact,1114,0.062018530,0.061801158,0.000217372,2,6
0.300000000,source_year_doy,10.000000000,0.020000000,exact,1114,0.062064207,0.061801158,0.000263049,2,6
0.300000000,source_year_doy,10.000000000,0.040000000,exact,1114,0.062065199,0.061801158,0.000264041,2,6
0.300000000,source_year_doy,100.000000000,0.010000000,exact,1114,0.061978865,0.061801158,0.000177707,2,6
0.300000000,source_year_doy,100.000000000,0.020000000,exact,1114,0.061989848,0.061801158,0.000188690,2,6
0.300000000,source_year_doy,100.000000000,0.040000000,exact,1114,0.061989848,0.061801158,0.000188690,2,6
0.325000000,source,0.010000000,0.010000000,exact,1114,0.061873249,0.061798059,0.000075189,2,6
0.325000000,source,0.010000000,0.020000000,exact,1114,0.061912567,0.061798059,0.000114508,2,6
0.325000000,source,0.010000000,0.040000000,exact,1114,0.061987267,0.061798059,0.000189208,1,6
0.325000000,source,0.100000000,0.010000000,exact,1114,0.061882060,0.061798059,0.000084001,2,6
0.325000000,source,0.100000000,0.020000000,exact,1114,0.061930209,0.061798059,0.000132150,2,6
0.325000000,source,0.100000000,0.040000000,exact,1114,0.061994201,0.061798059,0.000196142,1,6
0.325000000,source,1.000000000,0.010000000,exact,1114,0.061938611,0.061798059,0.000140552,2,6
0.325000000,source,1.000000000,0.020000000,exact,1114,0.062008271,0.061798059,0.000210212,2,6
0.325000000,source,1.000000000,0.040000000,exact,1114,0.062041578,0.061798059,0.000243519,2,6
0.325000000,source,10.000000000,0.010000000,exact,1114,0.062003886,0.061798059,0.000205827,2,6
0.325000000,source,10.000000000,0.020000000,exact,1114,0.062053663,0.061798059,0.000255604,2,6
0.325000000,source,10.000000000,0.040000000,exact,1114,0.062053929,0.061798059,0.000255870,2,6
0.325000000,source,100.000000000,0.010000000,exact,1114,0.061969315,0.061798059,0.000171256,2,6
0.325000000,source,100.000000000,0.020000000,exact,1114,0.061975135,0.061798059,0.000177076,2,6
