lag_weight,method,alpha,cap,baseline_rmse_exact,baseline_rmse_random,baseline_rmse_random2025,delta_rmse_exact,delta_rmse_random,delta_rmse_random2025,folds_exact,folds_random,folds_random2025,rmse_exact,rmse_random,rmse_random2025,wins_exact,wins_random,wins_random2025,worst_delta,mean_delta
0.400000000,source,0.010000000,0.010000000,0.061853690,0.071666238,0.061472745,0.000062661,-0.000004264,0.000043987,6,3,3,0.061916351,0.071661974,0.061516732,2,1,1,0.000062661,0.000034128
0.350000000,source,0.010000000,0.010000000,0.061807288,0.071430462,0.061470550,0.000062950,0.000004789,0.000039932,6,3,3,0.061870237,0.071435251,0.061510482,2,1,1,0.000062950,0.000035890
0.400000000,source,0.100000000,0.010000000,0.061853690,0.071666238,0.061472745,0.000072609,-0.000004285,0.000043935,6,3,3,0.061926299,0.071661953,0.061516681,2,1,1,0.000072609,0.000037420
0.350000000,source,0.100000000,0.010000000,0.061807288,0.071430462,0.061470550,0.000072914,0.000004759,0.000039884,6,3,3,0.061880201,0.071435221,0.061510434,2,1,1,0.000072914,0.000039186
0.300000000,source,0.010000000,0.010000000,0.061801158,0.071268305,0.061513373,0.000074783,0.000017769,0.000042870,6,3,3,0.061875941,0.071286074,0.061556243,2,1,0,0.000074783,0.000045141
0.325000000,source,0.010000000,0.010000000,0.061798059,0.071355396,0.061489887,0.000075189,0.000013318,0.000044658,6,3,3,0.061873249,0.071368714,0.061534545,2,1,0,0.000075189,0.000044388
0.300000000,source,0.100000000,0.010000000,0.061801158,0.071268305,0.061513373,0.000083772,0.000017723,0.000042826,6,3,3,0.061884930,0.071286028,0.061556199,2,1,0,0.000083772,0.000048107
0.325000000,source,0.100000000,0.010000000,0.061798059,0.071355396,0.061489887,0.000084001,0.000013280,0.000044612,6,3,3,0.061882060,0.071368676,0.061534499,2,1,0,0.000084001,0.000047298
0.400000000,source,0.010000000,0.020000000,0.061853690,0.071666238,0.061472745,0.000100602,0.000011251,0.000043987,6,3,3,0.061954291,0.071677489,0.061516732,2,1,1,0.000100602,0.000051947
0.350000000,source,0.010000000,0.020000000,0.061807288,0.071430462,0.061470550,0.000114296,0.000019506,0.000039932,6,3,3,0.061921584,0.071449968,0.061510482,2,1,1,0.000114296,0.000057912
0.325000000,source,0.010000000,0.020000000,0.061798059,0.071355396,0.061489887,0.000114508,0.000027666,0.000044658,6,3,3,0.061912567,0.071383062,0.061534545,2,1,0,0.000114508,0.000062277
0.400000000,source,0.100000000,0.020000000,0.061853690,0.071666238,0.061472745,0.000117379,0.000011025,0.000043935,6,3,3,0.061971068,0.071677263,0.061516681,2,1,1,0.000117379,0.000057446
0.300000000,source,0.010000000,0.020000000,0.061801158,0.071268305,0.061513373,0.000121337,0.000031572,0.000042870,6,3,3,0.061922495,0.071299877,0.061556243,2,1,0,0.000121337,0.000065260
0.400000000,source,1.000000000,0.010000000,0.061853690,0.071666238,0.061472745,0.000125484,-0.000004433,0.000043485,6,3,3,0.061979174,0.071661805,0.061516230,2,1,1,0.000125484,0.000054845
0.350000000,source,0.100000000,0.020000000,0.061807288,0.071430462,0.061470550,0.000130442,0.000019253,0.000039884,6,3,3,0.061937730,0.071449715,0.061510434,2,1,1,0.000130442,0.000063193
0.350000000,source,1.000000000,0.010000000,0.061807288,0.071430462,0.061470550,0.000132149,0.000004390,0.000039466,6,3,3,0.061939437,0.071434852,0.061510015,2,1,1,0.000132149,0.000058668
0.325000000,source,0.100000000,0.020000000,0.061798059,0.071355396,0.061489887,0.000132150,0.000027402,0.000044612,6,3,3,0.061930209,0.071382798,0.061534499,2,1,0,0.000132150,0.000068055
0.400000000,source_year,1.000000000,0.010000000,0.061853690,0.071666238,0.061472745,0.000135550,0.000041704,0.000096042,6,3,3,0.061989239,0.071707941,0.061568788,2,1,0,0.000135550,0.000091099
0.300000000,source,0.100000000,0.020000000,0.061801158,0.071268305,0.061513373,0.000138758,0.000031275,0.000042826,6,3,3,0.061939916,0.071299580,0.061556199,2,1,0,0.000138758,0.000070953
0.400000000,source_year,0.100000000,0.010000000,0.061853690,0.071666238,0.061472745,0.000139357,0.000041656,0.000097188,6,3,3,0.061993047,0.071707894,0.061569933,2,1,0,0.000139357,0.000092734
0.325000000,source,1.000000000,0.010000000,0.061798059,0.071355396,0.061489887,0.000140552,0.000012818,0.000044216,6,3,3,0.061938611,0.071368214,0.061534103,2,1,0,0.000140552,0.000065862
0.350000000,source_year,1.000000000,0.010000000,0.061807288,0.071430462,0.061470550,0.000143693,0.000051550,0.000089218,6,3,3,0.061950980,0.071482013,0.061559768,2,1,0,0.000143693,0.000094820
0.300000000,source,1.000000000,0.010000000,0.061801158,0.071268305,0.061513373,0.000143884,0.000017063,0.000042442,6,3,3,0.061945041,0.071285368,0.061555816,2,1,0,0.000143884,0.000067796
0.350000000,source_year,0.100000000,0.010000000,0.061807288,0.071430462,0.061470550,0.000145591,0.000051622,0.000090392,6,3,3,0.061952878,0.071482084,0.061560942,2,1,0,0.000145591,0.000095868
0.325000000,source_year,0.100000000,0.010000000,0.061798059,0.071355396,0.061489887,0.000150764,0.000058343,0.000093681,6,3,3,0.061948823,0.071413739,0.061583568,2,1,0,0.000150764,0.000100929
0.325000000,source_year,1.000000000,0.010000000,0.061798059,0.071355396,0.061489887,0.000152714,0.000058073,0.000092491,6,3,3,0.061950773,0.071413469,0.061582378,2,1,0,0.000152714,0.000101092
0.300000000,source_year,0.100000000,0.010000000,0.061801158,0.071268305,0.061513373,0.000153130,0.000063194,0.000090554,6,3,3,0.061954288,0.071331500,0.061603927,2,1,0,0.000153130,0.000102293
