mode,lag_weight,scale,exact_rmse,exact_base,exact_delta,exact_n,random_rmse,random_base,random_delta,random_n,random2025_rmse,random2025_base,random2025_delta,random2025_n,exact_wins,exact_folds,random_wins,random_folds,random2025_wins,random2025_folds,worst_delta,mean_delta
global,0.300000000,-1.000000000,0.061760247,0.061801158,-0.000040911,1114,0.071323879,0.071268305,0.000055574,5664,0.061533327,0.061513373,0.000019954,2268,2,6,0,3,0,3,0.000055574,0.000011539
global,0.300000000,-0.975000000,0.061761039,0.061801158,-0.000040118,1114,0.071321990,0.071268305,0.000053685,5664,0.061532199,0.061513373,0.000018826,2268,2,6,0,3,0,3,0.000053685,0.000010797
global,0.300000000,-0.950000000,0.061761844,0.061801158,-0.000039314,1114,0.071320126,0.071268305,0.000051821,5664,0.061531104,0.061513373,0.000017731,2268,2,6,0,3,0,3,0.000051821,0.000010079
global,0.300000000,-0.925000000,0.061762660,0.061801158,-0.000038498,1114,0.071318288,0.071268305,0.000049982,5664,0.061530041,0.061513373,0.000016668,2268,2,6,0,3,0,3,0.000049982,0.000009384
global,0.300000000,-0.900000000,0.061763488,0.061801158,-0.000037670,1114,0.071316475,0.071268305,0.000048170,5664,0.061529010,0.061513373,0.000015637,2268,2,6,0,3,0,3,0.000048170,0.000008712
global,0.300000000,-0.875000000,0.061764328,0.061801158,-0.000036830,1114,0.071314688,0.071268305,0.000046383,5664,0.061528012,0.061513373,0.000014639,2268,3,6,0,3,0,3,0.000046383,0.000008064
global,0.300000000,-0.850000000,0.061765180,0.061801158,-0.000035978,1114,0.071312926,0.071268305,0.000044621,5664,0.061527045,0.061513373,0.000013672,2268,3,6,0,3,0,3,0.000044621,0.000007438
global,0.300000000,-0.825000000,0.061766043,0.061801158,-0.000035115,1114,0.071311191,0.071268305,0.000042885,5664,0.061526111,0.061513373,0.000012738,2268,3,6,0,3,0,3,0.000042885,0.000006836
global,0.300000000,-0.800000000,0.061766919,0.061801158,-0.000034239,1114,0.071309481,0.071268305,0.000041175,5664,0.061525209,0.061513373,0.000011836,2268,3,6,0,3,0,3,0.000041175,0.000006257
global,0.300000000,-0.775000000,0.061767806,0.061801158,-0.000033352,1114,0.071307796,0.071268305,0.000039491,5664,0.061524340,0.061513373,0.000010967,2268,3,6,0,3,1,3,0.000039491,0.000005702
global,0.300000000,-0.750000000,0.061768705,0.061801158,-0.000032453,1114,0.071306137,0.071268305,0.000037832,5664,0.061523502,0.061513373,0.000010129,2268,3,6,0,3,1,3,0.000037832,0.000005169
global,0.300000000,-0.725000000,0.061769615,0.061801158,-0.000031543,1114,0.071304504,0.071268305,0.000036199,5664,0.061522697,0.061513373,0.000009324,2268,3,6,0,3,1,3,0.000036199,0.000004660
global,0.300000000,-0.700000000,0.061770538,0.061801158,-0.000030620,1114,0.071302897,0.071268305,0.000034591,5664,0.061521924,0.061513373,0.000008551,2268,3,6,0,3,1,3,0.000034591,0.000004174
global,0.300000000,-0.675000000,0.061771472,0.061801158,-0.000029686,1114,0.071301315,0.071268305,0.000033009,5664,0.061521184,0.061513373,0.000007810,2268,3,6,0,3,1,3,0.000033009,0.000003711
global,0.300000000,-0.650000000,0.061772418,0.061801158,-0.000028740,1114,0.071299758,0.071268305,0.000031453,5664,0.061520475,0.061513373,0.000007102,2268,3,6,0,3,1,3,0.000031453,0.000003272
global,0.300000000,-0.625000000,0.061773376,0.061801158,-0.000027782,1114,0.071298228,0.071268305,0.000029923,5664,0.061519799,0.061513373,0.000006426,2268,3,6,0,3,1,3,0.000029923,0.000002856
global,0.300000000,-0.600000000,0.061774346,0.061801158,-0.000026812,1114,0.071296723,0.071268305,0.000028418,5664,0.061519155,0.061513373,0.000005782,2268,3,6,1,3,1,3,0.000028418,0.000002462
global,0.300000000,-0.575000000,0.061775327,0.061801158,-0.000025830,1114,0.071295244,0.071268305,0.000026938,5664,0.061518543,0.061513373,0.000005170,2268,3,6,1,3,1,3,0.000026938,0.000002093
global,0.300000000,-0.550000000,0.061776321,0.061801158,-0.000024837,1114,0.071293790,0.071268305,0.000025485,5664,0.061517964,0.061513373,0.000004590,2268,3,6,1,3,1,3,0.000025485,0.000001746
global,0.300000000,-0.525000000,0.061777326,0.061801158,-0.000023832,1114,0.071292362,0.071268305,0.000024057,5664,0.061517416,0.061513373,0.000004043,2268,3,6,1,3,1,3,0.000024057,0.000001423
global,0.300000000,-0.500000000,0.061778343,0.061801158,-0.000022815,1114,0.071290960,0.071268305,0.000022655,5664,0.061516901,0.061513373,0.000003528,2268,3,6,1,3,1,3,0.000022655,0.000001123
global,0.300000000,-0.475000000,0.061779372,0.061801158,-0.000021786,1114,0.071289583,0.071268305,0.000021278,5664,0.061516419,0.061513373,0.000003045,2268,3,6,1,3,1,3,0.000021278,0.000000846
global,0.300000000,-0.450000000,0.061780412,0.061801158,-0.000020746,1114,0.071288232,0.071268305,0.000019927,5664,0.061515968,0.061513373,0.000002595,2268,3,6,1,3,1,3,0.000019927,0.000000592
