dataset,test_partition,fit,regime,n_train,hgb,blend20,shock15,joint
exact_hidden_doy,exact2019,simplex_global,global,865,0.000000000,0.193548438,0.000000000,0.806451562
exact_hidden_doy,exact2019,ridge_global,global,865,0.639724425,0.160039508,0.100114927,0.100121140
exact_hidden_doy,exact2019,ridge_canon,False,456,0.639762974,0.159989242,0.100109791,0.100137993
exact_hidden_doy,exact2019,ridge_canon,True,409,0.639681451,0.160095548,0.100120652,0.100102350
exact_hidden_doy,exact2020,simplex_global,global,892,0.000000000,0.211565025,0.390451834,0.397983141
exact_hidden_doy,exact2020,ridge_global,global,892,0.639732861,0.160045139,0.100110164,0.100111836
exact_hidden_doy,exact2020,ridge_canon,False,483,0.639735814,0.159962527,0.100140784,0.100160876
exact_hidden_doy,exact2020,ridge_canon,True,409,0.639729365,0.160142697,0.100074010,0.100053928
exact_hidden_doy,exact2021,simplex_global,global,984,0.000000000,0.114466709,0.885533291,0.000000000
exact_hidden_doy,exact2021,ridge_global,global,984,0.639726944,0.160035573,0.100120358,0.100117125
exact_hidden_doy,exact2021,ridge_canon,False,573,0.639725017,0.159988386,0.100134067,0.100152530
exact_hidden_doy,exact2021,ridge_canon,True,411,0.639729622,0.160101359,0.100101252,0.100067767
exact_hidden_doy,exact2022,simplex_global,global,922,0.000000000,0.136794045,0.000000000,0.863205955
exact_hidden_doy,exact2022,ridge_global,global,922,0.639757937,0.160018840,0.100106719,0.100116505
exact_hidden_doy,exact2022,ridge_canon,False,509,0.639755608,0.159981727,0.100116126,0.100146539
exact_hidden_doy,exact2022,ridge_canon,True,413,0.639760800,0.160064580,0.100095130,0.100079490
exact_hidden_doy,exact2023,simplex_global,global,945,0.000000000,0.212485320,0.410437049,0.377077631
exact_hidden_doy,exact2023,ridge_global,global,945,0.639788690,0.160019571,0.100097171,0.100094567
exact_hidden_doy,exact2023,ridge_canon,False,536,0.639843267,0.159979203,0.100085202,0.100092328
exact_hidden_doy,exact2023,ridge_canon,True,409,0.639717174,0.160072478,0.100112852,0.100097495
exact_hidden_doy,exact2024,simplex_global,global,962,0.000000000,0.000000000,0.496222996,0.503777004
exact_hidden_doy,exact2024,ridge_global,global,962,0.639698425,0.160030758,0.100134702,0.100136115
exact_hidden_doy,exact2024,ridge_canon,False,553,0.639727839,0.159989864,0.100132617,0.100149680
exact_hidden_doy,exact2024,ridge_canon,True,409,0.639658656,0.160086051,0.100137521,0.100117772
random_private_like,random0,simplex_global,global,4488,0.000000000,0.000000000,0.000000000,1.000000000
random_private_like,random0,ridge_global,global,4488,0.639805340,0.159999712,0.100094547,0.100100401
random_private_like,random0,ridge_canon,False,3452,0.639833573,0.159966146,0.100094271,0.100106009
random_private_like,random0,ridge_canon,True,1036,0.639711268,0.160111573,0.100095458,0.100081702
random_private_like,random1,simplex_global,global,4473,0.055010292,0.000000000,0.000000000,0.944989708
random_private_like,random1,ridge_global,global,4473,0.639844885,0.160002809,0.100069932,0.100082374
random_private_like,random1,ridge_canon,False,3464,0.639838600,0.159988308,0.100076477,0.100096615
random_private_like,random1,ridge_canon,True,1009,0.639866449,0.160052605,0.100047469,0.100033477
random_private_like,random2,simplex_global,global,4453,0.000000000,0.000000000,0.000000000,1.000000000
random_private_like,random2,ridge_global,global,4453,0.639779607,0.160019026,0.100093534,0.100107833
random_private_like,random2,ridge_canon,False,3432,0.639775644,0.159993686,0.100105886,0.100124785
random_private_like,random2,ridge_canon,True,1021,0.639792914,0.160104220,0.100052020,0.100050845
