dimension,group,n,rmse,mae
all,all,1114,0.07055365482254058,0.05059995612511502
year,2019,249,0.06504498648921715,0.047158963729249846
year,2020,222,0.06427426452248118,0.046779972198366486
year,2021,130,0.09026033289207212,0.06715578488193082
year,2022,192,0.07224060509795764,0.05303520958674996
year,2023,169,0.0761622186719435,0.052413688345340555
year,2024,152,0.0592318194884526,0.04256374816505264
source,landsat,326,0.0633526156442072,0.04372691729931287
source,modis,343,0.07682176945526219,0.05901470591138351
source,s2,445,0.07051380466254098,0.049149060575724914
crop_type,зерновые,296,0.061384080771865995,0.04556744739437646
crop_type,озимая пшеница,622,0.07669973804473558,0.05468788326518448
crop_type,пастбища/зерновые,38,0.05762183487494045,0.0436566922890295
crop_type,подсолнечник,158,0.06387571131419006,0.04560486706781536
run_len,1,1055,0.07105028432125615,0.051240706214127976
run_len,2,56,0.06232858804691505,0.03989136111178972
run_len,3,3,0.0254752242468708,0.025163281737628135
edge,False,1096,0.070239138868395,0.05043797863902422
edge,True,18,0.0876017945238345,0.060462585278198845
bracket_bin,<=7,788,0.06479268556255133,0.04655898476810058
bracket_bin,8-15,279,0.07962495591230637,0.05857182607044597
bracket_bin,16-30,29,0.10670007806797943,0.07758638336044353
bracket_bin,>30,18,0.0876017945238345,0.060462585278198845
