dimension,group,n,rmse,mae
all,all,1114,0.0705536548225406,0.050599956125115024
year,2019,249,0.06504498648921714,0.04715896372924984
year,2020,222,0.0642742645224812,0.046779972198366486
year,2021,130,0.09026033289207216,0.06715578488193086
year,2022,192,0.07224060509795764,0.053035209586749975
year,2023,169,0.07616221867194352,0.05241368834534056
year,2024,152,0.05923181948845261,0.042563748165052644
source,landsat,326,0.06335261564420722,0.04372691729931287
source,modis,343,0.07682176945526219,0.05901470591138351
source,s2,445,0.07051380466254101,0.049149060575724914
crop_type,зерновые,296,0.061384080771866016,0.04556744739437648
crop_type,озимая пшеница,622,0.07669973804473558,0.05468788326518448
crop_type,пастбища/зерновые,38,0.057621834874940506,0.04365669228902955
crop_type,подсолнечник,158,0.06387571131419009,0.04560486706781537
run_len,1,1055,0.07105028432125615,0.05124070621412799
run_len,2,56,0.062328588046915025,0.03989136111178972
run_len,3,3,0.025475224246870834,0.025163281737628173
edge,False,1096,0.070239138868395,0.050437978639024224
edge,True,18,0.08760179452383456,0.06046258527819886
bracket_bin,<=7,788,0.06479268556255134,0.04655898476810059
bracket_bin,8-15,279,0.07962495591230638,0.05857182607044597
bracket_bin,16-30,29,0.1067000780679795,0.07758638336044356
bracket_bin,>30,18,0.08760179452383456,0.06046258527819886
