a,b,w_b,rmse,mae
hgb,lag_k16_d3,0.30000000000000004,0.0625196365651102,0.042902087705084094
hgb,lag_k16_d3,0.25,0.06253669227941114,0.04285889305447828
hgb,lag_k16_d3,0.35000000000000003,0.0625552232797409,0.04299647162220188
hgb,lag_k16_d3,0.2,0.06260634739886303,0.04285451444746954
hgb,lag_k16_d3,0.4,0.06264336270734576,0.04313805080433328
hgb,lag_k12_d2,0.25,0.0626444492526899,0.04298574526669247
hgb,lag_k12_d2,0.30000000000000004,0.06265603756288553,0.043059741468928554
hgb,lag_k24_d2,0.25,0.0626783947747844,0.04290264524671318
hgb,lag_k12_d2,0.2,0.06268775506858214,0.04295193154881752
hgb,lag_k24_d2,0.2,0.06270467765111769,0.042872462690095564
hgb,lag_k24_d2,0.30000000000000004,0.06271208859449498,0.04298251145513565
hgb,lag_k12_d2,0.35000000000000003,0.06272248957323996,0.04318400561240109
hgb,lag_k16_d3,0.15000000000000002,0.06272842670086311,0.04289158419809739
hgb,lag_k16_d3,0.45,0.06278383351907547,0.04333070503612896
hgb,lag_k12_d2,0.15000000000000002,0.06278584142287846,0.042958496178068996
hgb,lag_k24_d2,0.15000000000000002,0.06279086190875516,0.04289898361029831
hgb,lag_k24_d2,0.35000000000000003,0.06280566258189446,0.043108104943059396
hgb,lag_k12_d2,0.4,0.06284363124234034,0.043364797832629365
hgb,lag_k16_d3,0.1,0.06290262495687325,0.042974887771660454
hgb,lag_k24_d2,0.1,0.0629367014649248,0.04297187216486949
hgb,lag_k12_d2,0.1,0.06293845219810958,0.043015888006477536
hgb,lag_k24_d2,0.4,0.06295884974286534,0.04329866328277846
hgb,lag_k16_d3,0.5,0.06297628553494532,0.04356631203098805
hgb,lag_k12_d2,0.45,0.0630191471812806,0.04358359822235778
hgb,lag_k16_d3,0.05,0.06312851071366742,0.04309943915112832
hgb,lag_k24_d2,0.05,0.06314178296067273,0.04309455924044072
hgb,lag_k12_d2,0.05,0.06314519206783044,0.04311643356619102
hgb,lag_k24_d2,0.45,0.06317121640166141,0.043565120016814465
hgb,lag_k16_d3,0.55,0.06322024404071853,0.04387852579189263
hgb,lag_k12_d2,0.5,0.06324858472300503,0.043865268921809475
base_k12,hgb,0.9,0.06328999299158304,0.043321410357945504
base_k6,hgb,0.9,0.06330609348999512,0.04332522777582894
base_k8,hgb,0.9,0.0633118059888603,0.04333115922905589
base_k12,hgb,0.8500000000000001,0.06331382766409496,0.043412288577961304
