year,method,n,rmse,mae,n_s2,rmse_s2,n_landsat,rmse_landsat,n_modis,rmse_modis
2019,base_k6,249,0.06602822276488977,0.04749975038207933,120,0.06793790418878669,73,0.06321231747915775,56,0.06546694615604971
2019,base_k8,249,0.06504498648921714,0.04715896372924984,120,0.06726009888607969,73,0.06176545596385216,56,0.06438143659049815
2019,base_k12,249,0.06704218433987648,0.04891274117097877,120,0.06999991873067823,73,0.06261089921169061,56,0.06614394854098828
2019,lag_k12_d2,249,0.06537967475317659,0.04626965989873271,120,0.07011846879185446,73,0.06317150303927022,56,0.05717179215588619
2019,lag_k16_d3,249,0.06450731545469175,0.045785213056398634,120,0.0681832359252576,73,0.06326139882657703,56,0.05764987753173307
2019,lag_k24_d2,249,0.06590365874612954,0.047672000401422554,120,0.07032141529558443,73,0.06270134683784195,56,0.05992124199122431
2019,hgb,249,0.057749371318698485,0.03972701940527716,120,0.06102478493183752,73,0.05901647701357985,56,0.048046592733993615
2020,base_k6,222,0.06502484418651991,0.04729083521373222,128,0.06105376430577567,25,0.05029619875655336,69,0.07597639761450996
2020,base_k8,222,0.0642742645224812,0.046779972198366486,128,0.06140817993502565,25,0.04668789669349046,69,0.07420542806449365
2020,base_k12,222,0.06390473913482697,0.04669420557340449,128,0.06279644451148036,25,0.04573020422030341,69,0.07117761328083773
2020,lag_k12_d2,222,0.06268261903325081,0.04549293029130254,128,0.05996579497326975,25,0.045740627588199495,69,0.07219967240252512
2020,lag_k16_d3,222,0.062191369958472235,0.04561255110455665,128,0.06059825131405423,25,0.04444803125366392,69,0.07011569356137336
2020,lag_k24_d2,222,0.06213170179743538,0.044639992171920016,128,0.06219946427179477,25,0.04103668001196581,69,0.06806796694534366
2020,hgb,222,0.055966933168518126,0.03761340888680115,128,0.0543552392969949,25,0.03567568270741853,69,0.06431086522440879
2021,base_k6,130,0.08924473665979908,0.06542413559418048,37,0.09553168127370419,35,0.06070075859994803,58,0.09902694171740996
2021,base_k8,130,0.09026033289207216,0.06715578488193086,37,0.09866536904324819,35,0.06171228260154848,58,0.09875228147201576
2021,base_k12,130,0.09337910124720165,0.07036819954379193,37,0.10296628765600464,35,0.06606931254980186,58,0.100729996968001
2021,lag_k12_d2,130,0.08538619318374677,0.06377664609011786,37,0.09130403946170293,35,0.0709633514837519,58,0.08935627376382743
2021,lag_k16_d3,130,0.08599740935703917,0.06327729176871567,37,0.09360742894916337,35,0.07016175567278438,58,0.08953149875422683
2021,lag_k24_d2,130,0.09073817774998874,0.06661040483716724,37,0.10472335803062997,35,0.07527523378424093,58,0.08965866737907961
2021,hgb,130,0.07749551713412782,0.057193278375562664,37,0.09349776064597588,35,0.05061391120723912,58,0.07961248131448073
2022,base_k6,192,0.07236636391728951,0.05253277317682332,44,0.06747593064097006,94,0.06649731349385664,54,0.08492840479686364
2022,base_k8,192,0.07224060509795764,0.053035209586749975,44,0.07148235861949816,94,0.06490144562127864,54,0.08402124644730623
2022,base_k12,192,0.07219075782369669,0.05429985595484701,44,0.07544025857669354,94,0.06404745047810154,54,0.08216961771705567
2022,lag_k12_d2,192,0.0678677173397658,0.04823823199650581,44,0.07233345829581858,94,0.062111951178553525,54,0.07347227110654268
2022,lag_k16_d3,192,0.06725714007336119,0.048312873566276233,44,0.07311386998245081,94,0.06155524043330367,54,0.07163925147774174
2022,lag_k24_d2,192,0.07007598656633347,0.050006554890074974,44,0.07891590863712128,94,0.061181217213323764,54,0.07661455156071545
2022,hgb,192,0.06784319542104064,0.04851095063446239,44,0.059098730668773546,94,0.06148243996884103,54,0.08330140513130288
2023,base_k6,169,0.07540061015011228,0.05190044916367998,54,0.0812831746646292,48,0.08617529307955558,67,0.06078778269282936
2023,base_k8,169,0.07616221867194352,0.05241368834534056,54,0.08389935553848786,48,0.08584720412496974,67,0.06065025527418941
2023,base_k12,169,0.07621863049032147,0.05332861099158239,54,0.0872824851821533,48,0.08454465679462418,67,0.058244129371413864
2023,lag_k12_d2,169,0.07333175940968222,0.05073788137172592,54,0.0814441417375677,48,0.08626182059830016,67,0.05373269207201098
2023,lag_k16_d3,169,0.07164623276650431,0.04974751823762285,54,0.08095097067056288,48,0.08227749171912128,67,0.05307029118602599
2023,lag_k24_d2,169,0.07212795470780178,0.04963060081404219,54,0.08438395643233804,48,0.08225986028167832,67,0.05035643071822426
2023,hgb,169,0.07253456180939878,0.04628249939435155,54,0.08732651630212954,48,0.07769576360240664,67,0.05291437239756273
2024,base_k6,152,0.058346048106866236,0.041476639843198784,62,0.05705751147831426,51,0.04293943082789624,39,0.07537419391134358
2024,base_k8,152,0.05923181948845261,0.042563748165052644,62,0.05983099648330292,51,0.042574787361058505,39,0.07491712681432684
2024,base_k12,152,0.06045870772390639,0.043816876358910045,62,0.06246785712932349,51,0.04258048600006909,39,0.07531002038232477
2024,lag_k12_d2,152,0.058663511917686,0.042006289677862275,62,0.06054008136520276,51,0.04552682482073684,39,0.06982586199705004
2024,lag_k16_d3,152,0.05729233537701778,0.04112259978748164,62,0.058889200089026546,51,0.04357306495129866,39,0.06926078863943037
2024,lag_k24_d2,152,0.05711314658624462,0.04132299680474001,62,0.06115794724371746,51,0.03886500851293457,39,0.0692223020725959
2024,hgb,152,0.051247264518879586,0.03536609054892536,62,0.05257530671399454,51,0.031176821744280582,39,0.06760463478030417
