year,bd,robust,base,alpha,n,rmse,mae,facn
2019,4,median,lag,0.0,249,0.06450731545469175,0.045785213056398634,247
2019,4,median,lag,0.1,249,0.06393446692491035,0.04483544256523323,247
2019,4,median,lag,0.2,249,0.06408952627287855,0.04480158956064544,247
2019,4,median,lag,0.3,249,0.06496728174935218,0.045816470833368976,247
2019,4,median,lag,0.4,249,0.06653913901626332,0.047352914247458855,247
2019,4,median,lag,0.5,249,0.06875751120611996,0.04937029638512657,247
2019,4,median,lag,0.7,249,0.07488764256572956,0.05496252028557711,247
2019,4,median,lag,1.0,249,0.0873482800348869,0.06605504185495203,247
2019,4,median,lag,1.5,249,0.11343532862627516,0.0880601214839656,247
2019,4,median,base,0.0,249,0.06504498648921714,0.04715896372924984,247
2019,4,median,base,0.1,249,0.06404815835811083,0.04587417588078446,247
2019,4,median,base,0.2,249,0.06377234442810636,0.045052237778498705,247
2019,4,median,base,0.3,249,0.06422683428098107,0.044947670488714564,247
2019,4,median,base,0.4,249,0.06539640336260374,0.045687224280684585,247
2019,4,median,base,0.5,249,0.06724374994659596,0.04722834897688575,247
2019,4,median,base,0.7,249,0.07274663967797274,0.05203397681979802,247
2019,4,median,base,1.0,249,0.08454772985765448,0.06275459330225033,247
2019,4,median,base,1.5,249,0.1100483549126938,0.08465482541815093,247
2019,4,median,hgb,0.0,249,0.057749371318698485,0.03972701940527716,247
2019,4,median,hgb,0.1,249,0.05809581351471434,0.03974078973949579,247
2019,4,median,hgb,0.2,249,0.059234164223665745,0.04054483556910872,247
2019,4,median,hgb,0.3,249,0.061120192062232015,0.04222079666227798,247
2019,4,median,hgb,0.4,249,0.0636875069953303,0.04463903825452544,247
2019,4,median,hgb,0.5,249,0.06685767136196526,0.047929318952336035,247
2019,4,median,hgb,0.7,249,0.07468557139500052,0.05564477622367788,247
2019,4,median,hgb,1.0,249,0.08911022180361179,0.06877008516199049,247
2019,4,median,hgb,1.5,249,0.11724777233507655,0.0924834971987848,247
2019,4,trimmean,lag,0.0,249,0.06450731545469175,0.045785213056398634,247
2019,4,trimmean,lag,0.1,249,0.06400560688650847,0.04495287061659027,247
2019,4,trimmean,lag,0.2,249,0.06423105664796235,0.04499188257109341,247
2019,4,trimmean,lag,0.3,249,0.06517611926757823,0.04599342734132392,247
2019,4,trimmean,lag,0.4,249,0.0668102639338729,0.04782132734868315,247
