protocol,year,pbw,fbw,local,snorm,rmse,mae,n,seed
exact,2019,3,0,0.0,False,0.13892092359963007,0.10043572322835552,249,
exact,2019,7,0,0.0,False,0.13831744061910806,0.09999789345032431,249,
exact,2019,15,0,0.0,False,0.13991269293641154,0.10216972101614419,249,
exact,2019,7,3,0.0,False,0.13784952741569925,0.10402345284196032,249,
exact,2019,7,7,0.0,False,0.13859177994734886,0.10597084731593655,249,
exact,2019,7,0,0.25,False,0.11386126434387206,0.08156410406352939,249,
exact,2019,7,3,0.25,False,0.11459014935272901,0.08588582866953985,249,
exact,2019,7,7,0.25,False,0.11502925992427561,0.08734859060441692,249,
exact,2019,7,3,0.25,True,0.11687996954894325,0.08800496616470478,249,
exact,2020,3,0,0.0,False,0.13020442716696878,0.09147366549122801,222,
exact,2020,7,0,0.0,False,0.12823594866174243,0.09061853564245248,222,
exact,2020,15,0,0.0,False,0.12688650539361918,0.08986004959155128,222,
exact,2020,7,3,0.0,False,0.1302076199695413,0.09453059577056348,222,
exact,2020,7,7,0.0,False,0.1286702575049587,0.09401029181529817,222,
exact,2020,7,0,0.25,False,0.10455430751591845,0.07522332742047841,222,
exact,2020,7,3,0.25,False,0.1096622537832536,0.08176804981953253,222,
exact,2020,7,7,0.25,False,0.10827632138023803,0.0810394670058484,222,
exact,2020,7,3,0.25,True,0.11369041223203452,0.08637954312696744,222,
exact,2021,3,0,0.0,False,0.1284783577705313,0.09776900634310444,130,
exact,2021,7,0,0.0,False,0.12723721508273292,0.09702651008392632,130,
exact,2021,15,0,0.0,False,0.12598368593568915,0.09676071754236501,130,
exact,2021,7,3,0.0,False,0.1524011511600295,0.12020155785281113,130,
exact,2021,7,7,0.0,False,0.1546239922620748,0.12318682143689712,130,
exact,2021,7,0,0.25,False,0.1071163065975296,0.08261085345769155,130,
exact,2021,7,3,0.25,False,0.13766786325082925,0.10881749359389331,130,
exact,2021,7,7,0.25,False,0.13976760123886842,0.11126566562072035,130,
exact,2021,7,3,0.25,True,0.14691197104135115,0.11670017863988011,130,
exact,2022,3,0,0.0,False,0.1451311571504682,0.10772006720330456,192,
exact,2022,7,0,0.0,False,0.14364152802970123,0.10732133933489348,192,
exact,2022,15,0,0.0,False,0.14256913172246513,0.10774877358523101,192,
exact,2022,7,3,0.0,False,0.14514291500654308,0.10905197847199914,192,
exact,2022,7,7,0.0,False,0.1462641595254697,0.10964508784643685,192,
exact,2022,7,0,0.25,False,0.11460069419723004,0.08539426965819542,192,
exact,2022,7,3,0.25,False,0.11635054166903007,0.08757011375333523,192,
exact,2022,7,7,0.25,False,0.11705377898682227,0.08758313000688826,192,
exact,2022,7,3,0.25,True,0.12418593238143105,0.09484336121754593,192,
exact,2023,3,0,0.0,False,0.17771586521477137,0.12581138551696563,169,
exact,2023,7,0,0.0,False,0.17665823304851985,0.12634261702242558,169,
exact,2023,15,0,0.0,False,0.17695042854152543,0.12651034354288362,169,
exact,2023,7,3,0.0,False,0.17939663055234153,0.12951231781798686,169,
exact,2023,7,7,0.0,False,0.18087141218445887,0.13004790940828023,169,
exact,2023,7,0,0.25,False,0.14310579225855802,0.10146282921175977,169,
exact,2023,7,3,0.25,False,0.1465550178677093,0.10776088933544126,169,
exact,2023,7,7,0.25,False,0.14801291198384747,0.10823535294632916,169,
exact,2023,7,3,0.25,True,0.1529439096178713,0.11152453727530887,169,
exact,2024,3,0,0.0,False,0.11894176916607549,0.08734536908967132,152,
exact,2024,7,0,0.0,False,0.11720235880622495,0.08573331872577768,152,
exact,2024,15,0,0.0,False,0.11847784400068512,0.08662411281353624,152,
exact,2024,7,3,0.0,False,0.11162762995633176,0.08267878889506668,152,
