year,kind,n,rmse,mae
2019,default,249,0.06135445725257876,0.042632262305635
2019,regular,249,0.06064358942557547,0.042027219189007224
2019,wide,249,0.061281811117685214,0.04290695908377172
2020,default,222,0.051956877516219815,0.03553272616942482
2020,regular,222,0.05158037199528791,0.03567049653537658
2020,wide,222,0.05235058410609683,0.03670279768691727
2021,default,130,0.07795935665250524,0.055960957441879136
2021,regular,130,0.07657422468990974,0.05488903797473262
2021,wide,130,0.07662068250656108,0.055068363135761154
2022,default,192,0.06802577030420055,0.04844100269197359
2022,regular,192,0.06798397115929779,0.048592199942637686
2022,wide,192,0.0676479973117088,0.04829395795482888
2023,default,169,0.06944032776512635,0.046050397457191194
2023,regular,169,0.0696231605578741,0.04569270102469356
2023,wide,169,0.06830040694601043,0.045523911390140545
2024,default,152,0.050866790455184295,0.0335832465614425
2024,regular,152,0.05187176757801192,0.035566017166895954
2024,wide,152,0.051202755405536794,0.034968814464140824
