year,kernel,h,n,rmse
2019,tri,0.1,249,0.11906821317074012
2019,tri,0.2,249,0.11811114728284249
2019,tri,0.5,249,0.10163401568896853
2019,tri,1.0,249,0.10474391298136071
2019,gauss,0.1,249,0.10693522179335836
2019,gauss,0.2,249,0.09320590447072417
2019,gauss,0.5,249,0.12238678864642588
2019,gauss,1.0,249,0.16122083810890825
2020,tri,0.1,222,0.10096755788316568
2020,tri,0.2,222,0.09992678909303022
2020,tri,0.5,222,0.0866141386899645
2020,tri,1.0,222,0.09211751200481093
2020,gauss,0.1,222,0.0894519367187833
2020,gauss,0.2,222,0.07872222393540974
2020,gauss,0.5,222,0.10849434689833534
2020,gauss,1.0,222,0.14731414519243693
2021,tri,0.1,130,0.1211248957921235
2021,tri,0.2,130,0.12065040986332974
2021,tri,0.5,130,0.10820494220311917
2021,tri,1.0,130,0.1050398384992276
2021,gauss,0.1,130,0.10533575085176206
2021,gauss,0.2,130,0.10146538341764773
2021,gauss,0.5,130,0.11579992229855357
2021,gauss,1.0,130,0.15816695671289352
2022,tri,0.1,192,0.11151401968461241
2022,tri,0.2,192,0.1109811112729887
2022,tri,0.5,192,0.09944180600254375
2022,tri,1.0,192,0.10631516226565345
2022,gauss,0.1,192,0.10014805174012832
2022,gauss,0.2,192,0.09574868209171715
2022,gauss,0.5,192,0.12381516942244565
2022,gauss,1.0,192,0.15937419937002617
2023,tri,0.1,169,0.12704063581719174
2023,tri,0.2,169,0.12674101711936203
2023,tri,0.5,169,0.12084397116047459
2023,tri,1.0,169,0.12050147872121213
2023,gauss,0.1,169,0.11481615977850676
2023,gauss,0.2,169,0.10880394461177971
2023,gauss,0.5,169,0.14388254623790928
2023,gauss,1.0,169,0.18977626566964242
2024,tri,0.1,152,0.0905035638106032
2024,tri,0.2,152,0.08937035456625118
2024,tri,0.5,152,0.06822708932323256
2024,tri,1.0,152,0.08681697990683365
2024,gauss,0.1,152,0.07333451931246893
2024,gauss,0.2,152,0.0688801588662892
2024,gauss,0.5,152,0.10308756479420031
2024,gauss,1.0,152,0.14478322731955418
