config,learning_rate,max_leaf_nodes,min_samples_leaf,l2_regularization,max_iter,n_iter,outer_n,outer_rmse,outer_gap_score,released_gt_n,released_gt_rmse,released_gt_gap_score,fit_seconds
1,0.02,24,35,0.0,300,300,2644,0.06939123890709507,9.18,3112,0.07288865004491937,8.13,3.92
2,0.02,24,35,8.0,300,300,2644,0.06950963016851286,9.15,3112,0.07297512757860788,8.11,5.19
3,0.02,24,35,30.0,300,300,2644,0.06934576969189303,9.2,3112,0.07302809262820258,8.09,4.73
4,0.02,24,70,0.0,300,300,2644,0.06955383971549794,9.13,3112,0.07301737897701338,8.09,3.64
5,0.02,24,70,8.0,300,300,2644,0.06945831533848544,9.16,3112,0.07303645161085581,8.09,4.14
6,0.02,24,70,30.0,300,300,2644,0.06949154009958315,9.15,3112,0.07304721665002557,8.09,3.54
7,0.02,48,35,0.0,300,300,2644,0.06814334884296211,9.56,3112,0.07147280565349035,8.56,7.28
8,0.02,48,35,8.0,300,300,2644,0.06802244853196736,9.59,3112,0.07124060084492538,8.63,7.0
9,0.02,48,35,30.0,300,300,2644,0.06810968286282022,9.57,3112,0.07171879924190253,8.48,6.85
10,0.02,48,70,0.0,300,300,2644,0.06832016431144161,9.5,3112,0.07166877116077112,8.5,7.48
11,0.02,48,70,8.0,300,300,2644,0.06826471363671888,9.52,3112,0.07163175985615616,8.51,8.51
12,0.02,48,70,30.0,300,300,2644,0.06814423113690109,9.56,3112,0.07168069980509581,8.5,4.63
13,0.02,96,35,0.0,300,300,2644,0.06755489184894674,9.73,3112,0.0711813177137424,8.65,10.35
14,0.02,96,35,8.0,300,300,2644,0.0675118958311501,9.75,3112,0.070846354793169,8.75,9.37
15,0.02,96,35,30.0,300,300,2644,0.06766044139150375,9.7,3112,0.07099270517340713,8.7,10.93
16,0.02,96,70,0.0,300,300,2644,0.06773982386612282,9.68,3112,0.07108532950733128,8.67,10.16
17,0.02,96,70,8.0,300,300,2644,0.06780033725723959,9.66,3112,0.0712084949760472,8.64,11.38
18,0.02,96,70,30.0,300,300,2644,0.06774076953322525,9.68,3112,0.07111914487069577,8.66,10.06
19,0.035,24,35,0.0,300,300,2644,0.06834452027321233,9.5,3112,0.07180834196924292,8.46,3.71
20,0.035,24,35,8.0,300,300,2644,0.06822829129510946,9.53,3112,0.07182953840944677,8.45,3.08
21,0.035,24,35,30.0,300,300,2644,0.06810621529193915,9.57,3112,0.07177696197719423,8.47,4.4
22,0.035,24,70,0.0,300,300,2644,0.0680688281466895,9.58,3112,0.07162734644786287,8.51,4.61
23,0.035,24,70,8.0,300,300,2644,0.06812295020271805,9.56,3112,0.07167232268934771,8.5,4.95
24,0.035,24,70,30.0,300,300,2644,0.06810000144066601,9.57,3112,0.07183748327108021,8.45,4.02
25,0.035,48,35,0.0,300,300,2644,0.06710253898195298,9.87,3112,0.07040000160748328,8.88,7.72
26,0.035,48,35,8.0,300,300,2644,0.06703006058849609,9.89,3112,0.07069893096925368,8.79,6.63
27,0.035,48,35,30.0,300,300,2644,0.06690684484096057,9.93,3112,0.07070235772824578,8.79,6.96
28,0.035,48,70,0.0,300,300,2644,0.06709131663857133,9.87,3112,0.07048457470812687,8.85,6.54
29,0.035,48,70,8.0,300,300,2644,0.06688506922019678,9.93,3112,0.07067993459703774,8.8,5.56
30,0.035,48,70,30.0,300,300,2644,0.06694551885731134,9.92,3112,0.070550154343955,8.83,5.82
31,0.035,96,35,0.0,300,300,2644,0.06648741190401339,10.05,3112,0.0704053825426008,8.88,9.77
32,0.035,96,35,8.0,300,300,2644,0.06681078170535326,9.96,3112,0.0700295739486845,8.99,6.83
33,0.035,96,35,30.0,300,300,2644,0.06671042328296002,9.99,3112,0.07014458117897468,8.96,7.43
34,0.035,96,70,0.0,300,300,2644,0.06701740211427967,9.89,3112,0.07026099902977237,8.92,10.51
35,0.035,96,70,8.0,300,300,2644,0.066704810246156,9.99,3112,0.06994705405287695,9.02,10.01
36,0.035,96,70,30.0,300,300,2644,0.06690553475541837,9.93,3112,0.06999254970000168,9.0,10.5
37,0.07,24,35,0.0,300,300,2644,0.06748778058246761,9.75,3112,0.07092708878399258,8.72,4.55
38,0.07,24,35,8.0,300,300,2644,0.06712707253779268,9.86,3112,0.07074360113432984,8.78,2.69
39,0.07,24,35,30.0,300,300,2644,0.06707635769025437,9.88,3112,0.07084571249745662,8.75,2.66
40,0.07,24,70,0.0,300,300,2644,0.06728586174615163,9.81,3112,0.07057465447527385,8.83,2.49
41,0.07,24,70,8.0,300,300,2644,0.0671838528753074,9.84,3112,0.07072496382140656,8.78,2.58
42,0.07,24,70,30.0,300,300,2644,0.06687755797395542,9.94,3112,0.07082086136956095,8.75,2.87
43,0.07,48,35,0.0,300,300,2644,0.06651018628873417,10.05,3112,0.0699200949119316,9.02,3.91
44,0.07,48,35,8.0,300,300,2644,0.06656025352543851,10.03,3112,0.06996544368723874,9.01,3.86
45,0.07,48,35,30.0,300,300,2644,0.06654127810323276,10.04,3112,0.07023146701735968,8.93,4.01
46,0.07,48,70,0.0,300,300,2644,0.06689343012285891,9.93,3112,0.07071298560536668,8.79,3.67
47,0.07,48,70,8.0,300,300,2644,0.06614310250133426,10.16,3112,0.07003053721609104,8.99,3.65
48,0.07,48,70,30.0,300,300,2644,0.06617616978287423,10.15,3112,0.0704094717571292,8.88,3.82
49,0.07,96,35,0.0,300,300,2644,0.066343716818495,10.1,3112,0.07047247552819172,8.86,5.79
50,0.07,96,35,8.0,300,300,2644,0.06610033601849931,10.17,3112,0.07018597254095842,8.94,6.24
51,0.07,96,35,30.0,300,300,2644,0.06637191896081371,10.09,3112,0.07002347416096578,8.99,7.96
52,0.07,96,70,0.0,300,300,2644,0.06679243444379686,9.96,3112,0.06993460621058886,9.02,7.12
53,0.07,96,70,8.0,300,300,2644,0.06703141331519191,9.89,3112,0.07012325531130059,8.96,8.87
54,0.07,96,70,30.0,300,300,2644,0.06625050740726708,10.12,3112,0.07016245527763645,8.95,9.0
