split,dimension,group,n,rmse
outer,cohort,new,2267,0.06785157790835812
outer,cohort,shared,377,0.054393474191174684
outer,year,2010,74,0.06132281013502956
outer,year,2011,82,0.06578723326176905
outer,year,2012,58,0.095195146537344
outer,year,2013,78,0.07072278821859002
outer,year,2014,95,0.05551069925067691
outer,year,2015,92,0.0771372651612167
outer,year,2016,88,0.09385651827388675
outer,year,2017,140,0.05931147382817682
outer,year,2018,122,0.06036894675672608
outer,year,2019,185,0.08075847452008514
outer,year,2020,190,0.061858131017428056
outer,year,2021,161,0.093858773202354
outer,year,2022,165,0.06272455251842259
outer,year,2023,185,0.06199693785584027
outer,year,2024,173,0.05119880932353715
outer,year,2025,756,0.05498084533748594
outer,source,landsat,986,0.06487688256397373
outer,source,modis,462,0.06639569105149154
outer,source,s2,1196,0.06697944188238966
outer,distance,<=2,2644,0.06610033601849931
outer,cohort_period,new2025,379,0.05555895660093708
outer,cohort_period,newhistory,1888,0.0700597555007863
outer,cohort_period,shared2025,377,0.054393474191174684
released_gt,cohort,new,2648,0.07191489647566146
released_gt,cohort,shared,464,0.05936321506007071
released_gt,year,2010,81,0.060078296188426035
released_gt,year,2011,96,0.07831120979160813
released_gt,year,2012,73,0.0926871091512858
released_gt,year,2013,108,0.07969500889536922
released_gt,year,2014,107,0.043673762488230614
released_gt,year,2015,102,0.07259916321917335
released_gt,year,2016,123,0.0837148041179677
released_gt,year,2017,155,0.05863841361752684
released_gt,year,2018,123,0.061133457228435
released_gt,year,2019,218,0.07208563286298152
released_gt,year,2020,215,0.10666749689813385
released_gt,year,2021,171,0.07129416502938385
released_gt,year,2022,195,0.06595972004609899
released_gt,year,2023,203,0.062560573506297
released_gt,year,2024,217,0.05849435651062183
released_gt,year,2025,925,0.06329514058151789
released_gt,source,masked_unknown,3112,0.07018597254095842
released_gt,distance,<=2,3112,0.07018597254095842
released_gt,cohort_period,new2025,461,0.0670201226846224
released_gt,cohort_period,newhistory,2187,0.07290474564663317
released_gt,cohort_period,shared2025,464,0.05936321506007071
