slice,value,n,candidate_rmse,pair08_rmse,delta
seed,0,2644,0.06899373,0.06923533,-0.00024160
seed,1,2644,0.06139289,0.06140342,-0.00001052
seed,2,2644,0.06382413,0.06400231,-0.00017818
seed,70404,2644,0.06661940,0.06667552,-0.00005612
cohort,new,9068,0.06749597,0.06764400,-0.00014803
cohort,shared,1508,0.04983371,0.04976921,0.00006449
year,2010,296,0.05159640,0.05116390,0.00043251
year,2011,328,0.07134099,0.07182879,-0.00048781
year,2012,232,0.07216544,0.07283507,-0.00066963
year,2013,312,0.07137778,0.07178511,-0.00040733
year,2014,380,0.04818164,0.04904065,-0.00085901
year,2015,368,0.09780932,0.09817653,-0.00036721
year,2016,352,0.08316879,0.08320732,-0.00003853
year,2017,560,0.05253545,0.05284958,-0.00031413
year,2018,488,0.05201019,0.05196067,0.00004953
year,2019,740,0.07380390,0.07452795,-0.00072404
year,2020,760,0.05929832,0.05946062,-0.00016230
year,2021,644,0.07735176,0.07715125,0.00020052
year,2022,660,0.06555705,0.06607207,-0.00051502
year,2023,740,0.05624529,0.05730296,-0.00105766
year,2024,692,0.04738122,0.04734317,0.00003804
year,2025,3024,0.06508626,0.06467711,0.00040915
true_src,landsat,4065,0.06832064,0.06839485,-0.00007421
true_src,modis,1818,0.06323126,0.06377337,-0.00054212
true_src,s2,4693,0.06331483,0.06332375,-0.00000892
distance,0-2,6890,0.06349566,0.06350578,-0.00001012
distance,3-4,1248,0.06457157,0.06491996,-0.00034839
distance,5-8,463,0.08069647,0.08065178,0.00004469
distance,9+,1975,0.06772676,0.06813633,-0.00040957
