slice,n,rmse,pair08_rmse,delta
cohort=new,9068,0.06758516446060137,0.06764399600385852,-5.883154325715678e-05
cohort=shared,1508,0.04986439075974763,0.04976921404189057,9.517671785705395e-05
year=2010,296,0.05160925911428331,0.05116389770818375,0.000445361406099562
year=2011,328,0.07139500914289894,0.071828792085148,-0.0004337829422490641
year=2012,232,0.0720496447131159,0.07283506547703479,-0.0007854207639188954
year=2013,312,0.07136790646698554,0.0717851078472406,-0.0004172013802550556
year=2014,380,0.0482299700270487,0.049040647815069206,-0.0008106777880205057
year=2015,368,0.09782544028268586,0.09817653010140284,-0.00035108981871698197
year=2016,352,0.08298386124275678,0.08320731781680456,-0.0002234565740477784
year=2017,560,0.052341565876787045,0.05284958200627933,-0.000508016129492285
year=2018,488,0.051841443999849995,0.051960669176104715,-0.00011922517625471973
year=2019,740,0.07411548280959097,0.07452794759310609,-0.0004124647835151152
year=2020,760,0.05965987855381385,0.05946061612649181,0.00019926242732203753
year=2021,644,0.07772456848532604,0.07715124554396455,0.0005733229413614899
year=2022,660,0.06549594068950956,0.06607206866409177,-0.0005761279745822023
year=2023,740,0.056233119390725866,0.0573029557897141,-0.001069836398988236
year=2024,692,0.04741082674965321,0.047343170883490264,6.765586616294672e-05
year=2025,3024,0.06519646311156174,0.0646771089716246,0.0005193541399371449
true_src=landsat,4065,0.0684642053843081,0.06839484990180478,6.935548250332213e-05
true_src=modis,1818,0.06286045126280228,0.06377337474837003,-0.0009129234855677487
true_src=s2,4693,0.06351484278454046,0.06332375404814876,0.00019108873639170354
distbin=r0-2,6890,0.06355741241715494,0.06350578004529386,5.1632371861079496e-05
distbin=r3-4,1248,0.06464677590336058,0.0649199583463963,-0.00027318244303571604
distbin=r5-8,463,0.08099066717831993,0.08065178133239613,0.00033888584592380033
distbin=r9+,1298,0.059818927066782004,0.06036890957582938,-0.0005499825090473781
distbin=nan,677,0.08098527472557937,0.08097099713679475,1.4277588784625261e-05
