comp,model,weight,rmse,coverage,rmse_0,rmse_1,rmse_2,rmse_70404
pair08,sq_clip,0.1500000000,0.0653023066,0.7861195159,0.0690320195,0.0613526057,0.0640134210,0.0665603859
pair08,sq_wide,0.1500000000,0.0653058747,0.7861195159,0.0690552413,0.0613042911,0.0640241729,0.0665844720
pair08,sq_regular,0.1500000000,0.0653092267,0.7861195159,0.0690794450,0.0612909693,0.0640210633,0.0665877703
pair08,sq_clip,0.1000000000,0.0653096107,0.7861195159,0.0690720587,0.0613367049,0.0640047535,0.0665705030
pair08,sq_wide,0.1000000000,0.0653112044,0.7861195159,0.0690870717,0.0613025993,0.0640118592,0.0665857599
pair08,sq_regular,0.1000000000,0.0653137002,0.7861195159,0.0691034005,0.0612943374,0.0640099040,0.0665880931
pair08,sq_clip,0.0800000000,0.0653191086,0.7861195159,0.0690958503,0.0613395420,0.0640026764,0.0665824695
pair08,sq_wide,0.0800000000,0.0653201323,0.7861195159,0.0691077097,0.0613116550,0.0640083409,0.0665944175
pair08,sq_regular,0.0800000000,0.0653222122,0.7861195159,0.0691208328,0.0613052447,0.0640068146,0.0665963268
pair08,sq_clip,0.0500000000,0.0653403967,0.7861195159,0.0691398553,0.0613536508,0.0640010502,0.0666088979
pair08,sq_wide,0.0500000000,0.0653408010,0.7861195159,0.0691471250,0.0613356597,0.0640045716,0.0666161231
pair08,sq_regular,0.0500000000,0.0653421789,0.7861195159,0.0691553824,0.0613318406,0.0640036531,0.0666173563
pair08,sq_clip,0.0300000000,0.0653592794,0.7861195159,0.0691747289,0.0613696219,0.0640009591,0.0666321639
pair08,sq_wide,0.0300000000,0.0653594278,0.7861195159,0.0691790335,0.0613586038,0.0640030643,0.0666364018
pair08,sq_regular,0.0300000000,0.0653602857,0.7861195159,0.0691840096,0.0613563875,0.0640025274,0.0666371576
pair08,sq_clip,0.0200000000,0.0653701268,0.7861195159,0.0691938243,0.0613795756,0.0640012114,0.0666454894
pair08,sq_wide,0.0200000000,0.0653701944,0.7861195159,0.0691966749,0.0613721561,0.0640026124,0.0666482822
pair08,sq_regular,0.0200000000,0.0653707766,0.7861195159,0.0691999994,0.0613707036,0.0640022592,0.0666487913
pair08,sq_clip,0.0100000000,0.0653819110,0.7861195159,0.0692140242,0.0613908406,0.0640016624,0.0666599422
pair08,sq_wide,0.0100000000,0.0653819291,0.7861195159,0.0692154399,0.0613870938,0.0640023616,0.0666613224
pair08,sq_regular,0.0100000000,0.0653822254,0.7861195159,0.0692171058,0.0613863802,0.0640021873,0.0666615796
pair08,abs_regular,0.0100000000,0.0653938075,0.7861195159,0.0692327355,0.0614036847,0.0640021029,0.0666749347
pair08,abs_regular,0.0200000000,0.0653940532,0.7861195159,0.0692313488,0.0614054350,0.0640021321,0.0666756982
pair08,abs_regular,0.0300000000,0.0653953682,0.7861195159,0.0692311676,0.0614086671,0.0640023993,0.0666778124
pair08,abs_regular,0.0500000000,0.0654012064,0.7861195159,0.0692344220,0.0614195753,0.0640036479,0.0666860919
pair08,abs_regular,0.0800000000,0.0654179813,0.7861195159,0.0692483433,0.0614470410,0.0640073063,0.0667086347
pair08,abs_regular,0.1000000000,0.0654345064,0.7861195159,0.0692636479,0.0614727461,0.0640109353,0.0667304069
base25,sq_clip,0.1500000000,0.0654675503,0.7861195159,0.0692298235,0.0615104274,0.0642812774,0.0666004266
base25,sq_wide,0.1500000000,0.0654691886,0.7861195159,0.0692489042,0.0614603450,0.0642906833,0.0666241841
base25,sq_regular,0.1500000000,0.0654742169,0.7861195159,0.0692754640,0.0614512779,0.0642883039,0.0666269978
base25,sq_clip,0.1000000000,0.0654784057,0.7861195159,0.0692792511,0.0615030432,0.0642714722,0.0666079977
base25,sq_wide,0.1000000000,0.0654786396,0.7861195159,0.0692913447,0.0614676946,0.0642776296,0.0666230244
base25,sq_regular,0.1000000000,0.0654823181,0.7861195159,0.0693093353,0.0614624338,0.0642761891,0.0666250156
base25,sq_wide,0.0800000000,0.0654891498,0.7861195159,0.0693161788,0.0614803358,0.0642737931,0.0666305498
base25,sq_clip,0.0800000000,0.0654892373,0.7861195159,0.0693067054,0.0615092376,0.0642689035,0.0666187896
base25,sq_regular,0.0800000000,0.0654921967,0.7861195159,0.0693306605,0.0614763787,0.0642726874,0.0666321794
pair08,abs_regular,0.1500000000,0.0654944905,0.7861195159,0.0693229676,0.0615628328,0.0640241723,0.0668083999
base25,sq_wide,0.0500000000,0.0655121205,0.7861195159,0.0693618348,0.0615096827,0.0642695227,0.0666503937
base25,sq_clip,0.0500000000,0.0655124324,0.7861195159,0.0693561033,0.0615283270,0.0642665009,0.0666432891
base25,sq_regular,0.0500000000,0.0655141220,0.7861195159,0.0693709683,0.0615074454,0.0642688754,0.0666514465
base25,sq_wide,0.0300000000,0.0655322338,0.7861195159,0.0693978667,0.0615361628,0.0642676655,0.0666693228
base25,sq_clip,0.0300000000,0.0655325238,0.7861195159,0.0693945037,0.0615475802,0.0642658661,0.0666651586
base25,sq_regular,0.0300000000,0.0655334735,0.7861195159,0.0694033793,0.0615349149,0.0642672946,0.0666699681
base25,sq_wide,0.0200000000,0.0655437291,0.7861195159,0.0694175585,0.0615514750,0.0642670339,0.0666804960
