comp,model,weight,slice,value,n,coverage,base_rmse,rmse,delta
base25,abs_regular,0.0200000000,cohort,new,9068,0.7863917071,0.0678397704,0.0678432580,0.0000034875
base25,abs_regular,0.0200000000,cohort,shared,1508,0.7844827586,0.0497813064,0.0497422212,-0.0000390852
base25,abs_regular,0.0200000000,year,2010,296,0.7939189189,0.0508861612,0.0508752450,-0.0000109161
base25,abs_regular,0.0200000000,year,2011,328,0.7896341463,0.0722659909,0.0722639609,-0.0000020300
base25,abs_regular,0.0200000000,year,2012,232,0.7758620690,0.0730587121,0.0729759580,-0.0000827541
base25,abs_regular,0.0200000000,year,2013,312,0.7852564103,0.0720466045,0.0719683146,-0.0000782899
base25,abs_regular,0.0200000000,year,2014,380,0.7868421053,0.0500493126,0.0500738686,0.0000245560
base25,abs_regular,0.0200000000,year,2015,368,0.7853260870,0.0985528554,0.0985566275,0.0000037722
base25,abs_regular,0.0200000000,year,2016,352,0.7982954545,0.0834401073,0.0834048391,-0.0000352682
base25,abs_regular,0.0200000000,year,2017,560,0.7821428571,0.0531707155,0.0531796375,0.0000089219
base25,abs_regular,0.0200000000,year,2018,488,0.7889344262,0.0522673543,0.0522401591,-0.0000271952
base25,abs_regular,0.0200000000,year,2019,740,0.7837837838,0.0748053385,0.0748586618,0.0000533233
base25,abs_regular,0.0200000000,year,2020,760,0.7842105263,0.0598294759,0.0598948276,0.0000653517
base25,abs_regular,0.0200000000,year,2021,644,0.7903726708,0.0769642650,0.0770236134,0.0000593485
base25,abs_regular,0.0200000000,year,2022,660,0.7772727273,0.0661833869,0.0661437770,-0.0000396099
base25,abs_regular,0.0200000000,year,2023,740,0.7864864865,0.0580966580,0.0580187254,-0.0000779326
base25,abs_regular,0.0200000000,year,2024,692,0.7919075145,0.0473774853,0.0473647940,-0.0000126913
base25,abs_regular,0.0200000000,year,2025,3024,0.7853835979,0.0646053141,0.0646056745,0.0000003605
base25,abs_regular,0.0200000000,true_src,landsat,4065,0.7854858549,0.0685315079,0.0685315881,0.0000000803
base25,abs_regular,0.0200000000,true_src,modis,1818,0.7964796480,0.0643268632,0.0642589291,-0.0000679341
base25,abs_regular,0.0200000000,true_src,s2,4693,0.7826550181,0.0633866023,0.0634105683,0.0000239660
base25,sq_clip,0.1500000000,cohort,new,9068,0.7863917071,0.0678397704,0.0677657221,-0.0000740483
base25,sq_clip,0.1500000000,cohort,shared,1508,0.7844827586,0.0497813064,0.0494447321,-0.0003365742
base25,sq_clip,0.1500000000,year,2010,296,0.7939189189,0.0508861612,0.0506802963,-0.0002058649
base25,sq_clip,0.1500000000,year,2011,328,0.7896341463,0.0722659909,0.0722146214,-0.0000513695
base25,sq_clip,0.1500000000,year,2012,232,0.7758620690,0.0730587121,0.0726359487,-0.0004227634
base25,sq_clip,0.1500000000,year,2013,312,0.7852564103,0.0720466045,0.0716676287,-0.0003789758
base25,sq_clip,0.1500000000,year,2014,380,0.7868421053,0.0500493126,0.0500381969,-0.0000111158
base25,sq_clip,0.1500000000,year,2015,368,0.7853260870,0.0985528554,0.0986587618,0.0001059064
base25,sq_clip,0.1500000000,year,2016,352,0.7982954545,0.0834401073,0.0830958051,-0.0003443022
base25,sq_clip,0.1500000000,year,2017,560,0.7821428571,0.0531707155,0.0529359381,-0.0002347774
base25,sq_clip,0.1500000000,year,2018,488,0.7889344262,0.0522673543,0.0520631467,-0.0002042076
base25,sq_clip,0.1500000000,year,2019,740,0.7837837838,0.0748053385,0.0747537072,-0.0000516314
base25,sq_clip,0.1500000000,year,2020,760,0.7842105263,0.0598294759,0.0599177702,0.0000882943
base25,sq_clip,0.1500000000,year,2021,644,0.7903726708,0.0769642650,0.0771567800,0.0001925150
base25,sq_clip,0.1500000000,year,2022,660,0.7772727273,0.0661833869,0.0656008100,-0.0005825769
base25,sq_clip,0.1500000000,year,2023,740,0.7864864865,0.0580966580,0.0575743810,-0.0005222770
base25,sq_clip,0.1500000000,year,2024,692,0.7919075145,0.0473774853,0.0471854015,-0.0001920838
base25,sq_clip,0.1500000000,year,2025,3024,0.7853835979,0.0646053141,0.0646622907,0.0000569766
base25,sq_clip,0.1500000000,true_src,landsat,4065,0.7854858549,0.0685315079,0.0685338863,0.0000023784
base25,sq_clip,0.1500000000,true_src,modis,1818,0.7964796480,0.0643268632,0.0637608541,-0.0005660091
base25,sq_clip,0.1500000000,true_src,s2,4693,0.7826550181,0.0633866023,0.0633682116,-0.0000183907
base25,sq_regular,0.1500000000,cohort,new,9068,0.7863917071,0.0678397704,0.0677666558,-0.0000731146
base25,sq_regular,0.1500000000,cohort,shared,1508,0.7844827586,0.0497813064,0.0494989168,-0.0002823895
base25,sq_regular,0.1500000000,year,2010,296,0.7939189189,0.0508861612,0.0504913463,-0.0003948148
base25,sq_regular,0.1500000000,year,2011,328,0.7896341463,0.0722659909,0.0722030591,-0.0000629318
base25,sq_regular,0.1500000000,year,2012,232,0.7758620690,0.0730587121,0.0726801256,-0.0003785865
base25,sq_regular,0.1500000000,year,2013,312,0.7852564103,0.0720466045,0.0716860508,-0.0003605537
base25,sq_regular,0.1500000000,year,2014,380,0.7868421053,0.0500493126,0.0501415546,0.0000922420
base25,sq_regular,0.1500000000,year,2015,368,0.7853260870,0.0985528554,0.0988223778,0.0002695225
base25,sq_regular,0.1500000000,year,2016,352,0.7982954545,0.0834401073,0.0830295609,-0.0004105464
base25,sq_regular,0.1500000000,year,2017,560,0.7821428571,0.0531707155,0.0528516217,-0.0003190939
base25,sq_regular,0.1500000000,year,2018,488,0.7889344262,0.0522673543,0.0521458064,-0.0001215479
base25,sq_regular,0.1500000000,year,2019,740,0.7837837838,0.0748053385,0.0747159365,-0.0000894020
base25,sq_regular,0.1500000000,year,2020,760,0.7842105263,0.0598294759,0.0599864795,0.0001570037
base25,sq_regular,0.1500000000,year,2021,644,0.7903726708,0.0769642650,0.0771200884,0.0001558234
base25,sq_regular,0.1500000000,year,2022,660,0.7772727273,0.0661833869,0.0655753347,-0.0006080523
base25,sq_regular,0.1500000000,year,2023,740,0.7864864865,0.0580966580,0.0575863722,-0.0005102857
base25,sq_regular,0.1500000000,year,2024,692,0.7919075145,0.0473774853,0.0471537216,-0.0002237636
base25,sq_regular,0.1500000000,year,2025,3024,0.7853835979,0.0646053141,0.0646796218,0.0000743077
base25,sq_regular,0.1500000000,true_src,landsat,4065,0.7854858549,0.0685315079,0.0685678021,0.0000362942
base25,sq_regular,0.1500000000,true_src,modis,1818,0.7964796480,0.0643268632,0.0637318746,-0.0005949886
base25,sq_regular,0.1500000000,true_src,s2,4693,0.7826550181,0.0633866023,0.0633632468,-0.0000233555
base25,sq_wide,0.1500000000,cohort,new,9068,0.7863917071,0.0678397704,0.0677716656,-0.0000681048
base25,sq_wide,0.1500000000,cohort,shared,1508,0.7844827586,0.0497813064,0.0494109485,-0.0003703578
base25,sq_wide,0.1500000000,year,2010,296,0.7939189189,0.0508861612,0.0504890149,-0.0003971462
base25,sq_wide,0.1500000000,year,2011,328,0.7896341463,0.0722659909,0.0723107445,0.0000447536
base25,sq_wide,0.1500000000,year,2012,232,0.7758620690,0.0730587121,0.0726838285,-0.0003748836
base25,sq_wide,0.1500000000,year,2013,312,0.7852564103,0.0720466045,0.0716060609,-0.0004405436
base25,sq_wide,0.1500000000,year,2014,380,0.7868421053,0.0500493126,0.0501342252,0.0000849126
base25,sq_wide,0.1500000000,year,2015,368,0.7853260870,0.0985528554,0.0989122801,0.0003594247
