method,n,rmse,mae
tricube_14,1114,0.07035494064203691,0.05037800296297212
gauss_5,1114,0.0704918715220192,0.050237166293932135
gauss_7,1114,0.07081551812466429,0.05104736753719565
laplace_4,1114,0.07118545455392257,0.050704865590274734
laplace_5,1114,0.07126837543815304,0.051123826854172515
gauss_4,1114,0.07127316047702147,0.050422226077416234
tricube_21,1114,0.07155706758541468,0.05184743875328136
laplace_3,1114,0.07191829562659635,0.05079841787045369
tricube_10,1114,0.07246774482568857,0.05080659352887133
laplace_7,1114,0.07282323897020242,0.052751078120730134
gauss_10,1114,0.07355862163130214,0.05344736230159809
laplace_2,1114,0.0740243597948257,0.051690436619484595
gauss_3,1114,0.0745636634277249,0.05149551418498435
tricube_7,1114,0.07474423457772901,0.05189524837275203
inv_2,1114,0.07552235060946254,0.0538536381926968
inv_3,1114,0.07622256721079013,0.05474344223612662
tricube_30,1114,0.07657818726610187,0.05572613403814603
laplace_10,1114,0.07693380803080092,0.055842045625619195
inv_4,1114,0.07716587545910618,0.05573861549621396
gauss_2,1114,0.07816422332506646,0.05332724497524571
inv_5,1114,0.07845540846518993,0.056940068854048405
tricube_5,1114,0.07918799430113334,0.05400585007740297
gauss_14,1114,0.07959186671499457,0.05804933720123932
tricube_4,1114,0.08113756791358961,0.05517990435704304
inv_7,1114,0.0812733069550897,0.05940545334411056
laplace_14,1114,0.0830895438743842,0.06086014479706593
tricube_3,1114,0.08385816725273681,0.057126143117288836
tricube_2,1114,0.08518320944522503,0.058229322138695236
inv_10,1114,0.08532257113155382,0.06271309687550633
tricube_45,1114,0.08736834719069346,0.06422693574561789
inv_14,1114,0.09058557933937327,0.06693064803166043
gauss_21,1114,0.09115400896093069,0.06711022288913591
laplace_21,1114,0.09397037885369708,0.0692696233429398
inv_21,1114,0.09839223868460367,0.07294472611890591
tricube_60,1114,0.09877766905071761,0.07286923957275354
gauss_30,1114,0.10547941254703491,0.0779497945904727
laplace_30,1114,0.10551357080891534,0.07826134815170514
inv_30,1114,0.10629424604335638,0.07910249957844812
inv_45,1114,0.1160109913216013,0.086575610563205
tricube_90,1114,0.11850933947983418,0.08792936643726734
laplace_45,1114,0.11981747048402079,0.08960602980542774
inv_60,1114,0.12323012621385089,0.09231116215823576
gauss_45,1114,0.1240355804073231,0.09269570804513308
laplace_60,1114,0.12956195514704125,0.09752797991774861
inv_90,1114,0.13318835654555952,0.10046804020337363
gauss_60,1114,0.13707224433664852,0.10366133976921967
laplace_90,1114,0.14173645489736758,0.10766823011387369
gauss_90,1114,0.15388568983079057,0.11836395439746358
