kernel,h,alpha,rmse,base_rmse,delta
tri,0.05,0.05,0.06184071677496091,0.06160920400908421,0.00023151276587669856
tri,0.05,0.1,0.06220974184950137,0.06160920400908421,0.0006005378404171577
tri,0.05,0.15,0.06271385180209367,0.06160920400908421,0.001104647793009457
tri,0.1,0.05,0.061944482798297694,0.06160920400908421,0.00033527878921348064
tri,0.1,0.1,0.06244314735299276,0.06160920400908421,0.0008339433439085442
tri,0.1,0.15,0.06310132427477144,0.06160920400908421,0.0014921202656872287
tri,0.2,0.05,0.06218676490324035,0.06160920400908421,0.0005775608941561358
tri,0.2,0.1,0.06311008771278771,0.06160920400908421,0.0015008837037034997
tri,0.2,0.15,0.06436429401918098,0.06160920400908421,0.0027550900100967654
gauss,0.05,0.05,0.06198771904277044,0.06160920400908421,0.00037851503368622336
gauss,0.05,0.1,0.06255332367989641,0.06160920400908421,0.0009441196708121977
gauss,0.05,0.15,0.06330100309207026,0.06160920400908421,0.0016917990829860494
gauss,0.1,0.05,0.06225169040234682,0.06160920400908421,0.0006424863932626076
gauss,0.1,0.1,0.06330371164076838,0.06160920400908421,0.0016945076316841681
gauss,0.1,0.15,0.06474530768539682,0.06160920400908421,0.0031361036763126113
gauss,0.2,0.05,0.06254361349078986,0.06160920400908421,0.0009344094817056517
gauss,0.2,0.1,0.06430398793233116,0.06160920400908421,0.0026947839232469503
gauss,0.2,0.15,0.06682508395192034,0.06160920400908421,0.005215879942836128
