method,n,rmse,mae,cohort
factor_bw32_mean_sh1.5,2644,0.16073269920581573,0.11143921647947404,all
factor_bw32_mean_sh1.5,2267,0.1624114782132808,0.11236730006887781,new
factor_bw32_mean_sh1.5,377,0.15024273635953914,0.10585840614213089,shared
factor_bw32_mean_sh1.5,1888,0.16284670690143524,0.11489626804078662,history
factor_bw32_mean_sh1.5,756,0.155327675775207,0.10280573321524371,2025
factor_bw32_mean_sh1.5,1888,0.16284670690143524,0.11489626804078662,new_history
factor_bw32_mean_sh1.5,379,0.1602257606792525,0.09976916938031895,new_2025
factor_bw32_mean_sh1.5,377,0.15024273635953914,0.10585840614213089,shared_2025
factor_bw32_mean_sh0.15,2644,0.16089748212314334,0.11221508784594966,all
factor_bw32_mean_sh0.15,2267,0.16257481252039332,0.11317049843642224,new
factor_bw32_mean_sh0.15,377,0.15041736731937266,0.10646995307512366,shared
factor_bw32_mean_sh0.15,1888,0.1631744236899816,0.11590354657538263,history
factor_bw32_mean_sh0.15,756,0.15506521166408405,0.10300369884969375,2025
factor_bw32_mean_sh0.15,1888,0.1631744236899816,0.11590354657538263,new_history
factor_bw32_mean_sh0.15,379,0.15955426290157185,0.09955573620328982,new_2025
factor_bw32_mean_sh0.15,377,0.15041736731937266,0.10646995307512366,shared_2025
factor_bw32_trim_sh1.5,2644,0.1612009627701582,0.11124226052266091,all
factor_bw32_trim_sh1.5,2267,0.16291884899383058,0.11217338763199508,new
factor_bw32_trim_sh1.5,377,0.15045783466880217,0.10564314870074963,shared
factor_bw32_trim_sh1.5,1888,0.1634582539905521,0.1147218922574676,history
factor_bw32_trim_sh1.5,756,0.1554206008116751,0.10255238656060406,2025
factor_bw32_trim_sh1.5,1888,0.1634582539905521,0.1147218922574676,new_history
factor_bw32_trim_sh1.5,379,0.16020473067116886,0.09947793451090775,new_2025
factor_bw32_trim_sh1.5,377,0.15045783466880217,0.10564314870074963,shared_2025
factor_bw32_mean_sh0.0,2644,0.16122313573544336,0.11264978050405748,all
factor_bw32_mean_sh0.0,2267,0.1629330573430584,0.1136509615407487,new
factor_bw32_mean_sh0.0,377,0.150531917571481,0.10662941602082408,shared
factor_bw32_mean_sh0.0,1888,0.16350036692181144,0.11635284155141033,history
factor_bw32_mean_sh0.0,756,0.15539041009504065,0.10340192434347258,2025
factor_bw32_mean_sh0.0,1888,0.16350036692181144,0.11635284155141033,new_history
factor_bw32_mean_sh0.0,379,0.1600770361634468,0.10019146428447123,new_2025
factor_bw32_mean_sh0.0,377,0.150531917571481,0.10662941602082408,shared_2025
factor_bw32_trim_sh0.15,2644,0.16140278471260133,0.1116093039696132,all
factor_bw32_trim_sh0.15,2267,0.16316729991412077,0.11257755448308832,new
factor_bw32_trim_sh0.15,377,0.1503562776049645,0.10578695937001609,shared
factor_bw32_trim_sh0.15,1888,0.1639114731914974,0.11527033270309005,history
factor_bw32_trim_sh0.15,756,0.15496043886334945,0.10246641739712072,2025
factor_bw32_trim_sh0.15,1888,0.1639114731914974,0.11527033270309005,new_history
