method,n,rmse,mae
factor_bw32_mean_sh1.5,2644,0.16073269920581573,0.11143921647947404
factor_bw32_mean_sh0.15,2644,0.16089748212314334,0.11221508784594966
factor_bw32_trim_sh1.5,2644,0.1612009627701582,0.11124226052266091
factor_bw32_mean_sh0.0,2644,0.16122313573544336,0.11264978050405748
factor_bw32_trim_sh0.15,2644,0.16140278471260133,0.1116093039696132
factor_bw24_mean_sh0.15,2644,0.16151789583532078,0.11234669189783053
factor_bw24_mean_sh1.5,2644,0.1615587096420489,0.11225726346360522
factor_bw16_mean_sh0.15,2644,0.16158492369202293,0.11237868447616295
factor_bw32_trim_sh0.0,2644,0.16170066939255723,0.11191519319244025
factor_bw16_mean_sh1.5,2644,0.16173987483660676,0.11186307329751942
factor_bw24_mean_sh0.0,2644,0.16177803437905272,0.11266880172046435
factor_bw16_mean_sh0.0,2644,0.1619053700501788,0.11276334469825955
factor_bw24_trim_sh1.5,2644,0.16200927746712607,0.11205530345069288
factor_bw24_trim_sh0.15,2644,0.16201088334040673,0.11177043219007969
factor_bw24_trim_sh0.0,2644,0.16224356175628563,0.11200126979069853
factor_bw16_trim_sh0.15,2644,0.16235892767343724,0.11190193172149156
factor_bw16_trim_sh1.5,2644,0.1623828980117318,0.11173470970657089
factor_bw16_trim_sh0.0,2644,0.16268205483462958,0.11220590126688834
factor_bw32_median_sh1.5,2644,0.16278312191066044,0.11205194395889026
factor_bw24_median_sh0.15,2644,0.16298799588971125,0.1121511593059944
factor_bw32_median_sh0.15,2644,0.16303907693053502,0.11192993068437732
factor_bw24_median_sh1.5,2644,0.16310543870678607,0.11276438529877698
factor_bw24_median_sh0.0,2644,0.16319784711437033,0.1122978268835903
factor_bw32_median_sh0.0,2644,0.16340784960951982,0.11222292641134347
factor_bw16_median_sh0.15,2644,0.16361739690379618,0.1120354132920354
factor_bw16_median_sh1.5,2644,0.1637038498933816,0.11240072846098276
factor_bw16_median_sh0.0,2644,0.16394940037573888,0.11217746237572636
factor_bw8_mean_sh0.15,2644,0.16481784143516845,0.1137253561049469
factor_bw8_mean_sh0.0,2644,0.16509987437578025,0.11401713279964289
factor_bw8_mean_sh1.5,2644,0.16511692165230482,0.11337559044287797
factor_bw8_trim_sh0.15,2644,0.16547990771707383,0.1132952608368562
factor_bw8_trim_sh1.5,2644,0.16569038586226797,0.11325535642617286
factor_bw8_trim_sh0.0,2644,0.16575979262837442,0.11349470865709288
factor_bw8_median_sh0.15,2644,0.16675904764799368,0.1135729110032429
factor_bw8_median_sh1.5,2644,0.16703824219502028,0.11394344276973478
factor_bw8_median_sh0.0,2644,0.16707812357729054,0.11371261643903163
ridge_bw16_k3,2644,0.3803725991426265,0.3043545160823837
ridge_bw32_k3,2644,0.38730594401851065,0.31347481284056966
ridge_bw24_k3,2644,0.38820269282343667,0.31663281013707184
ridge_bw8_k3,2644,0.39674655337447834,0.3270452278881729
ridge_bw24_k5,2644,0.4093508755596649,0.34273446031116034
ridge_bw16_k5,2644,0.4134048294509012,0.34714322855963875
ridge_bw32_k5,2644,0.41372801435133877,0.3501834543340363
ridge_bw8_k5,2644,0.41906103564268005,0.35630714134073427
ridge_bw32_k8,2644,0.4227631807326628,0.3633125307645145
ridge_bw24_k8,2644,0.4227633913434055,0.36222939161555884
ridge_bw16_k8,2644,0.4242308908674725,0.3636337188788269
ridge_bw32_k12,2644,0.42805522232835924,0.3710693910299198
ridge_bw8_k8,2644,0.42819617196760307,0.36945233819803663
ridge_bw24_k12,2644,0.4286740062436215,0.37089088950282145
ridge_bw32_k16,2644,0.4290294507751536,0.37193395641544436
ridge_bw16_k12,2644,0.4295326917702732,0.3717946025943136
ridge_bw24_k16,2644,0.4309706020922788,0.374159963860516
ridge_bw16_k16,2644,0.43168625054729926,0.3742975604172326
ridge_bw8_k12,2644,0.43248801362352274,0.37584752680540817
ridge_bw8_k16,2644,0.43404981994812014,0.37749258749407444
