method,n,rmse,mae
ext40+date0_none*0.05,2644,0.06985404933491006,0.041671829264729766
ext40+date0_ridge*0.05,2644,0.06990426376322571,0.041743294863013286
ext40+date0_none*0.1,2644,0.06994904335300656,0.041679314353313915
ext40+date0_ridge*0.1,2644,0.07004206246410061,0.04181299230937785
ext40+year_doy8_ridge*0.05,2644,0.07012671554620603,0.041953380774801714
ext40+year_doy8_none*0.05,2644,0.07013526694831919,0.041945967867912375
ext40+date0_none*0.15,2644,0.07014868153639855,0.041790977407272833
ext40+doy8_none*0.05,2644,0.07015083264036233,0.04198775509674506
ext40+doy8_ridge*0.05,2644,0.0701523900450848,0.041985618683987855
ext40+doy16_ridge*0.05,2644,0.07016072957421658,0.04199283042760301
ext40+doy16_none*0.05,2644,0.07016279475391145,0.04199560824963542
ext40+date0_ridge*0.15,2644,0.07027694796008042,0.041969817891465824
ext40+season24_mean*0.05,2644,0.07040609426422195,0.04298300128504732
ext40+season24_trim*0.05,2644,0.07041017096031758,0.04298477835068089
ext40+season8_mean*0.05,2644,0.0704213653875026,0.04303268237172962
ext40+season8_trim*0.05,2644,0.07042683388752648,0.04304120459842084
ext40+season16_mean*0.05,2644,0.07043149144000162,0.04302158882403442
ext40+season24_median*0.05,2644,0.07043955053131233,0.043001186761490014
ext40+season16_trim*0.05,2644,0.07044122797226487,0.04302808719285876
ext40+date0_none*0.2,2644,0.07045207430847482,0.041984315101661035
ext40+season8_median*0.05,2644,0.07045655792195553,0.04305872305716247
ext40+season16_median*0.05,2644,0.07047178555238924,0.043046530605745495
ext40+year_doy8_ridge*0.1,2644,0.07051430118922894,0.042262928892412475
ext40+year_doy8_none*0.1,2644,0.07052976116539195,0.04224876736115687
ext40+doy8_none*0.1,2644,0.070564046162502,0.042331499853604806
ext40+doy8_ridge*0.1,2644,0.07056926662659374,0.04232545564444665
ext40+doy16_ridge*0.1,2644,0.07058838410538568,0.04234264611372071
ext40+doy16_none*0.1,2644,0.07059042806654667,0.04234450672440923
ext40+date0_ridge*0.2,2644,0.07060795134653937,0.04220741643095823
joint40+date0_none*0.05,2644,0.07093265048891882,0.042941674278069046
joint40+date0_ridge*0.05,2644,0.0709652902967914,0.04297606015380263
joint40+date0_none*0.1,2644,0.07097433402036438,0.0428943820623249
ext40+year_doy8_ridge*0.15,2644,0.07102483696190529,0.04267320924535514
joint40+date0_ridge*0.1,2644,0.07103419183285739,0.04295629138721888
ext40+year_doy8_none*0.15,2644,0.0710455541828659,0.04265804210380404
ext40+doy8_none*0.15,2644,0.07110156131061818,0.042799861054103445
ext40+doy8_ridge*0.15,2644,0.07111249424874311,0.04278754931998054
joint40+date0_none*0.15,2644,0.07111884425306592,0.04293359386696523
ext40+doy16_none*0.15,2644,0.07114470078341195,0.04281680572807784
ext40+doy16_ridge*0.15,2644,0.07114472670138089,0.04281219935673731
joint40+year_doy8_ridge*0.05,2644,0.0711528327433087,0.04312043237357951
joint40+year_doy8_none*0.05,2644,0.07116544251392484,0.04311885987202304
joint40+doy8_ridge*0.05,2644,0.07117989539931002,0.043148794783948376
joint40+doy8_none*0.05,2644,0.07118242237275901,0.04316276876211697
joint40+doy16_ridge*0.05,2644,0.07118656508294004,0.04314961118034799
joint40+doy16_none*0.05,2644,0.07118943948609757,0.04315121724717241
joint40+date0_ridge*0.15,2644,0.07120039608356381,0.04302477694844194
ext40+date0_none*0.3,2644,0.07136437818577997,0.04264918534508322
joint40+date0_none*0.2,2644,0.07136555653924308,0.04305055899270917
joint40+year_doy8_ridge*0.1,2644,0.07144026883021173,0.043304330589821874
joint40+date0_ridge*0.2,2644,0.0714632241522549,0.04317390238957304
joint40+year_doy8_none*0.1,2644,0.0714634188091817,0.04329944985606493
joint40+doy8_ridge*0.1,2644,0.07149783908896667,0.04336272131742533
joint40+doy8_none*0.1,2644,0.0715003486248985,0.04338997106882099
joint40+doy16_ridge*0.1,2644,0.07151378595966702,0.04336813014378718
joint40+doy16_none*0.1,2644,0.07151738584294538,0.043374562283598865
joint40+season24_mean*0.05,2644,0.07153944313591801,0.044235980590548146
joint40+season16_mean*0.05,2644,0.07154073728461023,0.04425702528658987
joint40+season24_trim*0.05,2644,0.07154230934102244,0.044232988078988233
joint40+season8_mean*0.05,2644,0.07154363841795947,0.044273881541550396
joint40+season8_trim*0.05,2644,0.07154930142234077,0.04427843132694023
joint40+season16_trim*0.05,2644,0.07155010508645815,0.04426024982319924
ext40+date0_ridge*0.3,2644,0.07155258895480808,0.04293058473180033
joint40+season24_median*0.05,2644,0.07156738016085677,0.044247007613416926
joint40+season8_median*0.05,2644,0.07157248555713079,0.0442911555907326
joint40+season16_median*0.05,2644,0.07157460058072196,0.044275575873181545
ext40+year_doy8_ridge*0.2,2644,0.07165569491030208,0.04322941799338122
ext40+season24_mean*0.1,2644,0.07167093643727196,0.0448631412005179
ext40+year_doy8_none*0.2,2644,0.07168002753362969,0.043209098658473125
ext40+season24_trim*0.1,2644,0.07168387646017935,0.044864036952317554
ext40+season16_mean*0.1,2644,0.0717203502208948,0.0449325911130871
hgb+date0_none*0.1,2644,0.0717335716500996,0.043342411119876356
ext40+season8_mean*0.1,2644,0.0717420081547698,0.04495233544910634
ext40+season16_trim*0.1,2644,0.07174611082428223,0.04494619287766869
ext40+season24_median*0.1,2644,0.0717516162722616,0.04489191762434572
ext40+season8_trim*0.1,2644,0.07175913577794267,0.044969794244366396
ext40+doy8_none*0.2,2644,0.07176058493412503,0.043412987288622064
hgb+date0_none*0.05,2644,0.07177260580712333,0.043463732648172
ext40+doy8_ridge*0.2,2644,0.07177920428107605,0.04338930422280689
hgb+date0_none*0.15,2644,0.07180042527359227,0.04332102070807267
ext40+season16_median*0.1,2644,0.07181873125605687,0.04499495477082687
ext40+doy16_none*0.2,2644,0.07182268104511455,0.04342219624274953
ext40+doy16_ridge*0.2,2644,0.0718267671192327,0.04342013381872372
ext40+season8_median*0.1,2644,0.07183083168974869,0.04501707323027266
hgb+date0_ridge*0.05,2644,0.07183528888165751,0.0435296257944356
hgb+date0_ridge*0.1,2644,0.07185044272242715,0.04346278958542996
joint40+year_doy8_ridge*0.15,2644,0.07185474002837543,0.04360743625170888
joint40+year_doy8_none*0.15,2644,0.07188633051018617,0.04360522455012185
joint40+doy8_none*0.15,2644,0.07194603707656816,0.043743402717389086
joint40+doy8_ridge*0.15,2644,0.07194605556348176,0.04370380815344152
hgb+date0_ridge*0.15,2644,0.0719627554333193,0.04350028877253848
hgb+date0_none*0.2,2644,0.07197287160945379,0.043386447087123185
joint40+doy16_ridge*0.15,2644,0.0719738011853665,0.04371013410087218
joint40+doy16_none*0.15,2644,0.07197600298384435,0.04371824562848039
hgb+year_doy8_ridge*0.05,2644,0.072082829039447,0.04376521651721803
hgb+year_doy8_none*0.05,2644,0.0720866593153252,0.04375766344835222
hgb+doy8_none*0.05,2644,0.07210972892898354,0.043793361650171406
