method,n,rmse,mae
date0_ridge,2644,0.08712833016765102,0.05522754676968187
date0_none,2644,0.08742787267947841,0.05532506249030578
year_doy8_none,2644,0.09471678930380491,0.06313328557254443
year_doy8_ridge,2644,0.09480909854498908,0.06314102949214345
doy8_none,2644,0.09541625774922521,0.06435683758370866
doy8_ridge,2644,0.09573707485969937,0.06399010847983226
doy16_none,2644,0.09595606623982403,0.0641068298279286
doy16_ridge,2644,0.09621364285837333,0.064090809898663
season24_mean,2644,0.1615587096420489,0.11225726346360522
season16_mean,2644,0.16173987483660676,0.11186307329751942
season24_trim,2644,0.16200927746712607,0.11205530345069288
season16_trim,2644,0.1623828980117318,0.11173470970657089
season24_median,2644,0.16310543870678607,0.11276438529877698
season16_median,2644,0.1637038498933816,0.11240072846098276
season8_mean,2644,0.16511692165230482,0.11337559044287797
season8_trim,2644,0.16569038586226797,0.11325535642617286
season8_median,2644,0.16703824219502028,0.11394344276973478
