anon_polygon_id,date,local_feature
AOI-0001,2010-08-29,0.0132957001
AOI-0001,2010-10-25,-0.0054962346
AOI-0001,2011-06-13,-0.0277010209
AOI-0001,2011-09-18,-0.0087989245
AOI-0001,2011-09-26,-0.0057410385
AOI-0001,2011-09-30,0.0609473279
AOI-0001,2012-05-24,-0.0028526990
AOI-0001,2012-07-09,-0.0310600981
AOI-0001,2012-07-11,0.0445808406
AOI-0001,2012-08-10,-0.0799324986
AOI-0001,2012-08-12,0.0647891319
AOI-0001,2012-10-15,0.0000000000
AOI-0001,2013-05-01,-0.0206724967
AOI-0001,2013-07-12,-0.0419482746
AOI-0001,2013-09-30,0.0115211434
AOI-0001,2014-04-18,0.0209928663
AOI-0001,2014-05-25,-0.0086107732
AOI-0001,2014-06-26,0.0416314221
AOI-0001,2014-07-15,
AOI-0001,2014-07-28,0.0350601281
AOI-0001,2014-08-09,-0.0493965285
AOI-0001,2014-08-13,0.0162396694
AOI-0001,2014-10-03,-0.0383924691
AOI-0001,2014-10-16,0.0244685078
AOI-0001,2015-04-13,-0.0519945238
AOI-0001,2015-08-11,-0.0105208304
AOI-0001,2015-08-12,-0.0836973969
AOI-0001,2015-08-27,-0.0047882717
AOI-0001,2015-09-20,-0.0155037702
AOI-0001,2015-09-28,0.0004767711
AOI-0001,2016-06-27,-0.0556532807
AOI-0001,2016-07-04,-0.0863579920
AOI-0001,2016-07-20,-0.0125439225
AOI-0001,2016-07-27,-0.0025179555
AOI-0001,2016-08-29,0.0087952188
AOI-0001,2016-08-30,-0.0434417736
AOI-0001,2016-09-15,-0.0713020209
AOI-0001,2016-09-29,0.0244090697
AOI-0001,2017-05-12,-0.0368450100
AOI-0001,2017-06-29,-0.0044963952
AOI-0001,2017-07-12,0.0406458507
AOI-0001,2017-08-09,-0.0166249750
AOI-0001,2017-08-29,-0.0693496545
AOI-0001,2017-09-08,0.0009028741
AOI-0001,2017-09-14,0.0393165182
AOI-0001,2018-04-05,-0.0111910114
AOI-0001,2018-04-23,0.0212998030
AOI-0001,2018-05-01,0.0491372768
AOI-0001,2018-06-08,-0.0735945416
AOI-0001,2018-07-12,0.0570664993
AOI-0001,2018-09-28,-0.0521199069
AOI-0001,2018-10-13,0.0072603960
AOI-0001,2019-05-11,-0.0112085981
AOI-0001,2019-05-31,0.0130724736
AOI-0001,2019-06-04,-0.0134020178
AOI-0001,2019-06-05,-0.0208894156
AOI-0001,2019-06-25,-0.1960859071
AOI-0001,2019-07-12,0.0761402637
AOI-0001,2019-07-22,-0.0064319359
AOI-0001,2019-07-29,-0.0398947411
AOI-0001,2019-08-30,-0.0276070515
AOI-0001,2019-09-07,0.0819669047
AOI-0001,2019-09-08,0.0074294865
AOI-0001,2019-09-18,-0.1798529235
AOI-0001,2020-04-03,-0.0106261039
AOI-0001,2020-04-26,-0.0199905485
AOI-0001,2020-05-30,-0.0671793623
AOI-0001,2020-06-09,-0.0010101449
AOI-0001,2020-07-14,-0.0893080298
AOI-0001,2020-07-23,0.0356752657
AOI-0001,2020-07-27,0.0051612601
AOI-0001,2020-08-08,0.0169240656
AOI-0001,2020-09-01,0.0344415880
AOI-0001,2020-09-02,0.0341013175
AOI-0001,2020-09-12,-0.0423848856
AOI-0001,2020-09-22,0.0014456825
AOI-0001,2020-09-29,0.0572590704
AOI-0001,2020-10-11,0.0099641371
AOI-0001,2020-10-12,-0.0410857117
AOI-0001,2020-10-19,-0.0039372495
AOI-0001,2021-05-15,-0.0999400821
AOI-0001,2021-05-20,0.0106947391
AOI-0001,2021-06-10,-0.0295345882
AOI-0001,2021-07-02,0.0289343399
AOI-0001,2021-07-24,-0.0206675441
AOI-0001,2021-09-17,-0.0003567626
AOI-0001,2022-04-25,-0.0242800361
AOI-0001,2022-06-03,0.0065371903
AOI-0001,2022-09-02,-0.0158302064
AOI-0001,2022-09-30,0.0471591922
AOI-0001,2022-10-01,0.0223200603
AOI-0001,2022-10-17,0.0060071508
AOI-0001,2023-05-25,0.0104449176
AOI-0001,2023-06-23,0.0114646159
AOI-0001,2023-07-15,-0.0871373354
AOI-0001,2023-07-29,-0.0013668489
AOI-0001,2023-08-03,-0.0127324991
AOI-0001,2023-08-08,-0.0363780926
AOI-0001,2023-08-13,0.0733816077
AOI-0001,2023-08-17,0.0522924702
AOI-0001,2023-08-28,-0.0470277368
AOI-0001,2023-08-29,0.0687775666
AOI-0001,2023-09-12,-0.0149036943
AOI-0001,2024-04-06,-0.0122824571
AOI-0001,2024-05-24,0.0003820151
AOI-0001,2024-06-01,0.0294944423
AOI-0001,2024-06-03,-0.0051707440
AOI-0001,2024-06-09,0.1042630027
AOI-0001,2024-06-13,0.0184104718
AOI-0001,2024-06-17,0.0293387302
AOI-0001,2024-06-23,-0.0588212012
AOI-0001,2024-06-25,0.0640321255
AOI-0001,2024-07-03,-0.0397721661
AOI-0001,2024-09-11,-0.0808698590
AOI-0001,2024-09-13,0.0360115048
AOI-0001,2024-09-16,0.0001659112
AOI-0001,2024-09-29,0.0397392507
AOI-0001,2025-04-23,-0.0007624770
AOI-0001,2025-05-03,0.0146790741
AOI-0001,2025-06-03,0.0206666582
AOI-0001,2025-06-27,0.0367405474
AOI-0001,2025-07-05,0.0131253168
AOI-0001,2025-07-12,0.1073761781
AOI-0001,2025-07-13,0.0042630023
AOI-0001,2025-07-23,-0.0232987368
AOI-0001,2025-07-28,0.0195105955
AOI-0001,2025-07-29,0.0563788621
AOI-0001,2025-08-02,-0.0460294024
AOI-0001,2025-10-28,-0.0057191922
AOI-0002,2025-05-03,0.0106586588
AOI-0002,2025-06-03,0.0116107056
AOI-0002,2025-06-26,0.0987046611
AOI-0002,2025-07-29,0.0719080314
AOI-0002,2025-08-02,-0.0447023482
AOI-0002,2025-08-13,0.0460899832
